,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
154,85,Adams,L.G.,Laurie,537,1962.0,2006.0,"Adams, L.G.","Adams, L.G.","Adams, L.G.",1.0,1.0,http://www.wikidata.org/entity/Q10316562,Laurence George Adams,Adams,L.G.,"Adams, L.G.",,,,,12081-1,L.G.Adams,,P005518b,1929.0,2014.0,,,http://www.wikidata.org/wiki/Q10316562,,,https://www.ipni.org/a/12081-1,,http://www.eoas.info/biogs/P005518b,
155,27362,Horton,B.M.,Bryony,537,2007.0,2008.0,"Horton, B.M.","Horton, B.M.","Horton, B.M.",1.0,1.0,http://www.wikidata.org/entity/Q21516071,Bryony Maree Horton,Horton,B.M.,"Horton, B.M.",,,,,20003810-1,B.M.Horton,,,1978.0,,,,http://www.wikidata.org/wiki/Q21516071,,,https://www.ipni.org/a/20003810-1,,,
161,7941,Greuter,W.,Werner,530,1963.0,2015.0,"Greuter, W.","Greuter, W.","Greuter, W.",1.0,1.0,http://www.wikidata.org/entity/Q123950,Werner Greuter,Greuter,W.,"Greuter, W.",0000-0002-8677-7544,44388294,0000 0001 1918 5613,67399.0,3379-1,Greuter,,,1938.0,,,,http://www.wikidata.org/wiki/Q123950,https://orcid.org/0000-0002-8677-7544,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=67399,https://www.ipni.org/a/3379-1,,,
162,3874,Clifford,H.T.,,528,1940.0,1984.0,"Clifford, H.T.","Clifford, H.T.","Clifford, H.T.",1.0,1.0,http://www.wikidata.org/entity/Q5892430,Harold Trevor Clifford,Clifford,H.T.,"Clifford, H.T.",,56670060,0000 0001 1063 8946,73110,1697-1,Clifford,,P004663b,1927.0,,,,http://www.wikidata.org/wiki/Q5892430,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=73110,https://www.ipni.org/a/1697-1,,http://www.eoas.info/biogs/P004663b,
166,18024,Scortechini,B.,Benedetto,521,1880.0,1887.0,"Scortechini, B.","Scortechini, B.","Scortechini, B.",1.0,1.0,http://www.wikidata.org/entity/Q5725585,Benedetto Scortechini,Scortechini,B.,"Scortechini, B.",,92318670,,48182.0,9386-1,Scort.,,,1845.0,1886.0,,,http://www.wikidata.org/wiki/Q5725585,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48182,https://www.ipni.org/a/9386-1,,,
167,5235,Dempster,A.,,518,1870.0,1896.0,"Dempster, A.","Dempster, A.","Dempster, A.",1.0,1.0,http://www.wikidata.org/entity/Q21535572,Andrew Dempster,Dempster,A.,"Dempster, A.",,305105112,,,,,,,1843.0,1909.0,,,http://www.wikidata.org/wiki/Q21535572,,,,,,http://adb.anu.edu.au/biography/dempster-andrew-3881
170,5981,Eichler,H.,,518,1956.0,1992.0,"Eichler, H.","Eichler, H.","Eichler, H.",1.0,1.0,http://www.wikidata.org/entity/Q4530123,Hansjörg Eichler,Eichler,H.,"Eichler, H.",,32459507,0000 0000 6318 0476,111.0,2489-1,H.Eichler,Q4530123,P002340b,1916.0,1992.0,,,http://www.wikidata.org/wiki/Q4530123,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=111,https://www.ipni.org/a/2489-1,https://bloodhound-tracker.net/Q4530123,http://www.eoas.info/biogs/P002340b,
172,5623,Drummond,T.,Thomas,506,1828.0,1928.0,"Drummond, T.","Drummond, T.","Drummond, T.",1.0,1.0,http://www.wikidata.org/entity/Q7789064,Thomas Drummond,Drummond,T.,"Drummond, T.",,104476700,,155.0,18209-1,Drumm.,,,1780.0,1835.0,,,http://www.wikidata.org/wiki/Q7789064,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=155,https://www.ipni.org/a/18209-1,,,
174,18508,Simson,A.,,501,1838.0,1978.0,"Simson, A.","Simson, A.","Simson, A.",1.0,1.0,http://www.wikidata.org/entity/Q2871726,Augustus Simson,Simson,A.,"Simson, A.",,,,43090.0,13324-1,Simson,,P001933b,1836.0,1918.0,,,http://www.wikidata.org/wiki/Q2871726,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43090,https://www.ipni.org/a/13324-1,,http://www.eoas.info/biogs/P001933b,
7,6950,French,C.,,949,1867.0,2001.0,"French, C.","French, C.","French, C.",1.0,2.0,http://www.wikidata.org/entity/Q5077883,Charles French,French,C.,"French, C.",,16408853,0000 0001 1477 4996,,,,,P001051b,1842.0,1933.0,,,http://www.wikidata.org/wiki/Q5077883,,,,,http://www.eoas.info/biogs/P001051b,http://adb.anu.edu.au/biography/french-charles-6246
8,6950,French,C.,,949,1867.0,2001.0,"French, C.","French, C.","French, C.",1.0,2.0,http://www.wikidata.org/entity/Q21513525,Charles French,French,C.,"French, C.",,,,6184,2896-1,French,,,1840.0,1890.0,,,http://www.wikidata.org/wiki/Q21513525,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=6184,https://www.ipni.org/a/2896-1,,,
9,760,Bailey,F.M.,Frederick Manson,945,1869.0,1901.0,"Bailey, F.M.","Bailey, F.M.","Bailey, F.M.",1.0,2.0,http://www.wikidata.org/entity/Q973866,Frederick Marshman Bailey,Bailey,F.M.,"Bailey, F.M.",,94857158,0000 0000 8283 0200,,,,,,1882.0,1967.0,,,http://www.wikidata.org/wiki/Q973866,,,,,,
10,760,Bailey,F.M.,Frederick Manson,945,1869.0,1901.0,"Bailey, F.M.","Bailey, F.M.","Bailey, F.M.",1.0,2.0,http://www.wikidata.org/entity/Q2659122,Frederick Manson Bailey,Bailey,F.M.,"Bailey, F.M.",,61124568,0000 0000 8246 399X,242.0,392-1,F.M.Bailey,,P000030b,1827.0,1915.0,,,http://www.wikidata.org/wiki/Q2659122,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=242,https://www.ipni.org/a/392-1,,http://www.eoas.info/biogs/P000030b,http://adb.anu.edu.au/biography/bailey-frederick-manson-2918
20,19976,Thomson,T.,Thomas,878,1845.0,1885.0,"Thomson, T.","Thomson, T.","Thomson, T.",1.0,2.0,http://www.wikidata.org/entity/Q902546,Thomas Thomson,Thomson,T.,"Thomson, T.",,34570795,0000 0000 8371 2679,,,,,,1773.0,1852.0,,,http://www.wikidata.org/wiki/Q902546,,,,,,
21,19976,Thomson,T.,Thomas,878,1845.0,1885.0,"Thomson, T.","Thomson, T.","Thomson, T.",1.0,2.0,http://www.wikidata.org/entity/Q2427703,Thomas Thomson,Thomson,T.,"Thomson, T.",,24688738,0000 0000 8103 3517,2336.0,10621-1,Thomson,,,1817.0,1878.0,,,http://www.wikidata.org/wiki/Q2427703,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2336,https://www.ipni.org/a/10621-1,,,
38,21214,Watts,W.W.,,824,1887.0,1971.0,"Watts, W.W.","Watts, W.W.","Watts, W.W.",1.0,2.0,http://www.wikidata.org/entity/Q2516590,William Whitehead Watts,Watts,W.W.,"Watts, W.W.",,49588388,0000 0000 5512 540X,,,,,,1860.0,1947.0,,,http://www.wikidata.org/wiki/Q2516590,,,,,,
39,21214,Watts,W.W.,,824,1887.0,1971.0,"Watts, W.W.","Watts, W.W.","Watts, W.W.",1.0,2.0,http://www.wikidata.org/entity/Q3569020,William Walter Watts,Watts,W.W.,"Watts, W.W.",,,,72520.0,11444-1,Watts,,P005610b,1856.0,1920.0,,,http://www.wikidata.org/wiki/Q3569020,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72520,https://www.ipni.org/a/11444-1,,http://www.eoas.info/biogs/P005610b,
43,9838,Hunter,W.,,813,1896.0,1964.0,"Hunter, W.","Hunter, W.","Hunter, W.",1.0,2.0,http://www.wikidata.org/entity/Q944360,William Hunter,Hunter,W.,"Hunter, W.",,41937557,0000 0001 2129 8203,,,,,,1718.0,1783.0,,,http://www.wikidata.org/wiki/Q944360,,,,,,
44,9838,Hunter,W.,,813,1896.0,1964.0,"Hunter, W.","Hunter, W.","Hunter, W.",1.0,2.0,http://www.wikidata.org/entity/Q3568719,William Hunter,Hunter,W.,"Hunter, W.",,21050292,0000 0000 8100 2358,41110.0,4237-1,W.Hunter,,,1755.0,1812.0,,,http://www.wikidata.org/wiki/Q3568719,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41110,https://www.ipni.org/a/4237-1,,,
131,2665,Buchanan,A.M.,,578,1980.0,2010.0,"Buchanan, A.M.","Buchanan, A.M.","Buchanan, A.M.",1.0,2.0,http://www.wikidata.org/entity/Q21506601,Alex M. Buchanan,Buchanan,A.M.,"Buchanan, A.M.",,,,,16655-1,A.M.Buchanan,,,1944.0,,,,http://www.wikidata.org/wiki/Q21506601,,,https://www.ipni.org/a/16655-1,,,
132,2665,Buchanan,A.M.,,578,1980.0,2010.0,"Buchanan, A.M.","Buchanan, A.M.","Buchanan, A.M.",1.0,2.0,http://www.wikidata.org/entity/Q21337603,Audria M. Buchanan,Buchanan,A.M.,"Buchanan, A.M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21337603,,,,,,
148,9186,Hill,W.,Walter,546,1855.0,1892.0,"Hill, W.","Hill, W.","Hill, W.",1.0,2.0,http://www.wikidata.org/entity/Q7965146,Walter Hill,Hill,W.,"Hill, W.",,,,17305,13193-1,W.Hill,,P001462b,1819.0,1904.0,,,http://www.wikidata.org/wiki/Q7965146,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17305,https://www.ipni.org/a/13193-1,,http://www.eoas.info/biogs/P001462b,http://adb.anu.edu.au/biography/hill-walter-12981
149,9186,Hill,W.,Walter,546,1855.0,1892.0,"Hill, W.","Hill, W.","Hill, W.",1.0,2.0,http://www.wikidata.org/entity/Q8012334,William Hill,Hill,W.,"Hill, W.",,91738996,,,,,,,1866.0,1939.0,,,http://www.wikidata.org/wiki/Q8012334,,,,,,http://adb.anu.edu.au/biography/hill-william-caldwell-6673
104,3448,Chalmers,J.,James,650,1855.0,1889.0,"Chalmers, J.","Chalmers, J.","Chalmers, J.",1.0,3.0,http://www.wikidata.org/entity/Q1680148,James Chalmers,Chalmers,J.,"Chalmers, J.",,19335077,0000 0000 8432 3763,3109.0,,,,,1841.0,1901.0,,,http://www.wikidata.org/wiki/Q1680148,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=3109,,,,http://adb.anu.edu.au/biography/chalmers-james-3187
105,3448,Chalmers,J.,James,650,1855.0,1889.0,"Chalmers, J.","Chalmers, J.","Chalmers, J.",1.0,3.0,http://www.wikidata.org/entity/Q47115269,James Chalmers,Chalmers,J.,"Chalmers, J.",,,,,1499-1,J.Chalm.,,,,,,,http://www.wikidata.org/wiki/Q47115269,,,https://www.ipni.org/a/1499-1,,,
