,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
158,8939,Henderson,J.A.,,531,1863.0,1900.0,"Henderson, J.A.","Henderson, J.A.","Henderson, J.",0.925,4.0,http://www.wikidata.org/entity/Q18169334,John Henderson,Henderson,J.,"Henderson, J.",,88119611,0000 0000 8399 0660,,,,,,1870.0,1923.0,,,http://www.wikidata.org/wiki/Q18169334,,,,,,
159,8939,Henderson,J.A.,,531,1863.0,1900.0,"Henderson, J.A.","Henderson, J.A.","Henderson, J.",0.925,4.0,http://www.wikidata.org/entity/Q47118734,James Henderson,Henderson,J.,"Henderson, J.",,,,,37859-1,J.Hend.,,,,,,,http://www.wikidata.org/wiki/Q47118734,,,https://www.ipni.org/a/37859-1,,,
160,8939,Henderson,J.A.,,531,1863.0,1900.0,"Henderson, J.A.","Henderson, J.A.","Henderson, J.",0.925,4.0,http://www.wikidata.org/entity/Q21535154,Jocelyn Henderson,Henderson,J.,"Henderson, J.",,,,,,,,,1905.0,1972.0,,,http://www.wikidata.org/wiki/Q21535154,,,,,,http://adb.anu.edu.au/biography/henderson-jocelyn-10481
122,8296,Halford,D.,David,607,1980.0,2012.0,"Halford, D.","Halford, D.","Halford, D.A.",0.924,1.0,http://www.wikidata.org/entity/Q15711547,David A. Halford,Halford,D.A.,"Halford, D.A.",,,,77960,35901-1,Halford,,,,,,,http://www.wikidata.org/wiki/Q15711547,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=77960,https://www.ipni.org/a/35901-1,,,
144,10764,Kennedy,M.B.,Mary,560,1885.0,1889.0,"Kennedy, M.B.","Kennedy, M.B.","Kennedy, M.(.",0.917,1.0,http://www.wikidata.org/entity/Q21536427,Margaret (Marnie) Kennedy,Kennedy,M.(.,"Kennedy, M.(.",,283604454,0000 0003 9008 7885,,,,,,1919.0,1985.0,,,http://www.wikidata.org/wiki/Q21536427,,,,,,http://adb.anu.edu.au/biography/kennedy-margaret-marnie-12731
53,13451,McMullan-Fisher,S.J.M.,Sapphire,774,1996.0,2019.0,"McMullan-Fisher, S.J.M.","McMullan-Fisher, S.J.M.","McMullan-Fisher, S.(.M.).",0.913,1.0,http://www.wikidata.org/entity/Q88839750,Sapphire (J.M.) McMullan-Fisher,McMullan-Fisher,S.(.M.).,"McMullan-Fisher, S.(.M.).",,,,,20039039-1,McMull.-Fish.,,,,,,,http://www.wikidata.org/wiki/Q88839750,,,https://www.ipni.org/a/20039039-1,,,
59,16245,Pringle,C.G.,Cyrus Guernsey,730,1881.0,1999.0,"Pringle, C.G.","Pringle, C.G.","Pringle, C.",0.902,1.0,http://www.wikidata.org/entity/Q3009492,Cyrus Pringle,Pringle,C.,"Pringle, C.",,74992245,0000 0000 3950 5269,2189.0,25097-1,Pringle,,,1838.0,1911.0,,,http://www.wikidata.org/wiki/Q3009492,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2189,https://www.ipni.org/a/25097-1,,,
138,8945,Henderson,R.J.,,575,1965.0,1991.0,"Henderson, R.J.","Henderson, R.J.","Henderson, R.",0.902,1.0,http://www.wikidata.org/entity/Q5943219,Rodney Henderson,Henderson,R.,"Henderson, R.",,,,,12468-1,R.J.F.Hend.,,,1938.0,,,,http://www.wikidata.org/wiki/Q5943219,,,https://www.ipni.org/a/12468-1,,,
141,14166,Morrison,H.A.,Alan,566,1955.0,1980.0,"Morrison, H.A.","Morrison, H.A.","Morrison, H.",0.895,2.0,http://www.wikidata.org/entity/Q55068722,Harold Morrison,Morrison,H.,"Morrison, H.",,43462486,0000 0000 2898 4153,,,,,,1890.0,1963.0,,,http://www.wikidata.org/wiki/Q55068722,,,,,,
142,14166,Morrison,H.A.,Alan,566,1955.0,1980.0,"Morrison, H.A.","Morrison, H.A.","Morrison, H.",0.895,2.0,http://www.wikidata.org/entity/Q15451676,Hedda Morrison,Morrison,H.,"Morrison, H.",,67877053,0000 0000 8390 9674,,,,,,1908.0,1991.0,,,http://www.wikidata.org/wiki/Q15451676,,,,,,http://adb.anu.edu.au/biography/morrison-hedwig-marie-hedda-20706
34,17164,Rogers,R.,,838,1972.0,1977.0,"Rogers, R.","Rogers, R.","Rogers, R.S.",0.891,1.0,http://www.wikidata.org/entity/Q3281627,Richard Sanders Rogers,Rogers,R.S.,"Rogers, R.S.",,16867036,0000 0000 6396 983X,34806.0,8527-1,R.S.Rogers,,P000757b,1861.0,1942.0,,,http://www.wikidata.org/wiki/Q3281627,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=34806,https://www.ipni.org/a/8527-1,,http://www.eoas.info/biogs/P000757b,http://adb.anu.edu.au/biography/rogers-richard-sanders-8259
163,11153,Kraehenbuehl,D.N.,,528,1958.0,1999.0,"Kraehenbuehl, D.N.","Kraehenbuehl, D.N.","Kraehenbuehl, F.",0.889,1.0,http://www.wikidata.org/entity/Q13220154,Felix Kraehenbuehl,Kraehenbuehl,F.,"Kraehenbuehl, F.",,,,,5012-1,Kraehenb.,,,1917.0,2001.0,,,http://www.wikidata.org/wiki/Q13220154,,,https://www.ipni.org/a/5012-1,,,
58,19525,Sutton,C.S.,,739,1804.0,1938.0,"Sutton, C.S.","Sutton, C.S.","Sutton, C.",0.886,1.0,http://www.wikidata.org/entity/Q2884497,Charles Sutton,Sutton,C.,"Sutton, C.",,,,60748.0,10313-1,Sutton,,,1756.0,1846.0,,,http://www.wikidata.org/wiki/Q2884497,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60748,https://www.ipni.org/a/10313-1,,,
14,2495,Brooks,S.T.,,926,1873.0,1899.0,"Brooks, S.T.","Brooks, S.T.","Brooks, S.",0.886,2.0,http://www.wikidata.org/entity/Q18685034,Steve Brooks,Brooks,S.,"Brooks, S.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q18685034,,,,,,
15,2495,Brooks,S.T.,,926,1873.0,1899.0,"Brooks, S.T.","Brooks, S.T.","Brooks, S.",0.886,2.0,http://www.wikidata.org/entity/Q31203522,Sarah Brooks,Brooks,S.,"Brooks, S.",,54150083737614940598,,,,,,P005901b,1850.0,1928.0,,,http://www.wikidata.org/wiki/Q31203522,,,,,http://www.eoas.info/biogs/P005901b,
4,16828,Richards,A.F.,,979,1850.0,1894.0,"Richards, A.F.","Richards, A.F.","Richards, A.M.",0.885,2.0,http://www.wikidata.org/entity/Q21388115,Alison M. Richards,Richards,A.M.,"Richards, A.M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21388115,,,,,,
5,16828,Richards,A.F.,,979,1850.0,1894.0,"Richards, A.F.","Richards, A.F.","Richards, A.M.",0.885,2.0,http://www.wikidata.org/entity/Q21391878,Aola M. Richards,Richards,A.M.,"Richards, A.M.",,,,,,,,P006081b,,,,,http://www.wikidata.org/wiki/Q21391878,,,,,http://www.eoas.info/biogs/P006081b,
173,9316,Hodgkinson,M.H.,,505,1870.0,1894.0,"Hodgkinson, M.H.","Hodgkinson, M.H.","Hodgkinson, C.",0.884,1.0,http://www.wikidata.org/entity/Q5131336,Clement Hodgkinson,Hodgkinson,C.,"Hodgkinson, C.",,44670239,0000 0000 6314 1741,,,,,P002057b,1818.0,1893.0,,,http://www.wikidata.org/wiki/Q5131336,,,,,http://www.eoas.info/biogs/P002057b,http://adb.anu.edu.au/biography/hodgkinson-clement-3774
115,19890,Thom,R.,,622,1880.0,1925.0,"Thom, R.","Thom, R.","Thomé, R.G.",0.862,1.0,http://www.wikidata.org/entity/Q51595979,Ralph G. Thomé,Thomé,R.G.,"Thomé, R.G.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q51595979,,,,,,
11,15296,Paget,A.,,944,1982.0,2008.0,"Paget, A.","Paget, A.","Paget, J.",0.861,1.0,http://www.wikidata.org/entity/Q429207,James Paget,Paget,J.,"Paget, J.",,27810909,0000 0000 7357 4188,2313.0,12719-1,Paget,,,1814.0,1899.0,,,http://www.wikidata.org/wiki/Q429207,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2313,https://www.ipni.org/a/12719-1,,,
95,16552,Ratkowsky,A.V.,,680,1966.0,1999.0,"Ratkowsky, A.V.","Ratkowsky, A.V.","Ratkowsky, D.(.).",0.861,1.0,http://www.wikidata.org/entity/Q88847216,David (A.) Ratkowsky,Ratkowsky,D.(.).,"Ratkowsky, D.(.).",,,,,20039130-1,Ratkowsky,,,,,,,http://www.wikidata.org/wiki/Q88847216,,,https://www.ipni.org/a/20039130-1,,,
33,3191,Canning,E.M.,,838,1960.0,1997.0,"Canning, E.M.","Canning, E.M.","Canning, E.C.",0.858,1.0,http://www.wikidata.org/entity/Q88820643,E.C. Canning,Canning,E.C.,"Canning, E.C.",,,,,20036007-1,E.C.Canning,,,,,,,http://www.wikidata.org/wiki/Q88820643,,,https://www.ipni.org/a/20036007-1,,,
129,11495,Latz,P.,,583,1968.0,2016.0,"Latz, P.","Latz, P.","Latz, P.K.",0.848,1.0,http://www.wikidata.org/entity/Q21518413,Peter K. Latz,Latz,P.K.,"Latz, P.K.",,9116331,0000 0000 6384 1764,36654,35446-1,Latz,,,1941.0,,,,http://www.wikidata.org/wiki/Q21518413,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=36654,https://www.ipni.org/a/35446-1,,,
116,31314,Hummel,D.,,622,1927.0,1934.0,"Hummel, D.","Hummel, D.","Hummel, E.",0.84,1.0,http://www.wikidata.org/entity/Q26714675,Eric Hummel,Hummel,E.,"Hummel, E.",,,,,40059-1,E.Hummel,,,,,,,http://www.wikidata.org/wiki/Q26714675,,,https://www.ipni.org/a/40059-1,,,
147,13030,Mayfield,E.V.,Enid,547,1996.0,2020.0,"Mayfield, E.V.","Mayfield, E.V.","Mayfield, D.(.).",0.834,1.0,http://www.wikidata.org/entity/Q88819743,Derrick (A.) Mayfield,Mayfield,D.(.).,"Mayfield, D.(.).",,,,,20036210-1,D.Mayfield,,,,,,,http://www.wikidata.org/wiki/Q88819743,,,https://www.ipni.org/a/20036210-1,,,
111,4580,Croll,R.D.,,636,1961.0,1982.0,"Croll, R.D.","Croll, R.D.","Croll, R.H.",0.831,1.0,http://www.wikidata.org/entity/Q19630752,Robert Henderson Croll,Croll,R.H.,"Croll, R.H.",,29075406,0000 0000 6398 6891,,,,,,1869.0,1947.0,,,http://www.wikidata.org/wiki/Q19630752,,,,,,http://adb.anu.edu.au/biography/croll-robert-henderson-bob-5824
118,630,Atkinson,C.L.W.,,620,1860.0,1860.0,"Atkinson, C.L.W.","Atkinson, C.L.W.","Atkinson, C.",0.827,1.0,http://www.wikidata.org/entity/Q21536203,Charles Atkinson,Atkinson,C.,"Atkinson, C.",,92454211,,,,,,,1806.0,1837.0,,,http://www.wikidata.org/wiki/Q21536203,,,,,,http://adb.anu.edu.au/biography/atkinson-charles-1725
76,5053,Davies,F.E.,,693,1983.0,2000.0,"Davies, F.E.","Davies, F.E.","Davies, F.G.",0.825,1.0,http://www.wikidata.org/entity/Q16298676,Frances G. Davies,Davies,F.G.,"Davies, F.G.",,,,,13268-1,F.G.Davies,,,1944.0,,,,http://www.wikidata.org/wiki/Q16298676,,,https://www.ipni.org/a/13268-1,,,
62,8127,Gullan,P.K.,,720,1970.0,1997.0,"Gullan, P.K.","Gullan, P.K.","Gullan, P.J.",0.822,1.0,http://www.wikidata.org/entity/Q21391296,Penny J. Gullan,Gullan,P.J.,"Gullan, P.J.",,59178599,,,,,,,1952.0,,,,http://www.wikidata.org/wiki/Q21391296,,,,,,
71,9995,Irvine,J.F. [=Mrs Irvine],,700,1869.0,1968.0,"Irvine, J.F. [=Mrs Irvine]","Irvine, J.F. [=Mrs Irvine]","Irvine, J.",0.822,1.0,http://www.wikidata.org/entity/Q3806508,James Irvine,Irvine,J.,"Irvine, J.",,22135694,0000 0000 8100 5305,,,,,,1877.0,1952.0,,,http://www.wikidata.org/wiki/Q3806508,,,,,,
70,10883,Kilgour,R.A.,,703,1981.0,1992.0,"Kilgour, R.A.","Kilgour, R.A.","Kilgour, A.J.",0.816,1.0,http://www.wikidata.org/entity/Q24205051,Alexander James Kilgour,Kilgour,A.J.,"Kilgour, A.J.",,,,,,,,,1861.0,1944.0,,,http://www.wikidata.org/wiki/Q24205051,,,,,,http://adb.anu.edu.au/biography/kilgour-alexander-james-6954
66,3221,Carey,H.S.,,715,1817.0,1904.0,"Carey, H.S.","Carey, H.S.","Carey, H.C.",0.811,1.0,http://www.wikidata.org/entity/Q957065,Henry Charles Carey,Carey,H.C.,"Carey, H.C.",,37030177,0000 0000 8115 8547,,,,,P000292b,1793.0,1879.0,,,http://www.wikidata.org/wiki/Q957065,,,,,http://www.eoas.info/biogs/P000292b,
72,22179,Woolcock,D.T.,,698,1968.0,1989.0,"Woolcock, D.T.","Woolcock, D.T.","Woolcock, A.",0.808,1.0,http://www.wikidata.org/entity/Q17711341,Ann Woolcock,Woolcock,A.,"Woolcock, A.",,48202671,0000 0000 6482 478X,,,,,P002777b,1937.0,2001.0,,,http://www.wikidata.org/wiki/Q17711341,,,,,http://www.eoas.info/biogs/P002777b,
3,13176,McDonald,K.R. (1),,988,1990.0,2016.0,"McDonald, K.R. (1)","McDonald, K.R. (1)","McDonald, K.",0.806,1.0,http://www.wikidata.org/entity/Q22110845,Keith McDonald,McDonald,K.,"McDonald, K.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22110845,,,,,,
94,70,Adair,R.J.,,683,1970.0,2008.0,"Adair, R.J.","Adair, R.J.","Adair, J.",0.796,1.0,http://www.wikidata.org/entity/Q6218132,John Adair,Adair,J.,"Adair, J.",,,,,,,,P001579b,1852.0,1913.0,,,http://www.wikidata.org/wiki/Q6218132,,,,,http://www.eoas.info/biogs/P001579b,
109,8140,Gulliver,T.A.,,649,1867.0,1973.0,"Gulliver, T.A.","Gulliver, T.A.","Gulliver, G.",0.796,1.0,http://www.wikidata.org/entity/Q5539966,George Gulliver,Gulliver,G.,"Gulliver, G.",,267411228,0000 0003 8296 0306,,,,,,1804.0,1882.0,,,http://www.wikidata.org/wiki/Q5539966,,,,,,
123,8135,Gulliver,B.J.,Benjamin John,606,1864.0,1967.0,"Gulliver, B.J.","Gulliver, B.J.","Gulliver, G.",0.791,1.0,http://www.wikidata.org/entity/Q5539966,George Gulliver,Gulliver,G.,"Gulliver, G.",,267411228,0000 0003 8296 0306,,,,,,1804.0,1882.0,,,http://www.wikidata.org/wiki/Q5539966,,,,,,
75,8996,Henshall,T.S.,Tom,694,1950.0,1990.0,"Henshall, T.S.","Henshall, T.S.","Henshall, J.",0.787,1.0,http://www.wikidata.org/entity/Q21516124,John Henshall,Henshall,J.,"Henshall, J.",,,,,39368-1,Henshall,,,,,,,http://www.wikidata.org/wiki/Q21516124,,,https://www.ipni.org/a/39368-1,,,
77,27019,Lloyd,S.J.,Sarah,690,2003.0,2019.0,"Lloyd, S.J.","Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q5925802,James Lloyd,Lloyd,J.,"Lloyd, J.",,17371999,0000 0000 0692 6649,2602.0,5680-1,J.Lloyd,,,1810.0,1896.0,,,http://www.wikidata.org/wiki/Q5925802,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2602,https://www.ipni.org/a/5680-1,,,
78,27019,Lloyd,S.J.,Sarah,690,2003.0,2019.0,"Lloyd, S.J.","Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q21519397,John Lloyd,Lloyd,J.,"Lloyd, J.",,,,79118,5681-1,Jn.Lloyd,,,1791.0,1870.0,,,http://www.wikidata.org/wiki/Q21519397,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=79118,https://www.ipni.org/a/5681-1,,,
79,27019,Lloyd,S.J.,Sarah,690,2003.0,2019.0,"Lloyd, S.J.","Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q21389890,Janine Lloyd,Lloyd,J.,"Lloyd, J.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21389890,,,,,,
80,27019,Lloyd,S.J.,Sarah,690,2003.0,2019.0,"Lloyd, S.J.","Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q21535130,Jessie Lloyd,Lloyd,J.,"Lloyd, J.",,9690703,,,,,,,1843.0,1885.0,,,http://www.wikidata.org/wiki/Q21535130,,,,,,http://adb.anu.edu.au/biography/lloyd-jessie-georgina-4031
63,13020,May,T.W.,Tom,719,1981.0,2018.0,"May, T.W.","May, T.W.","May, T.",0.784,1.0,http://www.wikidata.org/entity/Q7816746,Tom May,May,T.,"May, T.",,20153361270537390717,,,20003451-1,T.W.May,,,,,,,http://www.wikidata.org/wiki/Q7816746,,,https://www.ipni.org/a/20003451-1,,,
35,16303,Pullen,R.,,830,1955.0,1998.0,"Pullen, R.","Pullen, R.","Pullen, A.B.",0.779,1.0,http://www.wikidata.org/entity/Q13222080,A. B. Pullen,Pullen,A.B.,"Pullen, A.B.",,,,,25146-1,A.B.Pullen,,,,,,,http://www.wikidata.org/wiki/Q13222080,,,https://www.ipni.org/a/25146-1,,,
152,22662,Kotschy,C.G.T.,,538,1836.0,1885.0,"Kotschy, C.G.T.","Kotschy, C.G.T.","Kotschy, T.",0.754,1.0,http://www.wikidata.org/entity/Q113299,Theodor Kotschy,Kotschy,T.,"Kotschy, T.",,5113711,0000 0000 8084 6890,23120.0,4989-1,Kotschy,Q113299,,1813.0,1866.0,,,http://www.wikidata.org/wiki/Q113299,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23120,https://www.ipni.org/a/4989-1,https://bloodhound-tracker.net/Q113299,,
51,7458,Giles,W.E.P.,William Ernest,780,1858.0,1960.0,"Giles, W.E.P.","Giles, W.E.P.","Giles, W.",0.751,1.0,http://www.wikidata.org/entity/Q2578963,William Giles,Giles,W.,"Giles, W.",,,,,,,,,1791.0,1862.0,,,http://www.wikidata.org/wiki/Q2578963,,,,,,http://adb.anu.edu.au/biography/giles-william-2095
64,736,Badman,F.J.,,717,1978.0,2007.0,"Badman, F.J.","Badman, F.J.","Gladman, F.J.",0.75,1.0,http://www.wikidata.org/entity/Q5498152,Frederick John Gladman,Gladman,F.J.,"Gladman, F.J.",,,,,,,,,1839.0,1884.0,,,http://www.wikidata.org/wiki/Q5498152,,,,,,http://adb.anu.edu.au/biography/gladman-frederick-john-3619
96,13089,McCann,I.R.,,680,1959.0,2002.0,"McCann, I.R.","McCann, I.R.","McCann, C.",0.716,1.0,http://www.wikidata.org/entity/Q5080778,Charles McCann,McCann,C.,"McCann, C.",,113006057,0000 0001 1005 7439,70058.0,5894-1,McCann,Q5080778,,1899.0,1980.0,,,http://www.wikidata.org/wiki/Q5080778,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70058,https://www.ipni.org/a/5894-1,https://bloodhound-tracker.net/Q5080778,,
31,3558,Cheal,D.C.,,841,1973.0,2012.0,"Cheal, D.C.","Cheal, D.C.","Neal, D.C.",0.689,1.0,http://www.wikidata.org/entity/Q21522017,David Carleton Neal,Neal,D.C.,"Neal, D.C.",,,,,23967-1,Neal,,,1890.0,,,,http://www.wikidata.org/wiki/Q21522017,,,https://www.ipni.org/a/23967-1,,,
114,7261,Gates,A.C.F.,,625,1890.0,1939.0,"Gates, A.C.F.","Gates, A.C.F.","Gates, W.",0.68,1.0,http://www.wikidata.org/entity/Q21539324,William Gates,Gates,W.,"Gates, W.",,,,,,,,,1816.0,1865.0,,,http://www.wikidata.org/wiki/Q21539324,,,,,,http://adb.anu.edu.au/biography/gates-william-2084
68,5475,Donner,N.N.,,710,1961.0,1989.0,"Donner, N.N.","Donner, N.N.","Donner, H.",0.679,1.0,http://www.wikidata.org/entity/Q22102525,Hans Donner,Donner,H.,"Donner, H.",,271785690,,,,,,,,,,,http://www.wikidata.org/wiki/Q22102525,,,,,,
49,10443,Jolley,H.M.,Helen,787,1996.0,2011.0,"Jolley, H.M.","Jolley, H.M.","Holley, H.",0.641,1.0,http://www.wikidata.org/entity/Q5901877,Horace Holley,Holley,H.,"Holley, H.",,33569318,0000 0000 3095 5394,,,,,,1781.0,1827.0,,,http://www.wikidata.org/wiki/Q5901877,,,,,,
6,11524,Lau,H.,Hermann,962,1865.0,1866.0,"Lau, H.","Lau, H.","Lau, S.",0.64,1.0,http://www.wikidata.org/entity/Q47120821,S. Lau,Lau,S.,"Lau, S.",,,,,5316-1,S.Lau,,,,,,,http://www.wikidata.org/wiki/Q47120821,,,https://www.ipni.org/a/5316-1,,,
50,5855,Eaves,S.H.,Samual Hinder,786,1871.0,1877.0,"Eaves, S.H.","Eaves, S.H.","Chaves, S.",0.638,1.0,http://www.wikidata.org/entity/Q88848920,Sandra Chaves,Chaves,S.,"Chaves, S.",,,,,20039208-1,S.Chaves,,,,,,,http://www.wikidata.org/wiki/Q88848920,,,https://www.ipni.org/a/20039208-1,,,
23,5864,Eckert,J.P.,,862,1861.0,1906.0,"Eckert, J.P.","Eckert, J.P.","Ecker, A.",0.626,1.0,http://www.wikidata.org/entity/Q84663,Alexander Ecker,Ecker,A.,"Ecker, A.",,3264862,0000 0001 0863 9835,,,,,,1816.0,1887.0,,,http://www.wikidata.org/wiki/Q84663,,,,,,
13,15923,Piesse,A.D.J.,,936,1980.0,1993.0,"Piesse, A.D.J.","Piesse, A.D.J.","Piesse, E.L.",0.625,1.0,http://www.wikidata.org/entity/Q24205084,Edmund Leolin Piesse,Piesse,E.L.,"Piesse, E.L.",,117612927,0000 0000 8480 2537,,,,,,1880.0,1947.0,,,http://www.wikidata.org/wiki/Q24205084,,,,,,http://adb.anu.edu.au/biography/piesse-edmund-leolin-8046
146,18206,Sewell,Miss,,548,1882.0,1895.0,"Sewell, Miss","Sewell, Miss","Sewell, A.M.",0.615,1.0,http://www.wikidata.org/entity/Q21535479,Alice Maud Sewell,Sewell,A.M.,"Sewell, A.M.",,,,,,,,,1881.0,1971.0,,,http://www.wikidata.org/wiki/Q21535479,,,,,,http://adb.anu.edu.au/biography/sewell-alice-maud-8556
25,4866,D'Alton,St. E.,Eloy,848,1871.0,1960.0,"D'Alton, St. E.","D'Alton, St. E.","Dalton, J.",0.606,4.0,http://www.wikidata.org/entity/Q21509743,James Dalton,Dalton,J.,"Dalton, J.",,,,46952,12396-1,Js.Dalton,,,1764.0,1843.0,,,http://www.wikidata.org/wiki/Q21509743,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=46952,https://www.ipni.org/a/12396-1,,,
26,4866,D'Alton,St. E.,Eloy,848,1871.0,1960.0,"D'Alton, St. E.","D'Alton, St. E.","Dalton, J.",0.606,4.0,http://www.wikidata.org/entity/Q41284,John Dalton,Dalton,J.,"Dalton, J.",,56739674,0000 0000 8384 8146,63526,1967-1,Jn.Dalton,,,1766.0,1844.0,,,http://www.wikidata.org/wiki/Q41284,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63526,https://www.ipni.org/a/1967-1,,,
27,4866,D'Alton,St. E.,Eloy,848,1871.0,1960.0,"D'Alton, St. E.","D'Alton, St. E.","Dalton, J.",0.606,4.0,http://www.wikidata.org/entity/Q6132294,James Dalton,Dalton,J.,"Dalton, J.",,,,,,,,,1861.0,1947.0,,,http://www.wikidata.org/wiki/Q6132294,,,,,,http://adb.anu.edu.au/biography/dalton-james-284
28,4866,D'Alton,St. E.,Eloy,848,1871.0,1960.0,"D'Alton, St. E.","D'Alton, St. E.","Dalton, J.",0.606,4.0,http://www.wikidata.org/entity/Q6282450,Joseph Dalton,Dalton,J.,"Dalton, J.",,,,,,,,,1817.0,1905.0,,,http://www.wikidata.org/wiki/Q6282450,,,,,,http://adb.anu.edu.au/biography/dalton-joseph-3358
171,1068,Barritt,M.J.A.,,509,1987.0,2000.0,"Barritt, M.J.A.","Barritt, M.J.A.","Merritt, M.L.",0.603,1.0,http://www.wikidata.org/entity/Q88839940,Melvin Leroy Merritt,Merritt,M.L.,"Merritt, M.L.",,,,,20043433-1,Merritt,,,1879.0,1961.0,,,http://www.wikidata.org/wiki/Q88839940,,,https://www.ipni.org/a/20043433-1,,,
0,19820,Tenison-Woods,J.E.,Julian Edmund,995,1873.0,1892.0,"Tenison-Woods, J.E.","Tenison-Woods, J.E.","Woods, J.",0.588,3.0,http://www.wikidata.org/entity/Q920730,Joseph Woods,Woods,J.,"Woods, J.",,3253133,0000 0000 2014 5021,12836.0,11856-1,J.Woods,,,1776.0,1864.0,,,http://www.wikidata.org/wiki/Q920730,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=12836,https://www.ipni.org/a/11856-1,,,
1,19820,Tenison-Woods,J.E.,Julian Edmund,995,1873.0,1892.0,"Tenison-Woods, J.E.","Tenison-Woods, J.E.","Woods, J.",0.588,3.0,http://www.wikidata.org/entity/Q16062341,John Woods,Woods,J.,"Woods, J.",,,,,,,,P005482b,1822.0,1892.0,,,http://www.wikidata.org/wiki/Q16062341,,,,,http://www.eoas.info/biogs/P005482b,http://adb.anu.edu.au/biography/woods-john-4884
2,19820,Tenison-Woods,J.E.,Julian Edmund,995,1873.0,1892.0,"Tenison-Woods, J.E.","Tenison-Woods, J.E.","Woods, J.",0.588,3.0,http://www.wikidata.org/entity/Q21539698,James Woods,Woods,J.,"Woods, J.",,,,,,,,,1893.0,1975.0,,,http://www.wikidata.org/wiki/Q21539698,,,,,,http://adb.anu.edu.au/biography/woods-james-9177
113,1588,Berthaud,G.F.,,631,1874.0,1931.0,"Berthaud, G.F.","Berthaud, G.F.","Meyer-Berthaud, B.",0.585,1.0,http://www.wikidata.org/entity/Q36517525,Brigitte Meyer-Berthaud,Meyer-Berthaud,B.,"Meyer-Berthaud, B.",,,,,20017686-1,Mey.-Berth.,,,,,,,http://www.wikidata.org/wiki/Q36517525,,,https://www.ipni.org/a/20017686-1,,,
22,10736,Kempe,F.A.H.,,875,1879.0,1924.0,"Kempe, F.A.H.","Kempe, F.A.H.","Kemper, H.",0.574,1.0,http://www.wikidata.org/entity/Q58315161,Heinrich Kemper,Kemper,H.,"Kemper, H.",,42632900,,,,,,,1902.0,1969.0,,,http://www.wikidata.org/wiki/Q58315161,,,,,,
112,1187,Batt,J.D.,,633,1880.0,1898.0,"Batt, J.D.","Batt, J.D.","Watt, J.",0.57,1.0,http://www.wikidata.org/entity/Q16059827,John Watt,Watt,J.,"Watt, J.",,92697810,,,,,,,1826.0,1897.0,,,http://www.wikidata.org/wiki/Q16059827,,,,,,http://adb.anu.edu.au/biography/watt-john-brown-1008
126,4899,Daemel,E.,Eduard,594,1862.0,1875.0,"Daemel, E.","Daemel, E.","Daemon, E.",0.561,1.0,http://www.wikidata.org/entity/Q45242799,Erik Daemon,Daemon,E.,"Daemon, E.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q45242799,,,,,,
47,4165,Constable,E.F.,,800,1946.0,1970.0,"Constable, E.F.","Constable, E.F.","Stable, J.J.",0.545,1.0,http://www.wikidata.org/entity/Q18715959,Jeremiah Joseph Stable,Stable,J.J.,"Stable, J.J.",,56991991,,,,,,,1883.0,1953.0,,,http://www.wikidata.org/wiki/Q18715959,,,,,,http://adb.anu.edu.au/biography/stable-jeremiah-joseph-8614
