,coll_index,surname_x,initials_x,canonical_string_x,name,active,comment,left_side,right_side,similarity,dup_count,item,itemLabel,surname_y,initials_y,canonical_string_y,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
0,c00001,ABBOTT,F.,"ABBOTT, F.","ABBOTT, Francis, Jnr",1834–1903,Gardens Superintendent,"ABBOTT, F.","Abbott, F.",1.0,1.0,http://www.wikidata.org/entity/Q4529517,Francis Abbott,Abbott,F.,"Abbott, F.",,,,,,,,P000065b,1799.0,1883.0,,,http://www.wikidata.org/wiki/Q4529517,,,,,http://www.eoas.info/biogs/P000065b,http://adb.anu.edu.au/biography/abbott-francis-4
9,c00010,ADAMS,L.G.(.,"ADAMS, L.G.(.","ADAMS, Laurence George (Laurie)*",1929–2014,"Herbarium botanist, Canberra","ADAMS, L.G.(.","Adams, L.G.",1.0,1.0,http://www.wikidata.org/entity/Q10316562,Laurence George Adams,Adams,L.G.,"Adams, L.G.",,,,,12081-1,L.G.Adams,,P005518b,1929.0,2014.0,,,http://www.wikidata.org/wiki/Q10316562,,,https://www.ipni.org/a/12081-1,,http://www.eoas.info/biogs/P005518b,
11,c00012,ADAMS,M.,"ADAMS, M.","ADAMS, Miss",fl. 1889,Collected on the River Murray,"ADAMS, M.","Adams, M.",1.0,1.0,http://www.wikidata.org/entity/Q22110151,Mark Adams,Adams,M.,"Adams, M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22110151,,,,,,
12,c00013,ADAMS,N.,"ADAMS, N.","ADAMS, Nilavan",fl. 2000s,"Botanical artist, ACT","ADAMS, N.","Adams, N.",1.0,1.0,http://www.wikidata.org/entity/Q3297913,Nancy Adams,Adams,N.,"Adams, N.",,36627065,0000 0000 6400 0318,20403.0,32209-1,N.M.Adams,Q3297913,,1926.0,2007.0,,,http://www.wikidata.org/wiki/Q3297913,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20403,https://www.ipni.org/a/32209-1,https://bloodhound-tracker.net/Q3297913,,
13,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*",1953-,Botany Teacher,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
14,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*",1953-,Botany Teacher,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
15,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald",1934-,Botanical illustrator,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
16,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald",1934-,Botanical illustrator,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
19,c00018,ADAMSON,R.S.,"ADAMSON, R.S.","ADAMSON, Robert Stephen",1885–1965,Botanist,"ADAMSON, R.S.","Adamson, R.S.",1.0,1.0,http://www.wikidata.org/entity/Q3436355,Robert Stephen Adamson,Adamson,R.S.,"Adamson, R.S.",,24268246,0000 0000 4587 6189,40480.0,68-1,Adamson,Q3436355,,1885.0,1965.0,,,http://www.wikidata.org/wiki/Q3436355,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40480,https://www.ipni.org/a/68-1,https://bloodhound-tracker.net/Q3436355,,
25,c00024,AGARDH,J.G.,"AGARDH, J.G.","AGARDH, Jakob Georg",1813–1901,"Swedish botanist, phycologist, never visited Australia","AGARDH, J.G.","Agardh, J.G.",1.0,1.0,http://www.wikidata.org/entity/Q520594,Jacob Georg Agardh,Agardh,J.G.,"Agardh, J.G.",,76431619,0000 0001 0917 6027,494.0,30669-1,J.Agardh,,,1813.0,1901.0,,,http://www.wikidata.org/wiki/Q520594,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=494,https://www.ipni.org/a/30669-1,,,
30,c00029,ALBRECHT,D.E.,"ALBRECHT, D.E.","ALBRECHT, David Edward*",1962-,"Herbarium botanist, Vict, NT, Tas, ACT","ALBRECHT, D.E.","Albrecht, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q8354093,David Edward Albrecht,Albrecht,D.E.,"Albrecht, D.E.",,4256153184549027100009,,60179,14172-1,Albr.,,P005243b,1962.0,,,,http://www.wikidata.org/wiki/Q8354093,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60179,https://www.ipni.org/a/14172-1,,http://www.eoas.info/biogs/P005243b,
31,c00030,ALCOCK,C.R.(.,"ALCOCK, C.R.(.","ALCOCK, Charles Raymond (Ray)*",1921-2015,"Agronomist, plant collector, weed specialist, SA","ALCOCK, C.R.(.","Alcock, C.R.",1.0,1.0,http://www.wikidata.org/entity/Q21505035,Charles Raymond Alcock,Alcock,C.R.,"Alcock, C.R.",,,,,30757-1,Alcock,,,1921.0,,,,http://www.wikidata.org/wiki/Q21505035,,,https://www.ipni.org/a/30757-1,,,
35,c00034,ALCORN,J.L.,"ALCORN, J.L.","ALCORN, John Leonard*",1937-,Mycologist,"ALCORN, J.L.","Alcorn, J.L.",1.0,1.0,http://www.wikidata.org/entity/Q21394694,John Leonard Alcorn,Alcorn,J.L.,"Alcorn, J.L.",,,,,30758-1,Alcorn,,,1937.0,,,,http://www.wikidata.org/wiki/Q21394694,,,https://www.ipni.org/a/30758-1,,,
40,c00039,ALLAN,D.,"ALLAN, D.","ALLAN, D.",fl. 1891,"collected at Colombo near Bega, NSW","ALLAN, D.","Allan, D.",1.0,1.0,http://www.wikidata.org/entity/Q21536674,David Allan,Allan,D.,"Allan, D.",,,,,,,,,1780.0,1852.0,,,http://www.wikidata.org/wiki/Q21536674,,,,,,http://adb.anu.edu.au/biography/allan-david-1695
49,c00045,ALLEN,A.,"ALLEN, A.","ALLEN, A. ^^",fl. 1896,"collected at Mossman Bay, Qld","ALLEN, A.","Allen, A.",1.0,1.0,http://www.wikidata.org/entity/Q20312249,Alfred Allen,Allen,A.,"Allen, A.",,,,,,,,,1839.0,1917.0,,,http://www.wikidata.org/wiki/Q20312249,,,,,,http://adb.anu.edu.au/biography/allen-alfred-3310
51,c00047,ALLEN,B.,"ALLEN, B.","ALLEN, Beverly",fl. 2000s,Botanical illustrator,"ALLEN, B.","Allen, B.",1.0,1.0,http://www.wikidata.org/entity/Q52903758,Benjamin Allen,Allen,B.,"Allen, B.",,27416747,0000 0000 6313 148X,,,,,,1663.0,1738.0,,,http://www.wikidata.org/wiki/Q52903758,,,,,,
53,c00049,ALLEN,G.A.,"ALLEN, G.A.","ALLEN, Grace Adelaide",1871–1940,Collected in Qld for Mueller,"ALLEN, G.A.","Allen, G.A.",1.0,1.0,http://www.wikidata.org/entity/Q13415760,Geraldine A. Allen,Allen,G.A.,"Allen, G.A.",0000-0001-7138-9090,,,92858.0,30783-1,G.A.Allen,,,1950.0,,,,http://www.wikidata.org/wiki/Q13415760,https://orcid.org/0000-0001-7138-9090,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=92858,https://www.ipni.org/a/30783-1,,,
54,c00050,ALLEN,M.(.C.,"ALLEN, M.(.C.","ALLEN, Miss  (? Catherine) ^^",1863-,"collected at Penola, SA; Bass Str. islands, Tas","ALLEN, M.(.C.","Allen, M.C.",1.0,1.0,http://www.wikidata.org/entity/Q6779194,Mary Cecil Allen,Allen,M.C.,"Allen, M.C.",,49037254,0000 0000 5428 9672,,,,,,1893.0,1962.0,,,http://www.wikidata.org/wiki/Q6779194,,,,,,http://adb.anu.edu.au/biography/allen-mary-cecil-5005
64,c00057,ALLPORT,J.,"ALLPORT, J.","ALLPORT, Joseph",1800–1877,"Solicitor, horticulturist","ALLPORT, J.","Allport, J.",1.0,1.0,http://www.wikidata.org/entity/Q21535870,Joseph Allport,Allport,J.,"Allport, J.",,420144647669568179727,,,,,,,1800.0,1877.0,,,http://www.wikidata.org/wiki/Q21535870,,,,,,http://adb.anu.edu.au/biography/allport-joseph-1700
66,c00059,ALLPORT,M.,"ALLPORT, M.","ALLPORT, Morton",1830–1878,"Naturalist, painter, Tas","ALLPORT, M.","Allport, M.",1.0,1.0,http://www.wikidata.org/entity/Q6914817,Morton Allport,Allport,M.,"Allport, M.",,94105913,,,,,,P000067b,1830.0,1878.0,,,http://www.wikidata.org/wiki/Q6914817,,,,,http://www.eoas.info/biogs/P000067b,http://adb.anu.edu.au/biography/allport-morton-2881
216,c00075,ANDERSON,M.L.,"ANDERSON, M.L.","ANDERSON, M.L.",fl. 1870,collected lichens in Australia,"ANDERSON, M.L.","Anderson, M.L.",1.0,1.0,http://www.wikidata.org/entity/Q89933662,Michelle L. Anderson,Anderson,M.L.,"Anderson, M.L.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q89933662,,,,,,
217,c00076,ANDERSON,M.,"ANDERSON, M.","ANDERSON, Miss ^^",fl. 1898,"collected at Lake Boga and Wimmera, Vic","ANDERSON, M.","Anderson, M.",1.0,1.0,http://www.wikidata.org/entity/Q6796901,Maybanke Anderson,Anderson,M.,"Anderson, M.",,18027023,0000 0000 6317 3882,,,,,,1845.0,1927.0,,,http://www.wikidata.org/wiki/Q6796901,,,,,,http://adb.anu.edu.au/biography/anderson-maybanke-susannah-5018
219,c00078,ANDERSON,R.H.,"ANDERSON, R.H.","ANDERSON, Robert Henry",1899–1969,"Gardens Director, Botanist, NSW","ANDERSON, R.H.","Anderson, R.H.",1.0,1.0,http://www.wikidata.org/entity/Q15975678,Robert Henry Anderson,Anderson,R.H.,"Anderson, R.H.",,1978021,0000 0000 8017 2718,13259.0,198-1,R.H.Anderson,,,1899.0,1969.0,,,http://www.wikidata.org/wiki/Q15975678,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13259,https://www.ipni.org/a/198-1,,,http://adb.anu.edu.au/biography/anderson-robert-henry-9359
233,c00083,ANDERSSON,N.J.,"ANDERSSON, N.J.","ANDERSSON, Nils Johan",1821–1880,"Botanist,  lecturer at Lund, Stockholm, collected on voyages","ANDERSSON, N.J.","Andersson, N.J.",1.0,1.0,http://www.wikidata.org/entity/Q1348854,Nils Johan Andersson,Andersson,N.J.,"Andersson, N.J.",,35205016,0000 0000 8114 5455,564.0,203-1,Andersson,,,1821.0,1880.0,,,http://www.wikidata.org/wiki/Q1348854,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=564,https://www.ipni.org/a/203-1,,,
239,c00087,ANDREWS,C.R.P.,"ANDREWS, C.R.P.","ANDREWS, Cecil Rollo Paton",1870–1951,"Education Director, botanist","ANDREWS, C.R.P.","Andrews, C.R.P.",1.0,1.0,http://www.wikidata.org/entity/Q13426205,Cecil Rollo Payton Andrews,Andrews,C.R.P.,"Andrews, C.R.P.",,,,67576,212-1,C.R.P.Andrews,,P005164b,1870.0,1951.0,,,http://www.wikidata.org/wiki/Q13426205,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=67576,https://www.ipni.org/a/212-1,,http://www.eoas.info/biogs/P005164b,http://adb.anu.edu.au/biography/andrews-cecil-rollo-payton-5026
240,c00088,ANDREWS,C.W.,"ANDREWS, C.W.","ANDREWS, Charles William, Dr",1866–1924,"Naturalist, geologist, collected on Cocos (Keeling), Christmas Is.","ANDREWS, C.W.","Andrews, C.W.",1.0,1.0,http://www.wikidata.org/entity/Q2960456,Charles William Andrews,Andrews,C.W.,"Andrews, C.W.",,315522788,0000 0000 9179 5064,31628.0,213-1,C.W.Andrews,,,1866.0,1924.0,,,http://www.wikidata.org/wiki/Q2960456,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=31628,https://www.ipni.org/a/213-1,,,
241,c00089,ANDREWS,E.C.,"ANDREWS, E.C.","ANDREWS, Ernest Clayton",1870–1948,Geologist,"ANDREWS, E.C.","Andrews, E.C.",1.0,1.0,http://www.wikidata.org/entity/Q5392911,Ernest Clayton Andrews,Andrews,E.C.,"Andrews, E.C.",,67335059,0000 0000 6319 8596,,,,,P000016b,1870.0,1948.0,,,http://www.wikidata.org/wiki/Q5392911,,,,,http://www.eoas.info/biogs/P000016b,http://adb.anu.edu.au/biography/andrews-ernest-clayton-5027
243,c00091,ANDREWS,F.W.,"ANDREWS, F.W.","ANDREWS, Frederick William",?1824–1884,"Naturalist, SA Museum, collected R. Murray, SA; Cape York, Qld","ANDREWS, F.W.","Andrews, F.W.",1.0,1.0,http://www.wikidata.org/entity/Q18982550,Frederick William Andrews,Andrews,F.W.,"Andrews, F.W.",,,,,215-1,F.W.Andrews,,,,1961.0,,,http://www.wikidata.org/wiki/Q18982550,,,https://www.ipni.org/a/215-1,,,
244,c00092,ANDREWS,H.C.,"ANDREWS, H.C.","ANDREWS, Henry Charles",fl. 1784–1830,"Artist, engraver, England, never came to Aust.","ANDREWS, H.C.","Andrews, H.C.",1.0,1.0,http://www.wikidata.org/entity/Q947133,Henry Charles Andrews,Andrews,H.C.,"Andrews, H.C.",,210332852,0000 0003 5893 6429,2496.0,216-1,Andrews,,,1794.0,1830.0,,,http://www.wikidata.org/wiki/Q947133,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2496,https://www.ipni.org/a/216-1,,,
251,c00095,ANDREWS,S.B.,"ANDREWS, S.B.","ANDREWS, S.B.",fl. 1970s,Pteridologist,"ANDREWS, S.B.","Andrews, S.B.",1.0,1.0,http://www.wikidata.org/entity/Q21516228,S. Brian Andrews,Andrews,S.B.,"Andrews, S.B.",,,,980,13233-1,S.B.Andrews,,,,,,,http://www.wikidata.org/wiki/Q21516228,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=980,https://www.ipni.org/a/13233-1,,,
259,c00102,ARCHER,A.W.,"ARCHER, A.W.","ARCHER, Alan W.",1930–,Lichenologist,"ARCHER, A.W.","Archer, A.W.",1.0,1.0,http://www.wikidata.org/entity/Q21339469,Alan W. Archer,Archer,A.W.,"Archer, A.W.",,,,,30946-1,A.W.Archer,,,1930.0,,,,http://www.wikidata.org/wiki/Q21339469,,,https://www.ipni.org/a/30946-1,,,
262,c00104,ARCHER,E.,"ARCHER, E.","ARCHER, Ellinor",fl. 1911–17,"Botanist, illustrator, librarian","ARCHER, E.","Archer, E.",1.0,1.0,http://www.wikidata.org/entity/Q5341592,Edward Archer,Archer,E.,"Archer, E.",,,,,,,,,1871.0,1940.0,,,http://www.wikidata.org/wiki/Q5341592,,,,,,http://adb.anu.edu.au/biography/archer-edward-walker-5596
263,c00105,ARCHER,W.H.,"ARCHER, W.H.","ARCHER, William H.",1820–1874,"Architect, botanist, illustrator, Tas","ARCHER, W.H.","Archer, W.H.",1.0,1.0,http://www.wikidata.org/entity/Q21539366,William Henry Archer,Archer,W.H.,"Archer, W.H.",,74216302,0000 0000 8154 7112,,,,,P000024b,1825.0,1909.0,,,http://www.wikidata.org/wiki/Q21539366,,,,,http://www.eoas.info/biogs/P000024b,http://adb.anu.edu.au/biography/archer-william-henry-2895
287,c00117,ARMSTRONG,J.A.,"ARMSTRONG, J.A.","ARMSTRONG, James Andrew*",1950-,"Botanist, herbarium director, Sydney, Canberra, Perth","ARMSTRONG, J.A.","Armstrong, J.A.",1.0,1.0,http://www.wikidata.org/entity/Q5925664,James Andrew Armstrong,Armstrong,J.A.,"Armstrong, J.A.",,,,,13240-1,J.A.Armstr.,,,1950.0,,,,http://www.wikidata.org/wiki/Q5925664,,,https://www.ipni.org/a/13240-1,,,
316,c00126,ARTHUR,J.,"ARTHUR, J.","ARTHUR, John",1804–1849,"Gardens Director, landscape gardener","ARTHUR, J.","Arthur, J.",1.0,1.0,http://www.wikidata.org/entity/Q1699172,John Arthur,Arthur,J.,"Arthur, J.",,,,,,,,,1875.0,1914.0,,,http://www.wikidata.org/wiki/Q1699172,,,,,,http://adb.anu.edu.au/biography/arthur-john-andrew-5060
320,c00130,ASHBY,A.M.,"ASHBY, A.M.","ASHBY, Alison Marjorie",1901–1987,Artist,"ASHBY, A.M.","Ashby, A.M.",1.0,1.0,http://www.wikidata.org/entity/Q17000830,Alison Marjorie Ashby,Ashby,A.M.,"Ashby, A.M.",,94478522,,60384,13256-1,A.M.Ashby,,P001405b,1901.0,1987.0,,,http://www.wikidata.org/wiki/Q17000830,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60384,https://www.ipni.org/a/13256-1,,http://www.eoas.info/biogs/P001405b,http://adb.anu.edu.au/biography/ashby-alison-marjorie-12151
322,c00132,ASHBY,E.,"ASHBY, E.","ASHBY, Eric, Prof. Lord",1904–1992,Ecologist,"ASHBY, E.","Ashby, E.",1.0,1.0,http://www.wikidata.org/entity/Q2191217,Edwin Ashby,Ashby,E.,"Ashby, E.",,,,80977.0,308-1,Ashby,,P000986b,1861.0,1941.0,,,http://www.wikidata.org/wiki/Q2191217,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=80977,https://www.ipni.org/a/308-1,,http://www.eoas.info/biogs/P000986b,http://adb.anu.edu.au/biography/ashby-edwin-5066
343,c00146,ATKINSON,H.B.,"ATKINSON, H.B.","ATKINSON, Henry Brune,",1874–1960,"Anglican clergyman, Archdeacon","ATKINSON, H.B.","Atkinson, H.B.",1.0,1.0,http://www.wikidata.org/entity/Q21538858,Henry Brune Atkinson,Atkinson,H.B.,"Atkinson, H.B.",,,,,,,,P001530b,1874.0,1960.0,,,http://www.wikidata.org/wiki/Q21538858,,,,,http://www.eoas.info/biogs/P001530b,http://adb.anu.edu.au/biography/atkinson-henry-brune-5080
347,c00150,AUDAS,J.W.C.,"AUDAS, J.W.C.","AUDAS, James Wales Clarendon",1872–1959,"Botanist, author, Vic","AUDAS, J.W.C.","Audas, J.W.C.",1.0,1.0,http://www.wikidata.org/entity/Q21505426,James Wales Claredon Audas,Audas,J.W.C.,"Audas, J.W.C.",,94759120,0000 0000 6520 0397,69008,13242-1,Audas,,,1872.0,1959.0,,,http://www.wikidata.org/wiki/Q21505426,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69008,https://www.ipni.org/a/13242-1,,,
355,c00156,AUSTIN,R.,"AUSTIN, R.","AUSTIN, Robert",1825–1905,"Surveyor, expedition leader, gold prospector","AUSTIN, R.","Austin, R.",1.0,1.0,http://www.wikidata.org/entity/Q1474833,Robert Austin,Austin,R.,"Austin, R.",,92432437,,,,,,P005754b,1825.0,1905.0,,,http://www.wikidata.org/wiki/Q1474833,,,,,http://www.eoas.info/biogs/P005754b,http://adb.anu.edu.au/biography/austin-robert-12777
363,c00163,BAEUERLEN,[.W.[.,"BAEUERLEN, [.W.[.","BAEUERLEN, [BAUERLEN] Wilhelm [William]",1845-ext.1901,"Botanist, museum collector","BAEUERLEN, [.W.[.","Baeuerlen, W.",1.0,1.0,http://www.wikidata.org/entity/Q62088127,William Baeuerlen,Baeuerlen,W.,"Baeuerlen, W.",,,,27830,,,,P002095b,1840.0,1893.0,,,http://www.wikidata.org/wiki/Q62088127,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=27830,,,http://www.eoas.info/biogs/P002095b,
367,c00167,BAILEY,A.,"BAILEY, A.","BAILEY, Alan",1937-,"Botanist, phycologist","BAILEY, A.","Bailey, A.",1.0,1.0,http://www.wikidata.org/entity/Q21505545,Alan Bailey,Bailey,A.,"Bailey, A.",,94732535,,,32325-1,A.Bailey,,,1937.0,,,,http://www.wikidata.org/wiki/Q21505545,,,https://www.ipni.org/a/32325-1,,,
373,c00171,BAILEY,J.(.).,"BAILEY, J.(.).","BAILEY, John (?B.)",1800-1864,"Colonial Botanist, gardens curator","BAILEY, J.(.).","Bailey, J.",1.0,1.0,http://www.wikidata.org/entity/Q6220267,John Bailey,Bailey,J.,"Bailey, J.",,,,,,,,P002093b,1871.0,1947.0,,,http://www.wikidata.org/wiki/Q6220267,,,,,http://www.eoas.info/biogs/P002093b,http://adb.anu.edu.au/biography/bailey-john-jack-5096
374,c00172,BAILEY,J.R.,"BAILEY, J.R.","BAILEY, John Rayer",fl. 1950s,Gardens curator,"BAILEY, J.R.","Bailey, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q22106318,Joseph R. Bailey,Bailey,J.R.,"Bailey, J.R.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22106318,,,,,,
386,c00180,BAKER,(.).M.,"BAKER, (.).M.","BAKER, (J.) M. ^^",fl. 1891-96,collected in NSW at Picton,"BAKER, (.).M.","Baker, M.",1.0,1.0,http://www.wikidata.org/entity/Q11935284,Marcus Baker,Baker,M.,"Baker, M.",,76617988,0000 0001 1936 4304,,,,,,1849.0,1903.0,,,http://www.wikidata.org/wiki/Q11935284,,,,,,
387,c00181,BAKER,R.T.,"BAKER, R.T.","BAKER, Richard Thomas",1854-1941,"Economic botanist, museum curator, author","BAKER, R.T.","Baker, R.T.",1.0,1.0,http://www.wikidata.org/entity/Q7329451,Richard Thomas Baker,Baker,R.T.,"Baker, R.T.",,56100555,0000 0000 6402 8265,25437.0,409-1,R.T.Baker,,P000980b,1854.0,1941.0,,,http://www.wikidata.org/wiki/Q7329451,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=25437,https://www.ipni.org/a/409-1,,http://www.eoas.info/biogs/P000980b,http://adb.anu.edu.au/biography/baker-richard-thomas-5108
393,c00184,BALANSA,B.(.,"BALANSA, B.(.","BALANSA, Bendedict (Benjamin)",1825-1891,French botanist explorer,"BALANSA, B.(.","Balansa, B.",1.0,1.0,http://www.wikidata.org/entity/Q536946,Benjamin Balansa,Balansa,B.,"Balansa, B.",,71694492,0000 0000 0260 2719,45584.0,416-1,Balansa,,,1825.0,1891.0,,,http://www.wikidata.org/wiki/Q536946,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=45584,https://www.ipni.org/a/416-1,,,
398,c00189,BALGOOY,M.M.J.v.,"BALGOOY, M.M.J.v.","BALGOOY, Max Michael Josephus van",1932,"Java-born botanist/collector, Pacific flora, incl. Aust., based in Leiden","BALGOOY, M.M.J.v.","Balgooy, M.M.J.v.",1.0,1.0,http://www.wikidata.org/entity/Q21505593,Max Michael Josephus van Balgooy,Balgooy,M.M.J.v.,"Balgooy, M.M.J.v.",,,,94292,425-1,Balgooy,,,1932.0,,,,http://www.wikidata.org/wiki/Q21505593,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=94292,https://www.ipni.org/a/425-1,,,
399,c00190,BALL,H.L.,"BALL, H.L.","BALL, Henry Lidgbird",1756-1818,"Naval Officer, 1st Fleet, artist","BALL, H.L.","Ball, H.L.",1.0,1.0,http://www.wikidata.org/entity/Q1606983,Henry Lidgbird Ball,Ball,H.L.,"Ball, H.L.",,264309889,0000 0003 8214 1503,,,,,,1756.0,1818.0,,,http://www.wikidata.org/wiki/Q1606983,,,,,,http://adb.anu.edu.au/biography/ball-henry-lidgbird-1734
404,c00194,BALME,B.E.,"BALME, B.E.","BALME, Basil E., Dr",1923-,"Palynologist, palaeobotanist","BALME, B.E.","Balme, B.E.",1.0,1.0,http://www.wikidata.org/entity/Q21505604,Basil Eric Balme,Balme,B.E.,"Balme, B.E.",,,,,31268-1,Balme,,,1923.0,,,,http://www.wikidata.org/wiki/Q21505604,,,https://www.ipni.org/a/31268-1,,,
406,c00196,BANCROFT,J.,"BANCROFT, J.","BANCROFT, Joseph, Dr",1836-1894,"Surgeon, pharmacologist","BANCROFT, J.","Bancroft, J.",1.0,1.0,http://www.wikidata.org/entity/Q14949101,Joseph Bancroft,Bancroft,J.,"Bancroft, J.",,73286195,0000 0000 5568 6557,,,,,P002181b,1836.0,1894.0,,,http://www.wikidata.org/wiki/Q14949101,,,,,http://www.eoas.info/biogs/P002181b,http://adb.anu.edu.au/biography/bancroft-joseph-2927
407,c00197,BANCROFT,T.L.,"BANCROFT, T.L.","BANCROFT, Thomas Lane",1860-1933,"Medical Officer, naturalist, plant breeder","BANCROFT, T.L.","Bancroft, T.L.",1.0,1.0,http://www.wikidata.org/entity/Q21538805,Thomas Lane Bancroft,Bancroft,T.L.,"Bancroft, T.L.",,92744832,,,,,,P000979b,1860.0,1933.0,,,http://www.wikidata.org/wiki/Q21538805,,,,,http://www.eoas.info/biogs/P000979b,http://adb.anu.edu.au/biography/bancroft-thomas-lane-5120
412,c00202,BANKS,D.P.,"BANKS, D.P.","BANKS, David Paul",1965-,"Orchid collector, grower, lecturer","BANKS, D.P.","Banks, D.P.",1.0,1.0,http://www.wikidata.org/entity/Q25659608,David P. Banks,Banks,D.P.,"Banks, D.P.",,,,,38443-1,D.P.Banks,,,,,,,http://www.wikidata.org/wiki/Q25659608,,,https://www.ipni.org/a/38443-1,,,
413,c00203,BANKS,J.,"BANKS, J.","BANKS, Joseph, Sir",1743-1820,"Naturalist, explorer, promoter, Royal Society President","BANKS, J.","Banks, J.",1.0,1.0,http://www.wikidata.org/entity/Q153408,Joseph Banks,Banks,J.,"Banks, J.",,46830189,0000 0001 2131 0954,300.0,448-1,Banks,Q153408,P000037b,1743.0,1820.0,,,http://www.wikidata.org/wiki/Q153408,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=300,https://www.ipni.org/a/448-1,https://bloodhound-tracker.net/Q153408,http://www.eoas.info/biogs/P000037b,http://adb.anu.edu.au/biography/banks-sir-joseph-1737
416,c00206,BARAGWANATH,W.,"BARAGWANATH, W.","BARAGWANATH, William, Jnr,",1878-1966,"Geologist, mine surveyor, Director of Geol. survey","BARAGWANATH, W.","Baragwanath, W.",1.0,1.0,http://www.wikidata.org/entity/Q8005026,William Baragwanath,Baragwanath,W.,"Baragwanath, W.",,94655715,,,,,,P000977b,1878.0,1966.0,,,http://www.wikidata.org/wiki/Q8005026,,,,,http://www.eoas.info/biogs/P000977b,http://adb.anu.edu.au/biography/baragwanath-william-5122
424,c00212,BARKER,M.A.,"BARKER, M.A.","BARKER, Mary Ann, Mrs, nee ELRIDGE",1790-1872,"Collected seaweeds for Harvey, Vic","BARKER, M.A.","Barker, M.A.",1.0,1.0,http://www.wikidata.org/entity/Q6778935,Mary Anne Barker,Barker,M.A.,"Barker, M.A.",,29896396,0000 0001 1064 8028,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q6778935,,,,,,http://adb.anu.edu.au/biography/broome-lady-mary-anne-3069
428,c00216,BARKER,R.M.,"BARKER, R.M.","BARKER, Robyn Mary, Mrs(n&eacute;e SHORT)",1948-,"Botanist, taxonomist","BARKER, R.M.","Barker, R.M.",1.0,1.0,http://www.wikidata.org/entity/Q21505668,Robyn Mary Barker,Barker,R.M.,"Barker, R.M.",,,,,31325-1,R.M.Barker,,,1948.0,,,,http://www.wikidata.org/wiki/Q21505668,,,https://www.ipni.org/a/31325-1,,,
