,coll_index,surname_x,initials_x,canonical_string_x,name,active,comment,left_side,right_side,similarity,dup_count,item,itemLabel,surname_y,initials_y,canonical_string_y,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
1293,c00870,CLEMENTS,M.A.,"CLEMENTS, M.A.","CLEMENTS, Mark Alwin",1949–,"Herbarium botanist, orchidologist, SA, ACT","CLEMENTS, M.A.","Clements, M.A.",1.0,1.0,http://www.wikidata.org/entity/Q2272220,Mark Alwin Clements,Clements,M.A.,"Clements, M.A.",,91373070,0000 0000 8454 614X,,17309-1,M.A.Clem.,,,1949.0,,,,http://www.wikidata.org/wiki/Q2272220,,,https://www.ipni.org/a/17309-1,,,
1294,c00871,CLEMESHA,S.C.,"CLEMESHA, S.C.","CLEMESHA, Stephen Chapman*",1942-,"Botanist, author, orchidologist","CLEMESHA, S.C.","Clemesha, S.C.",1.0,1.0,http://www.wikidata.org/entity/Q21508739,Stephen Chapman Clemesha,Clemesha,S.C.,"Clemesha, S.C.",,,,,1690-1,Clemesha,,,1942.0,,,,http://www.wikidata.org/wiki/Q21508739,,,https://www.ipni.org/a/1690-1,,,
1298,c00875,CLIFFORD,H.T.,"CLIFFORD, H.T.","CLIFFORD, Harold Trevor, Prof.*",1927-,"Taxonomist, ecologist, author","CLIFFORD, H.T.","Clifford, H.T.",1.0,1.0,http://www.wikidata.org/entity/Q5892430,Harold Trevor Clifford,Clifford,H.T.,"Clifford, H.T.",,56670060,0000 0001 1063 8946,73110,1697-1,Clifford,,P004663b,1927.0,,,,http://www.wikidata.org/wiki/Q5892430,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=73110,https://www.ipni.org/a/1697-1,,http://www.eoas.info/biogs/P004663b,
1300,c00877,CLIFTON,G.,"CLIFTON, G.","CLIFTON, George",1823-1913,"Police Inspector, algae collector","CLIFTON, G.","Clifton, G.",1.0,1.0,http://www.wikidata.org/entity/Q5537977,George Clifton,Clifton,G.,"Clifton, G.",,,,26749.0,1698-1,Clifton,,,1823.0,1913.0,,,http://www.wikidata.org/wiki/Q5537977,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=26749,https://www.ipni.org/a/1698-1,,,
1308,c00885,COBB,L.,"COBB, L.","COBB, Lorraine",-2008,Botanist and botanical illustrator,"COBB, L.","Cobb, L.",1.0,1.0,http://www.wikidata.org/entity/Q5971620,Laura Cobb,Cobb,L.,"Cobb, L.",,317178454,,,17318-1,L.Cobb,,,1950.0,,,,http://www.wikidata.org/wiki/Q5971620,,,https://www.ipni.org/a/17318-1,,,
1312,c00889,COLE,E.W.,"COLE, E.W.","COLE, E. W.",f. 1860s,"Photographer, publisher, seed collector","COLE, E.W.","Cole, E.W.",1.0,1.0,http://www.wikidata.org/entity/Q5345893,Edward William Cole,Cole,E.W.,"Cole, E.W.",,4621965,0000 0000 6685 3883,,,,,,1832.0,1918.0,,,http://www.wikidata.org/wiki/Q5345893,,,,,,http://adb.anu.edu.au/biography/cole-edward-william-3243
1316,c00892,COLEMAN,E.,"COLEMAN, E.","COLEMAN, Edith, Mrs, nee HARMS",1874-1951,"Teacher, naturalist, writer, esp. Victorian Naturalist, Vic","COLEMAN, E.","Coleman, E.",1.0,1.0,http://www.wikidata.org/entity/Q5338518,Edith Coleman,Coleman,E.,"Coleman, E.",,,,80425.0,1733-1,E.Coleman,,P006057b,1874.0,1951.0,,,http://www.wikidata.org/wiki/Q5338518,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=80425,https://www.ipni.org/a/1733-1,,http://www.eoas.info/biogs/P006057b,http://adb.anu.edu.au/biography/coleman-edith-9784
1319,c00894,COLENSO,W.,"COLENSO, W.","COLENSO, William",1811-1899,"Missionary and botanist esp. cryptogams, mostly in New Zealand","COLENSO, W.","Colenso, W.",1.0,1.0,http://www.wikidata.org/entity/Q2624463,William Colenso,Colenso,W.,"Colenso, W.",,69861851,0000 0000 6324 5057,27349.0,1736-1,Colenso,Q2624463,P001553b,1811.0,1899.0,,,http://www.wikidata.org/wiki/Q2624463,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=27349,https://www.ipni.org/a/1736-1,https://bloodhound-tracker.net/Q2624463,http://www.eoas.info/biogs/P001553b,
1320,c00895,COLLIE,A.,"COLLIE, A.","COLLIE, Alexander",1793-1835,"Surgeon, explorer","COLLIE, A.","Collie, A.",1.0,1.0,http://www.wikidata.org/entity/Q443356,Alexander Collie,Collie,A.,"Collie, A.",,88267046,0000 0000 6325 9416,7374.0,1741-1,Collie,,P001140b,1793.0,1835.0,,,http://www.wikidata.org/wiki/Q443356,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=7374,https://www.ipni.org/a/1741-1,,http://www.eoas.info/biogs/P001140b,http://adb.anu.edu.au/biography/collie-alexander-1911
1322,c00897,COLLINS,J.,"COLLINS, J.","COLLINS, June",fl. 1960s,Botanical illustrator,"COLLINS, J.","Collins, J.",1.0,1.0,http://www.wikidata.org/entity/Q17626552,James Collins,Collins,J.,"Collins, J.",,93038500,,,,,,,1869.0,1934.0,,,http://www.wikidata.org/wiki/Q17626552,,,,,,http://adb.anu.edu.au/biography/collins-james-richard-5739
1325,c00900,COLLIVER,F.S.,"COLLIVER, F.S.","COLLIVER, Frederick Stanley",1908-1991,"Geologist, naturalist","COLLIVER, F.S.","Colliver, F.S.(.",1.0,1.0,http://www.wikidata.org/entity/Q21537923,Frederick Stanley (Stan) Colliver,Colliver,F.S.(.,"Colliver, F.S.(.",,,,,,,,,1908.0,1991.0,,,http://www.wikidata.org/wiki/Q21537923,,,,,,http://adb.anu.edu.au/biography/colliver-frederick-stanley-stan-15919
1328,c00903,COMBER,H.F.,"COMBER, H.F.","COMBER, Harold Frederick",1897-1969,"Botanical explorer, gardener","COMBER, H.F.","Comber, H.F.",1.0,1.0,http://www.wikidata.org/entity/Q1547403,Harold Frederick Comber,Comber,H.F.,"Comber, H.F.",,24273032,0000 0000 4588 0065,2959.0,1750-1,H.F.Comber,,,1897.0,1969.0,,,http://www.wikidata.org/wiki/Q1547403,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2959,https://www.ipni.org/a/1750-1,,,
1334,c00908,CONRAN,J.G.,"CONRAN, J.G.","CONRAN, John Godfrey*",1960-,"Botanist, ecologist","CONRAN, J.G.","Conran, J.G.",1.0,1.0,http://www.wikidata.org/entity/Q5933278,John Godfrey Conran,Conran,J.G.,"Conran, J.G.",,44183496,,78835,12466-1,Conran,,,1960.0,,,,http://www.wikidata.org/wiki/Q5933278,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=78835,https://www.ipni.org/a/12466-1,,,
1343,c00915,COOKE,D.A.,"COOKE, D.A.","COOKE, David Alan",1949-,Botanist,"COOKE, D.A.","Cooke, D.A.",1.0,1.0,http://www.wikidata.org/entity/Q2881723,David Alan Cooke,Cooke,D.A.,"Cooke, D.A.",,,,,13264-1,D.A.Cooke,,,1949.0,,,,http://www.wikidata.org/wiki/Q2881723,,,https://www.ipni.org/a/13264-1,,,
1373,c00922,COOPER,H.M.,"COOPER, H.M.","COOPER, Harold M.",1886-1970,Scientist,"COOPER, H.M.","Cooper, H.M.",1.0,1.0,http://www.wikidata.org/entity/Q61893838,Harold Moore Cooper,Cooper,H.M.,"Cooper, H.M.",,91874641,0000 0000 6495 9473,,,,,,1886.0,1970.0,,,http://www.wikidata.org/wiki/Q61893838,,,,,,http://adb.anu.edu.au/biography/cooper-harold-more-9821
1374,c00923,COOPER,W.T.(.,"COOPER, W.T.(.","COOPER, William T. (Bill)",1934-,"Natural history artist, fruit illustrator, Qld.","COOPER, W.T.(.","Cooper, W.T.",1.0,1.0,http://www.wikidata.org/entity/Q2580765,William Thomas Cooper,Cooper,W.T.,"Cooper, W.T.",,5086419,0000 0000 8181 7792,,,,,P003128b,1934.0,2015.0,,,http://www.wikidata.org/wiki/Q2580765,,,,,http://www.eoas.info/biogs/P003128b,
1376,c00925,COPLEY,P.B.,"COPLEY, P.B.","COPLEY, Peter Bruce*",1956-,"Botanist, zoologist, ecologist","COPLEY, P.B.","Copley, P.B.",1.0,1.0,http://www.wikidata.org/entity/Q21509030,Peter Bruce Copley,Copley,P.B.,"Copley, P.B.",,,,,17417-1,Copley,,,1956.0,,,,http://www.wikidata.org/wiki/Q21509030,,,https://www.ipni.org/a/17417-1,,,
1384,c00933,CORRICK,M.G.,"CORRICK, M.G.","CORRICK, Margaret Georgina, Mrs*",1922-,Herbarium assistant,"CORRICK, M.G.","Corrick, M.G.",1.0,1.0,http://www.wikidata.org/entity/Q21509106,Margaret Georgina Corrick,Corrick,M.G.,"Corrick, M.G.",,,,,12119-1,Corrick,,,1922.0,,,,http://www.wikidata.org/wiki/Q21509106,,,https://www.ipni.org/a/12119-1,,,
1386,c00935,COSTERMANS,L.F.,"COSTERMANS, L.F.","COSTERMANS, Leon F.",1933-,"Teacher, botanist, author, illustrator","COSTERMANS, L.F.","Costermans, L.F.",1.0,1.0,http://www.wikidata.org/entity/Q21509139,Leon F. Costermans,Costermans,L.F.,"Costermans, L.F.",,117057866,0000 0001 2214 5145,,20008344-1,Costerm.,,P005269b,1933.0,,,,http://www.wikidata.org/wiki/Q21509139,,,https://www.ipni.org/a/20008344-1,,http://www.eoas.info/biogs/P005269b,
1387,c00936,COSTIN,A.B.,"COSTIN, A.B.","COSTIN, Alec Baillie*",1925-,"Ecologist, author","COSTIN, A.B.","Costin, A.B.",1.0,1.0,http://www.wikidata.org/entity/Q79053412,Alec Baillie Costin,Costin,A.B.,"Costin, A.B.",,,,,,,,P002656b,1925.0,,,,http://www.wikidata.org/wiki/Q79053412,,,,,http://www.eoas.info/biogs/P002656b,
1391,c00940,COURT,A.B.,"COURT, A.B.","COURT, Arthur Bertram",1927-2012,"Herbarium botanist, curator, Acacia specialist, Vict, ACT","COURT, A.B.","Court, A.B.",1.0,1.0,http://www.wikidata.org/entity/Q21388029,Arthur Bertram Court,Court,A.B.,"Court, A.B.",,,,,1842-1,Court,,P006313b,1927.0,2012.0,,,http://www.wikidata.org/wiki/Q21388029,,,https://www.ipni.org/a/1842-1,,http://www.eoas.info/biogs/P006313b,
