,coll_index,surname_x,initials_x,clean_name,raw_name,name,matched_name,distance,dup_count,item,itemLabel,surname_y,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
2682,c03302,WALLACE,S.P.,"WALLACE, S.P.","WALLACE, S. P.","WALLACE, S.P.","Wallace, A.",0.7,1,http://www.wikidata.org/entity/Q21062020,Alexander Wallace,Wallace,A.,"Wallace, A.",,8230155044797372520003,,67772.0,11345-1,A.Wallace,1829.0,1899.0,,
2683,c03360,WEBB,W.H.,"WEBB, W.H.","WEBB, W.H.","WEBB, W.H.","Webb, W.F.",0.7,1,http://www.wikidata.org/entity/Q7964883,Walter Freeman Webb,Webb,W.F.,"Webb, W.F.",,18733735,0000 0000 8010 4643,,,,1869.0,1957.0,,
2684,c03539,YOUNG Jess,,YOUNG Jess,YOUNG Jess,YOUNG Jess,"Young, J.E.",0.7,1,http://www.wikidata.org/entity/Q22110129,Jeanne E. Young,Young,J.E.,"Young, J.E.",,,,,,,,,,
2685,c01018,DALTON,S.M.,"DALTON, S.M.","DALTON, S.M.","DALTON, S.M.","Dalton, J.",0.7,2,http://www.wikidata.org/entity/Q21509743,James Dalton,Dalton,J.,"Dalton, J.",,,,46952,12396-1,Js.Dalton,1764.0,1843.0,,
2686,c01018,DALTON,S.M.,"DALTON, S.M.","DALTON, S.M.","DALTON, S.M.","Dalton, J.",0.7,2,http://www.wikidata.org/entity/Q41284,John Dalton,Dalton,J.,"Dalton, J.",,56739674,0000 0000 8384 8146,63526,1967-1,Jn.Dalton,1766.0,1844.0,,
2687,c01228,EVANS,M.C.(.M.M.,"EVANS, M.C.(.M.M.","EVANS, Mary Cecil (later Mrs Miller)","EVANS, M.C.(.M.M.","Evans, M.",0.7,2,http://www.wikidata.org/entity/Q59219170,Mark Evans,Evans,M.,"Evans, M.",,,,,,,,,,
2688,c01228,EVANS,M.C.(.M.M.,"EVANS, M.C.(.M.M.","EVANS, Mary Cecil (later Mrs Miller)","EVANS, M.C.(.M.M.","Evans, M.",0.7,2,http://www.wikidata.org/entity/Q88838133,M. Evans,Evans,M.,"Evans, M.",,,,,20038521-1,M.Evans,,,,
2689,c01488,GRAY,R.G.,"GRAY, R.G.","GRAY, Roy Gordon*","GRAY, R.G.","Gray, R.",0.7,2,http://www.wikidata.org/entity/Q7344926,Robert Gray,Gray,R.,"Gray, R.",,354145857932023020303,,,,,1825.0,1887.0,,
2690,c01488,GRAY,R.G.,"GRAY, R.G.","GRAY, Roy Gordon*","GRAY, R.G.","Gray, R.",0.7,2,http://www.wikidata.org/entity/Q47165144,Russell Gray,Gray,R.,"Gray, R.",,,,,,,,,,
2691,c01604,HARRIS,T.Y.,"HARRIS, T.Y.","HARRIS, Thistle Y., see STEAD","HARRIS, T.Y.","Harris, T.",0.7,2,http://www.wikidata.org/entity/Q23661039,Tanner Harris,Harris,T.,"Harris, T.",,,,,,,,,,
2692,c01604,HARRIS,T.Y.,"HARRIS, T.Y.","HARRIS, Thistle Y., see STEAD","HARRIS, T.Y.","Harris, T.",0.7,2,http://www.wikidata.org/entity/Q33675279,Timothy Harris,Harris,T.,"Harris, T.",,,,,20008024-1,T.Harris,1982.0,,,
2693,c02151,LUCAS,W.H.,"LUCAS, W.H.","LUCAS, W.H.","LUCAS, W.H.","Lucas, J.",0.7,2,http://www.wikidata.org/entity/Q6285050,Joseph Lucas,Lucas,J.,"Lucas, J.",,55460586,,,,,1834.0,1902.0,,
