,label,count,start_date,end_date,activity_span,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
67,"Lang, P.J.",5949,1967.0,2018.0,51.0,"Lang, P.J.","Lang, P.J.",0.0,1,http://www.wikidata.org/entity/Q21516211,Peter J. Lang,Lang,P.J.,"Lang, P.J.",,44064002,0000 0000 8122 2692,,37784-1,P.J.Lang,1955.0,,,
68,"Clements, M.A.",5779,1886.0,2019.0,133.0,"Clements, M.A.","Clements, M.A.",0.0,1,http://www.wikidata.org/entity/Q2272220,Mark Alwin Clements,Clements,M.A.,"Clements, M.A.",,1978151353518552720003,0000 0000 8454 614X,,17309-1,M.A.Clem.,1949.0,,,
69,"Adams, L.G.",5745,1948.0,2007.0,59.0,"Adams, L.G.","Adams, L.G.",0.0,1,http://www.wikidata.org/entity/Q10316562,Laurence George Adams,Adams,L.G.,"Adams, L.G.",,,,,12081-1,L.G.Adams,1929.0,2014.0,,
70,"Slee, A.V.",5587,1973.0,2020.0,47.0,"Slee, A.V.","Slee, A.V.",0.0,1,http://www.wikidata.org/entity/Q21609032,Andrew Vernon Slee,Slee,A.V.,"Slee, A.V.",,,,,37064-1,Slee,1950.0,,,
71,"Price, I.R.",5474,1684.0,1995.0,311.0,"Price, I.R.","Price, I.R.",0.0,1,http://www.wikidata.org/entity/Q21523240,Ian Russell Price,Price,I.R.,"Price, I.R.",,,,,33917-1,I.R.Price,1940.0,,,
72,"Verdon, D.",5444,1960.0,1994.0,34.0,"Verdon, D.","Verdon, D.",0.0,1,http://www.wikidata.org/entity/Q21341750,Douglas Verdon,Verdon,D.,"Verdon, D.",,,,48900,31473-1,Verdon,1920.0,2000.0,,
73,"Gauba, E.",5417,1900.0,1983.0,83.0,"Gauba, E.","Gauba, E.",0.0,1,http://www.wikidata.org/entity/Q5837203,Erwin Gauba,Gauba,E.,"Gauba, E.",,,,46218,3048-1,Gauba,1891.0,1964.0,,
74,"Johnson, R.W.",5401,1930.0,2010.0,80.0,"Johnson, R.W.","Johnson, R.W.",0.0,1,http://www.wikidata.org/entity/Q21505765,Robert William Johnson,Johnson,R.W.,"Johnson, R.W.",,,,45804,21024-1,R.W.Johnson,1930.0,2012.0,,
75,"Forbes, S.J.",5374,1937.0,2013.0,76.0,"Forbes, S.J.","Forbes, S.J.",0.0,1,http://www.wikidata.org/entity/Q21513320,Stephen J. Forbes,Forbes,S.J.,"Forbes, S.J.",,,,,37432-1,S.J.Forbes,1953.0,,,
76,"Williamson, H.B.",5362,1828.0,1992.0,164.0,"Williamson, H.B.","Williamson, H.B.",0.0,1,http://www.wikidata.org/entity/Q20016691,Herbert Bennett Williamson,Williamson,H.B.,"Williamson, H.B.",,,,38662,11712-1,H.B.Will.,1860.0,1931.0,,
