,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
65,15766,Persieh,W.A.,,2551,1877.0,1887.0,"Persieh, W.A.","Persieh, W.A.","Hsieh, W.H.",0.633,1.0,http://www.wikidata.org/entity/Q36701441,Wen Hsui Hsieh,Hsieh,W.H.,"Hsieh, W.H.",,,,,20548-1,W.H.Hsieh,,,,,,,http://www.wikidata.org/wiki/Q36701441,,,https://www.ipni.org/a/20548-1,,,
27,3598,Chesterfield,E.A.,Evan,4350,1970.0,2002.0,"Chesterfield, E.A.","Chesterfield, E.A.","Waterfield, W.",0.623,1.0,http://www.wikidata.org/entity/Q21539672,William Waterfield,Waterfield,W.,"Waterfield, W.",,,,,,,,,1795.0,1868.0,,,http://www.wikidata.org/wiki/Q21539672,,,,,,http://adb.anu.edu.au/biography/waterfield-william-2774
44,743,Bäuerlen,W.,William,3434,1880.0,1910.0,"Bäuerlen, W.","Bäuerlen, W.","Baeuerlen, W.",0.6,1.0,http://www.wikidata.org/entity/Q62088127,William Baeuerlen,Baeuerlen,W.,"Baeuerlen, W.",,,,27830,,,,P002095b,1840.0,1893.0,,,http://www.wikidata.org/wiki/Q62088127,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=27830,,,http://www.eoas.info/biogs/P002095b,
167,6960,French Jnr,C.H.,,1156,1866.0,1944.0,"French Jnr, C.H.","French Jnr, C.H.","French, J.",0.596,1.0,http://www.wikidata.org/entity/Q6112587,Jack French,French,J.,"French, J.",,,,,,,,,1914.0,1942.0,,,http://www.wikidata.org/wiki/Q6112587,,,,,,http://adb.anu.edu.au/biography/french-john-alexander-10250
9,21564,Whinray,J.S.,John,10631,1958.0,2017.0,"Whinray, J.S.","Whinray, J.S.","Pray, J.S.",0.559,1.0,http://www.wikidata.org/entity/Q23620375,James Sturgis Pray,Pray,J.S.,"Pray, J.S.",,71104605,0000 0000 4478 7248,,,,,,1871.0,1929.0,,,http://www.wikidata.org/wiki/Q23620375,,,,,,
26,19007,St John,P.R.H.,,4402,1881.0,1999.0,"St John, P.R.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,10624,Karunajeewa,N.G.,Nimal,2052,2002.0,2020.0,"Karunajeewa, N.G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,19624,Tadgell,A.J.,,1425,1886.0,1966.0,"Tadgell, A.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1176,Batianoff,G.N.,,1278,1955.0,2007.0,"Batianoff, G.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2729,Bufton,J.,,1061,1853.0,1898.0,"Bufton, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
