,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,match_string,name,matched_name,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
170,19007,St John,P.R.H.,,4402,1881,1999,"St John, P.R.H.","St John, P.R.H.","John, J.",0.95,2,http://www.wikidata.org/entity/Q12767797,Jan John,John,J.,"John, J.",,254617077,0000 0003 7745 1558,,,,1850.0,1920.0,,
171,19007,St John,P.R.H.,,4402,1881,1999,"St John, P.R.H.","St John, P.R.H.","John, J.",0.95,2,http://www.wikidata.org/entity/Q47119630,Jacob John,John,J.,"John, J.",,,,,29705-1,J.John,,,,
172,3598,Chesterfield,E.A.,Evan,4350,1970,2002,"Chesterfield, E.A.","Chesterfield, E.A.","Waterfield, M.H.",0.97,1,http://www.wikidata.org/entity/Q21289447,Margaret Helen Waterfield,Waterfield,M.H.,"Waterfield, M.H.",,96330646,0000 0000 6995 0574,,,,1863.0,1953.0,,
173,7041,Fullagar,J.P.,James,1121,1860,1877,"Fullagar, J.P.","Fullagar, J.P.","Fuller, J.",0.97,1,http://www.wikidata.org/entity/Q21808706,James Fuller,Fuller,J.,"Fuller, J.",,,,,,,,,,
174,15766,Persieh,W.A.,,2551,1877,1887,"Persieh, W.A.","Persieh, W.A.","Persiel, I.",0.98,1,http://www.wikidata.org/entity/Q36583942,Ingetraud Persiel,Persiel,I.,"Persiel, I.",,,,68943,24747-1,Persiel,,,,
175,20156,Tonkin,J.E.,Jenny,1289,1994,2006,"Tonkin, J.E.","Tonkin, J.E.","Donkin, A.S.",1.02,1,http://www.wikidata.org/entity/Q36501058,Arthur Scott Donkin,Donkin,A.S.,"Donkin, A.S.",,,,77581,2274-1,Donkin,1828.0,1883.0,,
176,19624,Tadgell,A.J.,,1425,1886,1966,"Tadgell, A.J.","Tadgell, A.J.","Ebell, A.J.",1.06,1,http://www.wikidata.org/entity/Q4685140,Adrian John Ebell,Ebell,A.J.,"Ebell, A.J.",,,,,,,1840.0,1877.0,,
177,4400,Coveny,R.G.,,3070,1953,2013,"Coveny, R.G.","Coveny, R.G.","Cover, S.P.",1.09,1,http://www.wikidata.org/entity/Q21339398,Stefan P. Cover,Cover,S.P.,"Cover, S.P.",,,,,,,,,,
178,1176,Batianoff,G.N.,,1278,1955,2007,"Batianoff, G.N.","Batianoff, G.N.","Bati, .",1.1,1,http://www.wikidata.org/entity/Q47113856,Bati,Bati,.,"Bati, .",,,,,20001109-1,Bati,,,,
179,10624,Karunajeewa,N.G.,Nimal,2052,2002,2020,"Karunajeewa, N.G.","Karunajeewa, N.G.","Karunarathna, N.",1.11,1,http://www.wikidata.org/entity/Q23068620,Nuwan Karunarathna,Karunarathna,N.,"Karunarathna, N.",,,,,,,,,,
180,2729,Bufton,J.,,1061,1853,1898,"Bufton, J.","Bufton, J.","Clifton, G.",1.14,1,http://www.wikidata.org/entity/Q5537977,George Clifton,Clifton,G.,"Clifton, G.",,,,26749.0,1698-1,Clifton,1823.0,1913.0,,
