,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,match_string,name,matched_name,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
103,4492,Craven,L.A.,Lyn,2564,1962,2008,"Craven, L.A.","Craven, L.A.","Craven, L.",0.54,1,http://www.wikidata.org/entity/Q6708677,Lyndley Craven,Craven,L.,"Craven, L.",,309880400,,93179,12457-1,Craven,1945.0,2014.0,,
104,18544,Sinkora,D.,,2477,1969,1993,"Sinkora, D.","Sinkora, D.","Sinkora, D.M.",0.54,1,http://www.wikidata.org/entity/Q21608980,Doris Martha Sinkora,Sinkora,D.M.,"Sinkora, D.M.",,,,,30424-1,Sinkora,1927.0,,,
105,1796,Black,R.A.,Raleigh,6142,1900,1953,"Black, R.A.","Black, R.A.","Black, R.",0.55,2,http://www.wikidata.org/entity/Q7342125,Robert Black,Black,R.,"Black, R.",,24174097,0000 0000 4317 8336,,,,1829.0,1915.0,,
106,1796,Black,R.A.,Raleigh,6142,1900,1953,"Black, R.A.","Black, R.A.","Black, R.",0.55,2,http://www.wikidata.org/entity/Q7286889,Raleigh Black,Black,R.,"Black, R.",,,,22318,829-1,R.A.Black,1880.0,1963.0,,
107,4506,Crawford,I.,,1287,1985,2012,"Crawford, I.","Crawford, I.","Crawford, J.",0.56,1,http://www.wikidata.org/entity/Q6227536,John Crawford,Crawford,J.,"Crawford, J.",,32129520,0000 0001 2126 8426,,,,1910.0,1984.0,,
108,19876,Thiele,K.R.,Kevin,1262,1973,2018,"Thiele, K.R.","Thiele, K.R.","Thiele, K.",0.57,1,http://www.wikidata.org/entity/Q547084,Kevin Thiele,Thiele,K.,"Thiele, K.",0000-0002-6658-6636,,,,27657-1,K.R.Thiele,1959.0,,,
109,12858,Maslin,B.R.,Bruce,1018,1910,2013,"Maslin, B.R.","Maslin, B.R.","Maslin, B.",0.57,1,http://www.wikidata.org/entity/Q2926444,Bruce Maslin,Maslin,B.,"Maslin, B.",,94978723,0000 0000 6608 3807,5215.0,6190-1,Maslin,1946.0,,,
110,6349,Fawcett,H.C.,,1203,1867,1887,"Fawcett, H.C.","Fawcett, H.C.","Fawcett, H.S.",0.58,1,http://www.wikidata.org/entity/Q21512690,Howard Samuel Fawcett,Fawcett,H.S.,"Fawcett, H.S.",,93937790,0000 0000 6669 7956,7857.0,18684-1,H.S.Fawc.,1877.0,1948.0,,
111,14283,Mueller,F. ,Ferdinand Jacob Heinrich,25429,1812,1895,"Mueller, F. ","Mueller, F. ","Mueller, A.",0.58,2,http://www.wikidata.org/entity/Q55068807,Arthur Mueller,Mueller,A.,"Mueller, A.",,,,,,,1863.0,1926.0,,
112,14283,Mueller,F. ,Ferdinand Jacob Heinrich,25429,1812,1895,"Mueller, F. ","Mueller, F. ","Mueller, A.",0.58,2,http://www.wikidata.org/entity/Q21521832,Anton Mueller,Mueller,A.,"Mueller, A.",,84633848,0000 0000 5800 1488,67979,6729-1,A.Muell.,1798.0,1864.0,,
113,16719,Reid,J.C.,John,1250,1974,2011,"Reid, J.C.","Reid, J.C.","Reid, J.",0.58,2,http://www.wikidata.org/entity/Q22109480,James Reid,Reid,J.,"Reid, J.",,,,,,,,,,
114,16719,Reid,J.C.,John,1250,1974,2011,"Reid, J.C.","Reid, J.C.","Reid, J.",0.58,2,http://www.wikidata.org/entity/Q47125085,James Reid,Reid,J.,"Reid, J.",,,,,25480-1,J.Reid,,,,
115,21268,Webb,W.,,1579,1879,1896,"Webb, W.","Webb, W.","Webb, W.F.",0.6,1,http://www.wikidata.org/entity/Q7964883,Walter Freeman Webb,Webb,W.F.,"Webb, W.F.",,18733735,0000 0000 8010 4643,,,,1869.0,1957.0,,
116,17455,Rupp,H.M.R.,,1405,1882,1944,"Rupp, H.M.R.","Rupp, H.M.R.","Rupp, H.",0.6,2,http://www.wikidata.org/entity/Q3281684,Herman Rupp,Rupp,H.,"Rupp, H.",,11521179,0000 0001 1946 5973,2217.0,8744-1,Rupp,1872.0,1956.0,,
117,17455,Rupp,H.M.R.,,1405,1882,1944,"Rupp, H.M.R.","Rupp, H.M.R.","Rupp, H.",0.6,2,http://www.wikidata.org/entity/Q45738980,Hans Rupp,Rupp,H.,"Rupp, H.",,,,,,,,1979.0,,
118,16621,Reader,F.M.,Felix Maximilian,3371,1854,1996,"Reader, F.M.","Reader, F.M.","Reader, F.",0.61,1,http://www.wikidata.org/entity/Q5442312,Felix Reader,Reader,F.,"Reader, F.",,,,45078.0,8205-1,Reader,1850.0,1911.0,,
119,18408,Sieber,F.W.,Franz Wilhelm,2428,1811,1923,"Sieber, F.W.","Sieber, F.W.","Sieber, F.",0.61,1,http://www.wikidata.org/entity/Q78907,Franz Sieber,Sieber,F.,"Sieber, F.",,22916664,0000 0001 2209 4341,1684.0,9612-1,Sieber,1789.0,1844.0,,
120,6710,Foreman,D.B.,Don,1929,1972,2003,"Foreman, D.B.","Foreman, D.B.","Foreman, D.",0.62,1,http://www.wikidata.org/entity/Q18984668,Donald Foreman,Foreman,D.,"Foreman, D.",,91467425,0000 0000 6782 9631,49657,2823-1,Foreman,1945.0,2004.0,,
121,22177,Woolcock,C.E.,,1073,1968,1989,"Woolcock, C.E.","Woolcock, C.E.","Woolcock, A.",0.62,1,http://www.wikidata.org/entity/Q17711341,Ann Woolcock,Woolcock,A.,"Woolcock, A.",,48202671,0000 0000 6482 478X,,,,1937.0,2001.0,,
122,16619,Reader,E.,,1020,1838,1894,"Reader, E.","Reader, E.","Reader, F.",0.62,1,http://www.wikidata.org/entity/Q5442312,Felix Reader,Reader,F.,"Reader, F.",,,,45078.0,8205-1,Reader,1850.0,1911.0,,
