,label,i18nCode,count,fq,start_date,end_date,activity_span,index,name,matched_name,distance,item_count,items,item_labels
923,"Stoward, F.","collector.Stoward, F.",788,"collector:""Stoward, F.""",1879.0,1971.0,92.0,521,"Stoward, F.","Stoward, F.",0.0,1,http://www.wikidata.org/entity/Q5498801,Frederick Stoward
924,"McCarthy, P.M.","collector.McCarthy, P.M.",784,"collector:""McCarthy, P.M.""",1989.0,2019.0,30.0,389,"McCarthy, P.M.","McCarthy, P.M.",0.0,1,http://www.wikidata.org/entity/Q21388621,Patrick Martin McCarthy
926,"Pigott, J.P.","collector.Pigott, J.P.",782,"collector:""Pigott, J.P.""",1985.0,1996.0,11.0,134,"Pigott, J.P.","Pigott, J.P.",0.0,1,http://www.wikidata.org/entity/Q26713348,Julian Patrick Pigott
927,"Baldock, R.N.","collector.Baldock, R.N.",781,"collector:""Baldock, R.N.""",1962.0,2017.0,55.0,587,"Baldock, R.N.","Baldock, R.N.",0.0,1,http://www.wikidata.org/entity/Q36658480,Robert N. Baldock
929,"Cowan, R.S.","collector.Cowan, R.S.",777,"collector:""Cowan, R.S.""",1979.0,1994.0,15.0,7,"Cowan, R.S.","Cowan, R.S.",0.0,1,http://www.wikidata.org/entity/Q6108714,Richard Sumner Cowan
930,"Malajczuk, N.","collector.Malajczuk, N.",776,"collector:""Malajczuk, N.""",1969.0,2000.0,31.0,393,"Malajczuk, N.","Malajczuk, N.",0.0,1,http://www.wikidata.org/entity/Q36642585,Nicholas Malajczuk
931,"Wallace, B.J.","collector.Wallace, B.J.",775,"collector:""Wallace, B.J.""",1969.0,2013.0,44.0,893,"Wallace, B.J.","Wallace, B.J.",0.0,1,http://www.wikidata.org/entity/Q21388143,Benjamin John Wallace
932,"Johnson, B.","collector.Johnson, B.",774,"collector:""Johnson, B.""",1958.0,2014.0,56.0,524,"Johnson, B.","Johnson, B.",0.0,1,http://www.wikidata.org/entity/Q76578947,Barrie Johnson
934,"Keith, D.","collector.Keith, D.",773,"collector:""Keith, D.""",1968.0,2012.0,44.0,834,"Keith, D.","Keith, D.",0.0,1,http://www.wikidata.org/entity/Q21502576,Denis Keith
935,"Muspratt, J.","collector.Muspratt, J.",772,"collector:""Muspratt, J.""",1944.0,1977.0,33.0,438,"Muspratt, J.","Muspratt, J.",0.0,1,http://www.wikidata.org/entity/Q36595792,J. Muspratt
937,"Wild, C.J.","collector.Wild, C.J.",770,"collector:""Wild, C.J.""",1881.0,1981.0,100.0,377,"Wild, C.J.","Wild, C.J.",0.0,1,http://www.wikidata.org/entity/Q36532634,Charles James Wild
938,"Mitchell, A.S.","collector.Mitchell, A.S.",768,"collector:""Mitchell, A.S.""",1974.0,2017.0,43.0,123,"Mitchell, A.S.","Mitchell, A.S.",0.0,1,http://www.wikidata.org/entity/Q21521561,Andrew Stewart Mitchell
939,"Holland, A.E.","collector.Holland, A.E.",764,"collector:""Holland, A.E.""",1989.0,2016.0,27.0,247,"Holland, A.E.","Holland, A.E.",0.0,1,http://www.wikidata.org/entity/Q26712197,Ailsa E. Holland
943,"Mallinson, D.J.","collector.Mallinson, D.J.",758,"collector:""Mallinson, D.J.""",1992.0,2014.0,22.0,737,"Mallinson, D.J.","Mallinson, D.J.",0.0,1,http://www.wikidata.org/entity/Q21519851,David James Mallinson
944,"Gordon, H.D.","collector.Gordon, H.D.",757,"collector:""Gordon, H.D.""",1928.0,1987.0,59.0,98,"Gordon, H.D.","Gordon, H.D.",0.0,1,http://www.wikidata.org/entity/Q21514135,Hugh Douglas Gordon
945,"Woelkerling, W.J.","collector.Woelkerling, W.J.",757,"collector:""Woelkerling, W.J.""",1958.0,1997.0,39.0,580,"Woelkerling, W.J.","Woelkerling, W.J.",0.0,1,http://www.wikidata.org/entity/Q21612888,William James Woelkerling
950,"Barrett, M.D.","collector.Barrett, M.D.",752,"collector:""Barrett, M.D.""",1992.0,2017.0,25.0,673,"Barrett, M.D.","Barrett, M.D.",0.0,1,http://www.wikidata.org/entity/Q21388594,Matthew David Barrett
957,"Ford, N.C.","collector.Ford, N.C.",744,"collector:""Ford, N.C.""",1944.0,1968.0,24.0,618,"Ford, N.C.","Ford, N.C.",0.0,1,http://www.wikidata.org/entity/Q21513332,Neridah Clifton Ford
958,"Garrett, M.","collector.Garrett, M.",744,"collector:""Garrett, M.""",1947.0,2018.0,71.0,445,"Garrett, M.","Garrett, M.",0.0,1,http://www.wikidata.org/entity/Q33672850,M. Garrett
962,"Ziegeler, D.","collector.Ziegeler, D.",739,"collector:""Ziegeler, D.""",1982.0,2011.0,29.0,341,"Ziegeler, D.","Ziegeler, D.",0.0,1,http://www.wikidata.org/entity/Q21393537,David Ziegeler
963,"Fechner, N.A.","collector.Fechner, N.A.",735,"collector:""Fechner, N.A.""",2001.0,2015.0,14.0,486,"Fechner, N.A.","Fechner, N.A.",0.0,1,http://www.wikidata.org/entity/Q88841756,Nigel A. Fechner
964,"Ornduff, R.","collector.Ornduff, R.",735,"collector:""Ornduff, R.""",1908.0,1993.0,85.0,851,"Ornduff, R.","Ornduff, R.",0.0,1,http://www.wikidata.org/entity/Q6109510,Robert Ornduff
965,"Gebert, W.A.","collector.Gebert, W.A.",734,"collector:""Gebert, W.A.""",1998.0,2019.0,21.0,210,"Gebert, W.A.","Gebert, W.A.",0.0,1,http://www.wikidata.org/entity/Q21513843,Wayne Ashley Gebert
969,"Wilson, T.C.","collector.Wilson, T.C.",733,"collector:""Wilson, T.C.""",2006.0,2020.0,14.0,829,"Wilson, T.C.","Wilson, T.C.",0.0,1,http://www.wikidata.org/entity/Q33699117,Trevor C. Wilson
972,"Sands, M.J.S.","collector.Sands, M.J.S.",723,"collector:""Sands, M.J.S.""",1975.0,2008.0,33.0,197,"Sands, M.J.S.","Sands, M.J.S.",0.0,1,http://www.wikidata.org/entity/Q21338725,Martin Jonathan Southgate Sands
973,"Audas, J.W.C.","collector.Audas, J.W.C.",722,"collector:""Audas, J.W.C.""",1890.0,1935.0,45.0,764,"Audas, J.W.C.","Audas, J.W.C.",0.0,1,http://www.wikidata.org/entity/Q21505426,James Wales Claredon Audas
