,label,i18nCode,count,fq,start_date,end_date,activity_span
928,"Pennay, C.","collector.Pennay, C.",754,"collector:""Pennay, C.""",1994,2016,22
929,"Start, A.N.","collector.Start, A.N.",754,"collector:""Start, A.N.""",1980,2014,34
930,"Barrett, M.D.","collector.Barrett, M.D.",752,"collector:""Barrett, M.D.""",1992,2017,25
931,"Murfet, D.E. | Lowrie, A.","collector.Murfet, D.E. | Lowrie, A.",752,"collector:""Murfet, D.E. | Lowrie, A.""",2003,2011,8
932,"Nicholls, A.","collector.Nicholls, A.",752,"collector:""Nicholls, A.""",1948,1977,29
933,"Canty, P.D. | Copley, P.B.","collector.Canty, P.D. | Copley, P.B.",751,"collector:""Canty, P.D. | Copley, P.B.""",1992,1998,6
934,"Branwhite, P.G.","collector.Branwhite, P.G.",748,"collector:""Branwhite, P.G.""",1988,2012,24
935,"Jaegermann, V.","collector.Jaegermann, V.",748,"collector:""Jaegermann, V.""",1959,1983,24
936,"Richards, A.F.","collector.Richards, A.F.",747,"collector:""Richards, A.F.""",1850,1894,44
937,D. & B. Bellairs,collector.D. & B. Bellairs,746,"collector:""D. & B. Bellairs""",1978,2004,26
938,"Halling, R.E.","collector.Halling, R.E.",746,"collector:""Halling, R.E.""",1984,2015,31
939,"Tunstall, R.G.","collector.Tunstall, R.G.",746,"collector:""Tunstall, R.G.""",1981,2005,24
940,"Ford, N.C.","collector.Ford, N.C.",744,"collector:""Ford, N.C.""",1944,1968,24
941,"Garrett, M.","collector.Garrett, M.",744,"collector:""Garrett, M.""",1947,2018,71
942,"Macey, K.","collector.Macey, K.",744,"collector:""Macey, K.""",1999,2006,7
943,"Cossalter, C.","collector.Cossalter, C.",743,"collector:""Cossalter, C.""",1972,1987,15
944,"Nordenstam, B. | Anderberg, A.A.","collector.Nordenstam, B. | Anderberg, A.A.",743,"collector:""Nordenstam, B. | Anderberg, A.A.""",1989,1989,0
945,"Cuff, N.","collector.Cuff, N.",742,"collector:""Cuff, N.""",1998,2017,19
946,"Carr, S.G.M.","collector.Carr, S.G.M.",741,"collector:""Carr, S.G.M.""",1879,1996,117
947,"Stocker, G.","collector.Stocker, G.",741,"collector:""Stocker, G.""",1959,1999,40
948,"George, A.","collector.George, A.",740,"collector:""George, A.""",1907,2007,100
949,"Salas, M.F. de","collector.Salas, M.F. de",740,"collector:""Salas, M.F. de""",2011,2016,5
950,"Ziegeler, D.","collector.Ziegeler, D.",739,"collector:""Ziegeler, D.""",1982,2011,29
951,"Fechner, N.A.","collector.Fechner, N.A.",735,"collector:""Fechner, N.A.""",2001,2015,14
952,"Ornduff, R.","collector.Ornduff, R.",735,"collector:""Ornduff, R.""",1908,1993,85
953,"Gebert, W.A.","collector.Gebert, W.A.",734,"collector:""Gebert, W.A.""",1998,2019,21
954,"Levitzke, V.J.","collector.Levitzke, V.J.",734,"collector:""Levitzke, V.J.""",1975,1983,8
955,"Randall, D.","collector.Randall, D.",733,"collector:""Randall, D.""",1979,2020,41
956,"Reeve, H.","collector.Reeve, H.",733,"collector:""Reeve, H.""",1942,1992,50
957,"Wilson, T.C.","collector.Wilson, T.C.",733,"collector:""Wilson, T.C.""",2006,2020,14
958,"Hinz, R.","collector.Hinz, R.",731,"collector:""Hinz, R.""",1974,1993,19
959,"Sparshott, K.M.","collector.Sparshott, K.M.",731,"collector:""Sparshott, K.M.""",1993,2002,9
960,"Sands, M.J.S.","collector.Sands, M.J.S.",723,"collector:""Sands, M.J.S.""",1975,2008,33
961,"Audas, J.W.C.","collector.Audas, J.W.C.",722,"collector:""Audas, J.W.C.""",1890,1935,45
962,"Redwood, K.A.","collector.Redwood, K.A.",722,"collector:""Redwood, K.A.""",1997,1997,0
963,"Turvey, F.T.","collector.Turvey, F.T.",722,"collector:""Turvey, F.T.""",1904,1969,65
964,"Weston, A.","collector.Weston, A.",722,"collector:""Weston, A.""",1891,2000,109
965,"Scott, G.A.M.","collector.Scott, G.A.M.",721,"collector:""Scott, G.A.M.""",1962,1999,37
966,"Welch, M.B.","collector.Welch, M.B.",717,"collector:""Welch, M.B.""",1896,2001,105
967,"Whaite, T.M. | Whaite, J.L.","collector.Whaite, T.M. | Whaite, J.L.",714,"collector:""Whaite, T.M. | Whaite, J.L.""",1949,1985,36
968,"Barber, H.N.","collector.Barber, H.N.",713,"collector:""Barber, H.N.""",1912,1970,58
969,"Hall, T.","collector.Hall, T.",713,"collector:""Hall, T.""",1909,2014,105
970,"Main, A.R.","collector.Main, A.R.",713,"collector:""Main, A.R.""",1939,1974,35
971,"Elick, R.","collector.Elick, R.",712,"collector:""Elick, R.""",1986,2006,20
972,"Keighery, G.J. | Keighery, B.J.","collector.Keighery, G.J. | Keighery, B.J.",712,"collector:""Keighery, G.J. | Keighery, B.J.""",1993,2019,26
973,"Webb, A. | Muir, B.","collector.Webb, A. | Muir, B.",709,"collector:""Webb, A. | Muir, B.""",2001,2001,0
974,"Griffith, H.H.D.","collector.Griffith, H.H.D.",706,"collector:""Griffith, H.H.D.""",1904,2007,103
975,"Abbott, B. | Burton, E.","collector.Abbott, B. | Burton, E.",705,"collector:""Abbott, B. | Burton, E.""",2008,2013,5
976,"May, T.W.","collector.May, T.W.",704,"collector:""May, T.W.""",1981,2018,37
977,"Barrett, R.L. | Barrett, M.D.","collector.Barrett, R.L. | Barrett, M.D.",701,"collector:""Barrett, R.L. | Barrett, M.D.""",1992,2010,18
978,"Hussey, J.L.","collector.Hussey, J.L.",697,"collector:""Hussey, J.L.""",1891,1973,82
979,"Scarlett, N.","collector.Scarlett, N.",697,"collector:""Scarlett, N.""",1947,1998,51
980,"Gill, W.","collector.Gill, W.",696,"collector:""Gill, W.""",1888,2018,130
981,"Wauchope, J.","collector.Wauchope, J.",695,"collector:""Wauchope, J.""",1923,1987,64
982,"Meissner, R. | Wright, J.","collector.Meissner, R. | Wright, J.",694,"collector:""Meissner, R. | Wright, J.""",2008,2008,0
983,"Munir, A.","collector.Munir, A.",694,"collector:""Munir, A.""",1964,1990,26
984,"Wright, G.T.","collector.Wright, G.T.",694,"collector:""Wright, G.T.""",1998,2019,21
985,"Bayer, R.J.","collector.Bayer, R.J.",693,"collector:""Bayer, R.J.""",1944,2009,65
986,"Catcheside, D.G.","collector.Catcheside, D.G.",693,"collector:""Catcheside, D.G.""",1951,1991,40
987,"Hamilton, A.G.","collector.Hamilton, A.G.",692,"collector:""Hamilton, A.G.""",1882,1992,110
988,"Ollerenshaw, N.","collector.Ollerenshaw, N.",692,"collector:""Ollerenshaw, N.""",1874,1990,116
989,"Lloyd, S.J.","collector.Lloyd, S.J.",688,"collector:""Lloyd, S.J.""",2004,2019,15
990,"Forrest, A.","collector.Forrest, A.",687,"collector:""Forrest, A.""",1818,1994,176
991,"Menkins, I.L.","collector.Menkins, I.L.",687,"collector:""Menkins, I.L.""",1998,2012,14
992,"Rodd, A.","collector.Rodd, A.",687,"collector:""Rodd, A.""",1964,1995,31
993,"Strudwick, J.","collector.Strudwick, J.",687,"collector:""Strudwick, J.""",1976,1998,22
994,"Harris, P.L.","collector.Harris, P.L.",686,"collector:""Harris, P.L.""",1981,2016,35
995,"Woolcock, C.E. | Woolcock, D.T.","collector.Woolcock, C.E. | Woolcock, D.T.",686,"collector:""Woolcock, C.E. | Woolcock, D.T.""",1968,1989,21
996,"Semple, W.","collector.Semple, W.",683,"collector:""Semple, W.""",1956,2006,50
997,"Williams, A.","collector.Williams, A.",683,"collector:""Williams, A.""",1889,2019,130
998,"Brooker, M.","collector.Brooker, M.",681,"collector:""Brooker, M.""",1960,2001,41
999,"Singh, G.","collector.Singh, G.",681,"collector:""Singh, G.""",1973,1987,14
1000,Not supplied,collector.novalue,25515,-collector:*,,,
