,label,i18nCode,count,fq,start_date,end_date,activity_span
111,"Gray, M.","collector.Gray, M.",6954,"collector:""Gray, M.""",1935,2010,75
112,"Fensham, R.J.","collector.Fensham, R.J.",6907,"collector:""Fensham, R.J.""",1885,2019,134
113,"Wightman, G.","collector.Wightman, G.",6876,"collector:""Wightman, G.""",1946,2012,66
114,"Morrison, A.","collector.Morrison, A.",6845,"collector:""Morrison, A.""",1829,2010,181
115,"Beard, J.S.","collector.Beard, J.S.",6815,"collector:""Beard, J.S.""",1862,1998,136
116,"Booth, R.","collector.Booth, R.",6792,"collector:""Booth, R.""",1963,2017,54
117,"Brass, L.J.","collector.Brass, L.J.",6774,"collector:""Brass, L.J.""",1915,1998,83
118,"Rodd, A.N.","collector.Rodd, A.N.",6773,"collector:""Rodd, A.N.""",1876,2019,143
119,"Shepherd, S.A.","collector.Shepherd, S.A.",6764,"collector:""Shepherd, S.A.""",1940,2004,64
120,"Rodway, F.A.","collector.Rodway, F.A.",6761,"collector:""Rodway, F.A.""",1883,2001,118
121,"Lepschi, B.J.","collector.Lepschi, B.J.",6746,"collector:""Lepschi, B.J.""",1955,2018,63
122,"Fell, D.G.","collector.Fell, D.G.",6653,"collector:""Fell, D.G.""",1983,2018,35
123,"Waterhouse, B.M.","collector.Waterhouse, B.M.",6636,"collector:""Waterhouse, B.M.""",1980,2017,37
124,"Henshall, T.","collector.Henshall, T.",6594,"collector:""Henshall, T.""",1922,1989,67
125,"Rodway, L.","collector.Rodway, L.",6555,"collector:""Rodway, L.""",1864,2012,148
126,"Aplin, T.E.H.","collector.Aplin, T.E.H.",6538,"collector:""Aplin, T.E.H.""",1951,1998,47
127,"Kraehenbuehl, D.N.","collector.Kraehenbuehl, D.N.",6508,"collector:""Kraehenbuehl, D.N.""",1866,1999,133
128,"Barker, W.R.","collector.Barker, W.R.",6461,"collector:""Barker, W.R.""",1901,2018,117
129,"Byrnes, N.","collector.Byrnes, N.",6432,"collector:""Byrnes, N.""",1889,1997,108
130,"Murfet, D.E.","collector.Murfet, D.E.",6411,"collector:""Murfet, D.E.""",1966,2019,53
131,"Trudgen, M.E.","collector.Trudgen, M.E.",6409,"collector:""Trudgen, M.E.""",1971,2011,40
132,"Conn, B.J.","collector.Conn, B.J.",6370,"collector:""Conn, B.J.""",1961,2017,56
133,"Hill, K.D.","collector.Hill, K.D.",6347,"collector:""Hill, K.D.""",1964,2003,39
134,"Cunningham, G.M.","collector.Cunningham, G.M.",6298,"collector:""Cunningham, G.M.""",1909,2018,109
135,"Copeland, L.M.","collector.Copeland, L.M.",6287,"collector:""Copeland, L.M.""",1979,2018,39
136,leg. ign.,collector.leg. ign.,6278,"collector:""leg. ign.""",1809,2014,205
137,"Melville, R.","collector.Melville, R.",6265,"collector:""Melville, R.""",1853,2007,154
138,"Short, P.S.","collector.Short, P.S.",6255,"collector:""Short, P.S.""",1932,2011,79
139,"Pedley, L.","collector.Pedley, L.",6041,"collector:""Pedley, L.""",1862,2014,152
140,"Black, R.A.","collector.Black, R.A.",6032,"collector:""Black, R.A.""",1900,1996,96
141,"Gittins, C.H.","collector.Gittins, C.H.",5952,"collector:""Gittins, C.H.""",1945,1987,42
142,"Lang, P.J.","collector.Lang, P.J.",5949,"collector:""Lang, P.J.""",1967,2018,51
143,"Burgess, C.","collector.Burgess, C.",5828,"collector:""Burgess, C.""",1889,2009,120
144,"Clements, M.A.","collector.Clements, M.A.",5779,"collector:""Clements, M.A.""",1886,2019,133
145,Unknown,collector.Unknown,5765,"collector:""Unknown""",1801,2010,209
146,"Adams, L.G.","collector.Adams, L.G.",5745,"collector:""Adams, L.G.""",1948,2007,59
147,"Rupp, H.M.R.","collector.Rupp, H.M.R.",5666,"collector:""Rupp, H.M.R.""",1873,1987,114
148,"Aston, H.I.","collector.Aston, H.I.",5662,"collector:""Aston, H.I.""",1950,2000,50
149,"Slee, A.V.","collector.Slee, A.V.",5587,"collector:""Slee, A.V.""",1973,2020,47
150,"Copley, B.","collector.Copley, B.",5585,"collector:""Copley, B.""",1924,2000,76
151,"Williams, L.D.","collector.Williams, L.D.",5583,"collector:""Williams, L.D.""",1941,1997,56
152,"Dunlop, C.R.","collector.Dunlop, C.R.",5572,"collector:""Dunlop, C.R.""",1962,1999,37
153,"Beauglehole, A.","collector.Beauglehole, A.",5566,"collector:""Beauglehole, A.""",1940,1996,56
154,"Hopper, S.D.","collector.Hopper, S.D.",5523,"collector:""Hopper, S.D.""",1955,2019,64
155,"Simmons, J.G. | Simmons, M.H.","collector.Simmons, J.G. | Simmons, M.H.",5498,"collector:""Simmons, J.G. | Simmons, M.H.""",1944,2005,61
156,"Neldner, V.J.","collector.Neldner, V.J.",5482,"collector:""Neldner, V.J.""",1905,2018,113
157,"Price, I.R.","collector.Price, I.R.",5474,"collector:""Price, I.R.""",1684,1995,311
158,"Speck, N.H.","collector.Speck, N.H.",5469,"collector:""Speck, N.H.""",1917,1994,77
159,"Verdon, D.","collector.Verdon, D.",5444,"collector:""Verdon, D.""",1960,1994,34
160,"Gauba, E.","collector.Gauba, E.",5417,"collector:""Gauba, E.""",1900,1983,83
161,"Johnson, R.W.","collector.Johnson, R.W.",5401,"collector:""Johnson, R.W.""",1930,2010,80
162,"Forbes, S.J.","collector.Forbes, S.J.",5374,"collector:""Forbes, S.J.""",1937,2013,76
163,"Williamson, H.B.","collector.Williamson, H.B.",5362,"collector:""Williamson, H.B.""",1828,1992,164
164,"Foreman, D.B.","collector.Foreman, D.B.",5338,"collector:""Foreman, D.B.""",1924,2003,79
165,"Collier, P.A.","collector.Collier, P.A.",5265,"collector:""Collier, P.A.""",1958,2011,53
166,"Flecker, H.","collector.Flecker, H.",5201,"collector:""Flecker, H.""",1847,1980,133
167,"Dockrill, A.W.","collector.Dockrill, A.W.",5143,"collector:""Dockrill, A.W.""",1935,1983,48
168,"Briggs, J.D.","collector.Briggs, J.D.",5133,"collector:""Briggs, J.D.""",1897,2001,104
169,"Cowie, I.D.","collector.Cowie, I.D.",5102,"collector:""Cowie, I.D.""",1981,2018,37
170,"Tindale, M.D.","collector.Tindale, M.D.",5076,"collector:""Tindale, M.D.""",1923,2010,87
171,"Chesterfield, E.A.","collector.Chesterfield, E.A.",5028,"collector:""Chesterfield, E.A.""",1970,2002,32
172,"Lepp, H.","collector.Lepp, H.",5023,"collector:""Lepp, H.""",1977,2016,39
173,"Huisman, J.M.","collector.Huisman, J.M.",5008,"collector:""Huisman, J.M.""",1981,2019,38
174,"Sharpe, P.R.","collector.Sharpe, P.R.",5007,"collector:""Sharpe, P.R.""",1951,2007,56
175,"Blakely, W.F.","collector.Blakely, W.F.",4953,"collector:""Blakely, W.F.""",1887,1999,112
176,"Rogers, R.W.","collector.Rogers, R.W.",4945,"collector:""Rogers, R.W.""",1959,2016,57
177,Anonymous,collector.Anonymous,4893,"collector:""Anonymous""",1792,2018,226
178,"Egan, J.","collector.Egan, J.",4845,"collector:""Egan, J.""",1992,2006,14
179,"Lyne, A.M.","collector.Lyne, A.M.",4835,"collector:""Lyne, A.M.""",1955,2007,52
180,"Smith, R.V.","collector.Smith, R.V.",4729,"collector:""Smith, R.V.""",1941,2001,60
181,"Annels, A.R.","collector.Annels, A.R.",4706,"collector:""Annels, A.R.""",1897,1998,101
182,"Schodde, R.","collector.Schodde, R.",4693,"collector:""Schodde, R.""",1930,1998,68
183,"Hislop, M.","collector.Hislop, M.",4688,"collector:""Hislop, M.""",1993,2019,26
184,"Leach, G.","collector.Leach, G.",4657,"collector:""Leach, G.""",1954,2018,64
185,"Dallachy, J.","collector.Dallachy, J.",4638,"collector:""Dallachy, J.""",1848,1892,44
186,"Cambage, R.H.","collector.Cambage, R.H.",4633,"collector:""Cambage, R.H.""",1883,2011,128
187,"Ingram, C.K.","collector.Ingram, C.K.",4585,"collector:""Ingram, C.K.""",1933,2015,82
188,"Mitchell, A.","collector.Mitchell, A.",4569,"collector:""Mitchell, A.""",1895,2013,118
189,"Koch, M.","collector.Koch, M.",4493,"collector:""Koch, M.""",1819,1999,180
190,"Entwisle, T.J.","collector.Entwisle, T.J.",4483,"collector:""Entwisle, T.J.""",1980,2015,35
191,"Carr, G.W.","collector.Carr, G.W.",4471,"collector:""Carr, G.W.""",1924,2015,91
192,"Green, J.W.","collector.Green, J.W.",4454,"collector:""Green, J.W.""",1940,2012,72
193,"Thiele, K.R.","collector.Thiele, K.R.",4448,"collector:""Thiele, K.R.""",1973,2019,46
194,"Parris, M.","collector.Parris, M.",4404,"collector:""Parris, M.""",1970,1995,25
195,"Smith, B.H.","collector.Smith, B.H.",4389,"collector:""Smith, B.H.""",1898,2005,107
196,"Jago, R.L.","collector.Jago, R.L.",4371,"collector:""Jago, R.L.""",1968,2018,50
197,"Nicolle, D.","collector.Nicolle, D.",4351,"collector:""Nicolle, D.""",1990,2017,27
198,"Hind, P.D.","collector.Hind, P.D.",4342,"collector:""Hind, P.D.""",1966,2008,42
199,"Demarz, H.","collector.Demarz, H.",4299,"collector:""Demarz, H.""",1947,1994,47
200,"Baeuerlen, W.","collector.Baeuerlen, W.",4287,"collector:""Baeuerlen, W.""",1874,1990,116
201,"Wrigley, J.W.","collector.Wrigley, J.W.",4284,"collector:""Wrigley, J.W.""",1960,1996,36
202,"Sinkora, D.","collector.Sinkora, D.",4274,"collector:""Sinkora, D.""",1969,1993,24
203,"Cheel, E.","collector.Cheel, E.",4248,"collector:""Cheel, E.""",1840,2003,163
204,"Millar, A.J.K.","collector.Millar, A.J.K.",4201,"collector:""Millar, A.J.K.""",1979,2005,26
205,"Hunter, J.T.","collector.Hunter, J.T.",4185,"collector:""Hunter, J.T.""",1984,2012,28
206,"Baker, J.","collector.Baker, J.",4164,"collector:""Baker, J.""",1895,1997,102
207,"Michell, C.","collector.Michell, C.",4150,"collector:""Michell, C.""",1899,2002,103
208,"Jeanes, J.A.","collector.Jeanes, J.A.",4143,"collector:""Jeanes, J.A.""",1983,2018,35
209,"Thompson, J.","collector.Thompson, J.",4132,"collector:""Thompson, J.""",1898,2013,115
210,"Hoogland, R.D.","collector.Hoogland, R.D.",4108,"collector:""Hoogland, R.D.""",1951,1986,35
211,"Hunt, D.","collector.Hunt, D.",4107,"collector:""Hunt, D.""",1914,1997,83
212,"Fox, I.D.","collector.Fox, I.D.",4066,"collector:""Fox, I.D.""",1973,2014,41
213,"Harris, S.","collector.Harris, S.",4054,"collector:""Harris, S.""",1976,2018,42
214,"Moriarty, V.K.","collector.Moriarty, V.K.",4020,"collector:""Moriarty, V.K.""",1874,1986,112
215,"Thomson, B.","collector.Thomson, B.",4003,"collector:""Thomson, B.""",1951,1991,40
216,"Bäuerlen, W.","collector.Bäuerlen, W.",3987,"collector:""Bäuerlen, W.""",1880,1992,112
217,"Jessup, L.W.","collector.Jessup, L.W.",3978,"collector:""Jessup, L.W.""",1951,2017,66
218,"St John, P.R.H.","collector.St John, P.R.H.",3964,"collector:""St John, P.R.H.""",1881,2006,125
219,"Wakefield, N.A.","collector.Wakefield, N.A.",3942,"collector:""Wakefield, N.A.""",1918,1989,71
220,"Story, R.","collector.Story, R.",3940,"collector:""Story, R.""",1900,1996,96
221,"Thomas, M.B.","collector.Thomas, M.B.",3903,"collector:""Thomas, M.B.""",1965,2018,53
222,"Blaxell, D.F.","collector.Blaxell, D.F.",3890,"collector:""Blaxell, D.F.""",1954,2002,48
223,"Olde, P.M.","collector.Olde, P.M.",3887,"collector:""Olde, P.M.""",1904,2016,112
224,"Bruhl, J.J.","collector.Bruhl, J.J.",3883,"collector:""Bruhl, J.J.""",1975,2018,43
225,"Morris, D.I.","collector.Morris, D.I.",3865,"collector:""Morris, D.I.""",1961,2004,43
226,"Salasoo, H.","collector.Salasoo, H.",3865,"collector:""Salasoo, H.""",1917,1986,69
227,"Henderson, R.J.","collector.Henderson, R.J.",3861,"collector:""Henderson, R.J.""",1959,1999,40
228,"Tepper, J.G.O.","collector.Tepper, J.G.O.",3861,"collector:""Tepper, J.G.O.""",1829,1996,167
229,"Seppelt, R.D.","collector.Seppelt, R.D.",3820,"collector:""Seppelt, R.D.""",1966,2018,52
230,"Jensen, R.","collector.Jensen, R.",3805,"collector:""Jensen, R.""",1992,2019,27
231,"Pickard, J.","collector.Pickard, J.",3791,"collector:""Pickard, J.""",1961,1998,37
232,"Brown, E.A.","collector.Brown, E.A.",3788,"collector:""Brown, E.A.""",1974,2012,38
233,"Edinger, D.J.","collector.Edinger, D.J.",3782,"collector:""Edinger, D.J.""",1983,2009,26
234,"Edyvane, K.","collector.Edyvane, K.",3771,"collector:""Edyvane, K.""",1959,1995,36
235,"White, G.J.","collector.White, G.J.",3747,"collector:""White, G.J.""",1958,1995,37
236,"Archer, B.","collector.Archer, B.",3711,"collector:""Archer, B.""",1979,2006,27
237,"van Leeuwen, S.","collector.van Leeuwen, S.",3704,"collector:""van Leeuwen, S.""",1985,2014,29
238,"Brown, R.","collector.Brown, R.",3695,"collector:""Brown, R.""",1801,2008,207
239,"Kuchel, R.H.","collector.Kuchel, R.H.",3680,"collector:""Kuchel, R.H.""",1906,1981,75
240,"Must, J.","collector.Must, J.",3635,"collector:""Must, J.""",1957,2005,48
241,"Cooper, H.M.","collector.Cooper, H.M.",3630,"collector:""Cooper, H.M.""",1920,1988,68
242,"Clarke, I.C.","collector.Clarke, I.C.",3606,"collector:""Clarke, I.C.""",1898,2019,121
243,"Nelson, D.","collector.Nelson, D.",3594,"collector:""Nelson, D.""",1776,2010,234
244,"Stocker, G.C.","collector.Stocker, G.C.",3569,"collector:""Stocker, G.C.""",1959,1988,29
245,"Coveny, R.","collector.Coveny, R.",3560,"collector:""Coveny, R.""",1899,2012,113
246,"West, J.G.","collector.West, J.G.",3545,"collector:""West, J.G.""",1917,2011,94
247,"Lang, P.J. | Canty, P.D.","collector.Lang, P.J. | Canty, P.D.",3536,"collector:""Lang, P.J. | Canty, P.D.""",1994,2005,11
248,"Maconochie, J.R.","collector.Maconochie, J.R.",3448,"collector:""Maconochie, J.R.""",1919,1983,64
249,"Wheeler, J.R.","collector.Wheeler, J.R.",3432,"collector:""Wheeler, J.R.""",1958,2002,44
250,"Norris, D.H.","collector.Norris, D.H.",3417,"collector:""Norris, D.H.""",1973,1987,14
251,"Johnstone, R.L.","collector.Johnstone, R.L.",3407,"collector:""Johnstone, R.L.""",1980,2018,38
252,"Davies, F.E.","collector.Davies, F.E.",3390,"collector:""Davies, F.E.""",1938,2000,62
253,"Jones, W.T.","collector.Jones, W.T.",3382,"collector:""Jones, W.T.""",1866,1969,103
254,"Murfet, D.E. | Taplin, R.L.","collector.Murfet, D.E. | Taplin, R.L.",3363,"collector:""Murfet, D.E. | Taplin, R.L.""",1990,2010,20
255,"Nelson, D.J.","collector.Nelson, D.J.",3324,"collector:""Nelson, D.J.""",1958,1996,38
256,"Walter, C.","collector.Walter, C.",3301,"collector:""Walter, C.""",1835,1999,164
257,"Blackall, W.E.","collector.Blackall, W.E.",3278,"collector:""Blackall, W.E.""",1925,2012,87
258,"Gray, A.M.","collector.Gray, A.M.",3243,"collector:""Gray, A.M.""",1936,2017,81
259,"Haegi, L.","collector.Haegi, L.",3236,"collector:""Haegi, L.""",1948,1999,51
260,"Cooper, W. | Cooper, W.","collector.Cooper, W. | Cooper, W.",3230,"collector:""Cooper, W. | Cooper, W.""",1989,2006,17
261,"Ross, J.H.","collector.Ross, J.H.",3221,"collector:""Ross, J.H.""",1896,2005,109
262,"Maconochie, J.","collector.Maconochie, J.",3218,"collector:""Maconochie, J.""",1948,1987,39
263,"Jackes, B.R.","collector.Jackes, B.R.",3200,"collector:""Jackes, B.R.""",1955,2019,64
264,"Martensz, P.","collector.Martensz, P.",3142,"collector:""Martensz, P.""",1964,1997,33
265,"Lucas, A.H.S.","collector.Lucas, A.H.S.",3130,"collector:""Lucas, A.H.S.""",1801,1986,185
266,"Weston, P.H.","collector.Weston, P.H.",3116,"collector:""Weston, P.H.""",1974,2015,41
267,"Cann, H.J.","collector.Cann, H.J.",3108,"collector:""Cann, H.J.""",1900,1974,74
268,"O'Sullivan, W.","collector.O'Sullivan, W.",3105,"collector:""O'Sullivan, W.""",1988,2012,24
269,"Betche, E.","collector.Betche, E.",3098,"collector:""Betche, E.""",1850,1986,136
270,"Jobson, R.W.","collector.Jobson, R.W.",3089,"collector:""Jobson, R.W.""",1983,2018,35
271,"Skinner, S.","collector.Skinner, S.",3076,"collector:""Skinner, S.""",1967,2020,53
272,"Lewis, D.","collector.Lewis, D.",3075,"collector:""Lewis, D.""",1922,2019,97
273,"Risler, J.","collector.Risler, J.",3074,"collector:""Risler, J.""",1995,2011,16
274,"Weymouth, W.A.","collector.Weymouth, W.A.",3073,"collector:""Weymouth, W.A.""",1811,1990,179
275,"Camfield, J.H.","collector.Camfield, J.H.",3067,"collector:""Camfield, J.H.""",1871,1997,126
276,"Brodie, C.J.","collector.Brodie, C.J.",3045,"collector:""Brodie, C.J.""",2009,2018,9
277,"Gibson, N.","collector.Gibson, N.",3045,"collector:""Gibson, N.""",1908,2018,110
278,"Forsyth, W.","collector.Forsyth, W.",3043,"collector:""Forsyth, W.""",1865,1999,134
279,"Hall, N.","collector.Hall, N.",3022,"collector:""Hall, N.""",1883,1997,114
280,"Reader, F.M.","collector.Reader, F.M.",3022,"collector:""Reader, F.M.""",1854,1996,142
281,"Conrick, P.E.","collector.Conrick, P.E.",3020,"collector:""Conrick, P.E.""",1969,2000,31
282,"Renner, M.A.M.","collector.Renner, M.A.M.",3009,"collector:""Renner, M.A.M.""",2002,2019,17
283,"Williams, Lindley D.","collector.Williams, Lindley D.",2997,"collector:""Williams, Lindley D.""",1945,1994,49
284,"Markey, A. | Dillon, S.","collector.Markey, A. | Dillon, S.",2992,"collector:""Markey, A. | Dillon, S.""",2005,2015,10
285,"Pollock, A.B.","collector.Pollock, A.B.",2986,"collector:""Pollock, A.B.""",1988,2017,29
286,"Bratt, G.C.","collector.Bratt, G.C.",2976,"collector:""Bratt, G.C.""",1960,1977,17
287,"Carroll, E.J.","collector.Carroll, E.J.",2973,"collector:""Carroll, E.J.""",1962,1996,34
288,"Gunn, R.C.","collector.Gunn, R.C.",2973,"collector:""Gunn, R.C.""",1808,1939,131
289,"Paijmans, K.","collector.Paijmans, K.",2973,"collector:""Paijmans, K.""",1967,1999,32
290,"Sankowsky, G.","collector.Sankowsky, G.",2966,"collector:""Sankowsky, G.""",1968,2013,45
291,"Griffin, E.A.","collector.Griffin, E.A.",2955,"collector:""Griffin, E.A.""",1965,1993,28
292,"Jarman, J.","collector.Jarman, J.",2954,"collector:""Jarman, J.""",1973,2020,47
293,"Duguid, A.","collector.Duguid, A.",2948,"collector:""Duguid, A.""",1992,2016,24
294,"McKee, H.S.","collector.McKee, H.S.",2911,"collector:""McKee, H.S.""",1945,1972,27
295,"Syme, K.","collector.Syme, K.",2898,"collector:""Syme, K.""",1984,2018,34
296,"Scott, F.J.","collector.Scott, F.J.",2886,"collector:""Scott, F.J.""",1976,2017,41
297,"Blaylock, B.J.","collector.Blaylock, B.J.",2882,"collector:""Blaylock, B.J.""",1906,2008,102
298,"Handasyde, T.","collector.Handasyde, T.",2831,"collector:""Handasyde, T.""",1989,2017,28
299,"Gates, G.M. | Ratkowsky, D.A.","collector.Gates, G.M. | Ratkowsky, D.A.",2827,"collector:""Gates, G.M. | Ratkowsky, D.A.""",1996,2018,22
300,"Ratkowsky, A.V.","collector.Ratkowsky, A.V.",2821,"collector:""Ratkowsky, A.V.""",1959,1999,40
301,"Grimshaw, P.","collector.Grimshaw, P.",2819,"collector:""Grimshaw, P.""",1974,2015,41
302,"Levring, T.","collector.Levring, T.",2818,"collector:""Levring, T.""",1918,1978,60
303,"Bastow, R.A.","collector.Bastow, R.A.",2817,"collector:""Bastow, R.A.""",1854,1950,96
304,"Robbins, F.","collector.Robbins, F.",2814,"collector:""Robbins, F.""",1925,1986,61
305,"Forde, N.","collector.Forde, N.",2813,"collector:""Forde, N.""",1898,1991,93
306,"Floyd, A.G.","collector.Floyd, A.G.",2810,"collector:""Floyd, A.G.""",1928,2009,81
307,"Overton, B.M.","collector.Overton, B.M.",2809,"collector:""Overton, B.M.""",1980,2014,34
308,"Wiecek, B.M.","collector.Wiecek, B.M.",2807,"collector:""Wiecek, B.M.""",1964,2018,54
309,"Henshall, T.S.","collector.Henshall, T.S.",2801,"collector:""Henshall, T.S.""",1890,1990,100
310,"Gibson, N. | Lyons, M.","collector.Gibson, N. | Lyons, M.",2800,"collector:""Gibson, N. | Lyons, M.""",1989,1999,10
311,"Perrin, F.","collector.Perrin, F.",2790,"collector:""Perrin, F.""",1838,1967,129
312,"Perry, R.","collector.Perry, R.",2782,"collector:""Perry, R.""",1942,1979,37
313,"Jobson, P.","collector.Jobson, P.",2773,"collector:""Jobson, P.""",1969,2019,50
314,"Evans, M.","collector.Evans, M.",2767,"collector:""Evans, M.""",1923,2012,89
315,"Duretto, M.F.","collector.Duretto, M.F.",2756,"collector:""Duretto, M.F.""",1991,2018,27
316,"Sanderson, K.","collector.Sanderson, K.",2747,"collector:""Sanderson, K.""",1961,1998,37
317,"Thompson, S.L.","collector.Thompson, S.L.",2737,"collector:""Thompson, S.L.""",1997,2017,20
318,"Somerville, J.","collector.Somerville, J.",2729,"collector:""Somerville, J.""",1885,1968,83
319,"Gilmour, P.","collector.Gilmour, P.",2727,"collector:""Gilmour, P.""",1958,2006,48
320,"Milthorpe, P.L.","collector.Milthorpe, P.L.",2726,"collector:""Milthorpe, P.L.""",1967,2004,37
321,"French, C.J.","collector.French, C.J.",2718,"collector:""French, C.J.""",1907,2018,111
322,"Vonow, H.P.","collector.Vonow, H.P.",2717,"collector:""Vonow, H.P.""",1933,2015,82
323,"Craven, L.","collector.Craven, L.",2702,"collector:""Craven, L.""",1960,2006,46
324,"Cave, L.H.","collector.Cave, L.H.",2700,"collector:""Cave, L.H.""",1989,2020,31
325,"Halford, D.A.","collector.Halford, D.A.",2682,"collector:""Halford, D.A.""",1984,2018,34
326,"Lloyd, N.","collector.Lloyd, N.",2680,"collector:""Lloyd, N.""",1907,1997,90
327,"Smith, N.M.","collector.Smith, N.M.",2675,"collector:""Smith, N.M.""",1980,2014,34
328,"Simon, B.K.","collector.Simon, B.K.",2669,"collector:""Simon, B.K.""",1946,2013,67
329,"Taylor, J.","collector.Taylor, J.",2667,"collector:""Taylor, J.""",1916,2009,93
330,"White, S.A.","collector.White, S.A.",2660,"collector:""White, S.A.""",1897,2013,116
331,"Beadle, N.C.W.","collector.Beadle, N.C.W.",2650,"collector:""Beadle, N.C.W.""",1932,1989,57
332,"Kemp, J.","collector.Kemp, J.",2648,"collector:""Kemp, J.""",1974,2019,45
333,"Rogers, R.","collector.Rogers, R.",2647,"collector:""Rogers, R.""",1910,2006,96
334,"Heyligers, P.C.","collector.Heyligers, P.C.",2630,"collector:""Heyligers, P.C.""",1963,2010,47
335,"McDonald, W.J.","collector.McDonald, W.J.",2621,"collector:""McDonald, W.J.""",1873,2015,142
336,"Carrick, J.","collector.Carrick, J.",2612,"collector:""Carrick, J.""",1952,1979,27
337,"Mills, K.","collector.Mills, K.",2603,"collector:""Mills, K.""",1939,2017,78
338,"Waterhouse, J.T.","collector.Waterhouse, J.T.",2598,"collector:""Waterhouse, J.T.""",1936,1991,55
339,"McGillivray, D.J.","collector.McGillivray, D.J.",2595,"collector:""McGillivray, D.J.""",1847,1987,140
340,"Markey, A.","collector.Markey, A.",2592,"collector:""Markey, A.""",1996,2012,16
341,"Robinson, A.C.","collector.Robinson, A.C.",2585,"collector:""Robinson, A.C.""",1929,2016,87
342,"Williams, K.A.","collector.Williams, K.A.",2582,"collector:""Williams, K.A.""",1959,1992,33
343,"Bailey, F.M.","collector.Bailey, F.M.",2551,"collector:""Bailey, F.M.""",1869,1997,128
344,"Wapstra, M.","collector.Wapstra, M.",2530,"collector:""Wapstra, M.""",1992,2019,27
345,"Morris, A.","collector.Morris, A.",2528,"collector:""Morris, A.""",1872,2016,144
346,"Bratt, G.C.|Cashin, J.A.","collector.Bratt, G.C.|Cashin, J.A.",2524,"collector:""Bratt, G.C.|Cashin, J.A.""",1960,1985,25
347,"Phillips, S.P.","collector.Phillips, S.P.",2513,"collector:""Phillips, S.P.""",1996,2018,22
348,"Westaway, J.","collector.Westaway, J.",2513,"collector:""Westaway, J.""",1986,2018,32
349,"Hill, K.","collector.Hill, K.",2496,"collector:""Hill, K.""",1953,2006,53
350,"Boomsma, C.D.","collector.Boomsma, C.D.",2491,"collector:""Boomsma, C.D.""",1907,1992,85
351,"Andrews, G.","collector.Andrews, G.",2490,"collector:""Andrews, G.""",1994,1994,0
352,"Makinson, R.O.","collector.Makinson, R.O.",2482,"collector:""Makinson, R.O.""",1981,2009,28
353,"Donaldson, S.","collector.Donaldson, S.",2481,"collector:""Donaldson, S.""",1983,2007,24
354,"Stevens, N.","collector.Stevens, N.",2464,"collector:""Stevens, N.""",1953,2000,47
355,"Jurjevich, P.A.","collector.Jurjevich, P.A.",2459,"collector:""Jurjevich, P.A.""",1997,1997,0
356,"McCutcheon, G.S.","collector.McCutcheon, G.S.",2455,"collector:""McCutcheon, G.S.""",1958,2008,50
357,"Fitzgerald, W.V.","collector.Fitzgerald, W.V.",2432,"collector:""Fitzgerald, W.V.""",1874,1978,104
358,"Clemens, M.S.","collector.Clemens, M.S.",2428,"collector:""Clemens, M.S.""",1916,1958,42
359,"Greuter, W.","collector.Greuter, W.",2423,"collector:""Greuter, W.""",1973,2001,28
360,S. van Leeuwen et al.,collector.S. van Leeuwen et al.,2406,"collector:""S. van Leeuwen et al.""",2004,2006,2
361,"Clarkson, J.","collector.Clarkson, J.",2400,"collector:""Clarkson, J.""",1972,2016,44
362,"Nicholls, W.H.","collector.Nicholls, W.H.",2400,"collector:""Nicholls, W.H.""",1921,1962,41
363,"Barnsley, B.","collector.Barnsley, B.",2399,"collector:""Barnsley, B.""",1964,1999,35
364,"Eddie, C.","collector.Eddie, C.",2395,"collector:""Eddie, C.""",1995,2017,22
365,"Newbey, K.","collector.Newbey, K.",2395,"collector:""Newbey, K.""",1961,1987,26
366,"Karunajeewa, N.G.","collector.Karunajeewa, N.G.",2382,"collector:""Karunajeewa, N.G.""",2002,2020,18
367,"Schofield, W.B.","collector.Schofield, W.B.",2374,"collector:""Schofield, W.B.""",1883,1996,113
368,"Symon, D.","collector.Symon, D.",2364,"collector:""Symon, D.""",1910,2009,99
369,"Weston, A.S.","collector.Weston, A.S.",2362,"collector:""Weston, A.S.""",1892,1999,107
370,"Black, J.M.","collector.Black, J.M.",2355,"collector:""Black, J.M.""",1819,2016,197
371,"Jackson, G.","collector.Jackson, G.",2285,"collector:""Jackson, G.""",1880,2008,128
372,"Allan, M.","collector.Allan, M.",2279,"collector:""Allan, M.""",1945,2013,68
373,"Bougher, N.L.","collector.Bougher, N.L.",2273,"collector:""Bougher, N.L.""",1982,2018,36
374,"Smith, N.","collector.Smith, N.",2273,"collector:""Smith, N.""",1952,2018,66
375,"Vickery, J.W.","collector.Vickery, J.W.",2272,"collector:""Vickery, J.W.""",1912,1978,66
376,"Schubert, A.","collector.Schubert, A.",2244,"collector:""Schubert, A.""",2003,2018,15
377,"Bennett, E.M.","collector.Bennett, E.M.",2234,"collector:""Bennett, E.M.""",1941,2012,71
378,"Wilson, P.","collector.Wilson, P.",2234,"collector:""Wilson, P.""",1950,2006,56
379,"Mulham, W.E.","collector.Mulham, W.E.",2184,"collector:""Mulham, W.E.""",1920,1993,73
380,"Gurgel, C.F.","collector.Gurgel, C.F.",2181,"collector:""Gurgel, C.F.""",2007,2013,6
381,"Heard, L.M.B. | Neagle, N.R.","collector.Heard, L.M.B. | Neagle, N.R.",2172,"collector:""Heard, L.M.B. | Neagle, N.R.""",1998,2007,9
