,label,count,start_date,end_date,activity_span,name,matched_name,distance,item_count,items,item_labels
553,"Silcock, J.L.",1627,2004.0,2016.0,12.0,"Silcock, J.L.","Alcock, J.",0.91,1,http://www.wikidata.org/entity/Q1699105,John Alcock
393,"Milthorpe, P.L.",2726,1967.0,2004.0,37.0,"Milthorpe, P.L.","Fulthorpe, R.",0.91,1,http://www.wikidata.org/entity/Q46124931,Roberta Fulthorpe
188,"Lang, P.J. | Canty, P.D.",3536,1994.0,2005.0,11.0,"Lang, P.J. | Canty, P.D.","Lang, P.J.",0.91,1,http://www.wikidata.org/entity/Q21516211,Peter J. Lang
300,"Must, J.",3635,1957.0,2005.0,48.0,"Must, J.","Rust, J.",0.91,1,http://www.wikidata.org/entity/Q19506576,Jes Rust
960,"Carr, S.G.M.",741,1879.0,1996.0,117.0,"Carr, S.G.M.","Carr, J.",0.92,1,http://www.wikidata.org/entity/Q21337763,Janice Carr
903,"Giblin, A.V.",806,1888.0,1939.0,51.0,"Giblin, A.V.","Giblin-Davis, R.M.",0.92,1,http://www.wikidata.org/entity/Q64028883,Robin M. Giblin-Davis
189,"Lang, P.J. | Graham, K.L.",817,1994.0,2008.0,14.0,"Lang, P.J. | Graham, K.L.","Lang, P.J.",0.92,1,http://www.wikidata.org/entity/Q21516211,Peter J. Lang
526,"Barritt, M.",1779,1981.0,2004.0,23.0,"Barritt, M.","Merritt, M.L.",0.92,1,http://www.wikidata.org/entity/Q88839940,Melvin Leroy Merritt
353,"Conrick, P.E.",3020,1969.0,2000.0,31.0,"Conrick, P.E.","Conrick, H.V.P.",0.92,1,http://www.wikidata.org/entity/Q24239517,Horatio Victor Patrick Conrick
336,"O'Sullivan, W.",3105,1988.0,2012.0,24.0,"O'Sullivan, W.","Sullivan, J.",0.92,1,http://www.wikidata.org/entity/Q23675063,Jaqueline Sullivan
981,"Webb, A. | Muir, B.",709,2001.0,2001.0,0.0,"Webb, A. | Muir, B.","Webb, A.D.",0.93,1,http://www.wikidata.org/entity/Q21612305,Andrew D. Webb
908,"Kempe, F.A.H.",800,1879.0,1924.0,45.0,"Kempe, F.A.H.","Kemper, H.",0.93,1,http://www.wikidata.org/entity/Q58315161,Heinrich Kemper
795,"Mollenmans, F.",802,1961.0,2000.0,39.0,"Mollenmans, F.","Mollemans, F.H.",0.93,1,http://www.wikidata.org/entity/Q26713241,F.H. Mollemans
802,"Brett, R.G.",964,1934.0,1951.0,17.0,"Brett, R.G.","Brett, R.L.G.",0.93,1,http://www.wikidata.org/entity/Q21506471,Robert Lindsay Gordon Brett
707,"Fagg, M.",1143,1962.0,2006.0,44.0,"Fagg, M.","Fagge, C.",0.93,1,http://www.wikidata.org/entity/Q5077580,Charles Fagge
699,"Althofer, G.W.",1160,1935.0,1987.0,52.0,"Althofer, G.W.","Althoff, F.",0.93,1,http://www.wikidata.org/entity/Q108423,Friedrich Althoff
629,"McAuliffe, J.",1355,1910.0,2019.0,109.0,"McAuliffe, J.","Iliffe, J.",0.93,1,http://www.wikidata.org/entity/Q6240736,John Iliffe
537,"Ballingall, M.E.",1676,1935.0,1997.0,62.0,"Ballingall, M.E.","Wall, M.E.",0.93,1,http://www.wikidata.org/entity/Q47128329,Mary E. Wall
161,"Fell, D.G.",6653,1983.0,2018.0,35.0,"Fell, D.G.","Mitchell, D.G.",0.93,1,http://www.wikidata.org/entity/Q5294439,Donald Grant Mitchell
18,Anon.,29949,1779.0,2014.0,235.0,Anon.,"Anonby, J.E.",0.93,1,http://www.wikidata.org/entity/Q61998426,Johannes E. Anonby
911,"Heinsohn, G.",797,1966.0,1990.0,24.0,"Heinsohn, G.","Girgensohn, G.",0.94,1,http://www.wikidata.org/entity/Q12363153,Gustav Girgensohn
839,"Sands, V.E.",899,1961.0,1984.0,23.0,"Sands, V.E.","Sands, M.C.",0.94,1,http://www.wikidata.org/entity/Q55829853,Michael C. Sands
374,"Gates, G.M.|Ratkowsky, D.A.",1360,1998.0,2018.0,20.0,"Gates, G.M.|Ratkowsky, D.A.","Ratkowsky, D.(.).",0.94,1,http://www.wikidata.org/entity/Q88847216,David (A.) Ratkowsky
331,"Martensz, P.",3142,1964.0,1997.0,33.0,"Martensz, P.","Martens, J.",0.94,1,http://www.wikidata.org/entity/Q1691130,Jochen Martens
248,"Jago, R.L.",4371,1968.0,2018.0,50.0,"Jago, R.L.","Jago, N.D.",0.94,1,http://www.wikidata.org/entity/Q21394445,Nicholas David Jago
980,"Elick, R.",712,1986.0,2006.0,20.0,"Elick, R.","Gorelick, R.",0.95,1,http://www.wikidata.org/entity/Q36662901,Root Gorelick
958,"Macey, K.",744,1999.0,2006.0,7.0,"Macey, K.","Lacey, J.",0.95,1,http://www.wikidata.org/entity/Q21518264,John Lacey
910,"Dornan, C.P.",797,2007.0,2007.0,0.0,"Dornan, C.P.","Cépè, .",0.95,1,http://www.wikidata.org/entity/Q47115245,Cépè
822,"Piesse, A.D.J.",931,1980.0,1993.0,13.0,"Piesse, A.D.J.","Piesse, F.H.",0.95,1,http://www.wikidata.org/entity/Q5498008,Frederick Henry Piesse
291,"Edinger, D.J. | Marsh, G.",1204,1997.0,2004.0,7.0,"Edinger, D.J. | Marsh, G.","Edinger, L.",0.95,1,http://www.wikidata.org/entity/Q66524,Ludwig Edinger
