,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
140,3933,Cochrane,A.C.,Alexander,1186,1998.0,2000.0,"Cochrane, A.C.","Cochrane, A.C.","Cochrane, S.A.",0.67,1.0,http://www.wikidata.org/entity/Q36674192,Susan A. Cochrane,Cochrane,S.A.,"Cochrane, S.A.",,,,,36607-1,S.Cochrane,,,,,,
159,6219,Ewers,W.H.,,1080,1958.0,1990.0,"Ewers, W.H.","Ewers, W.H.","Ewers, R.",0.67,1.0,http://www.wikidata.org/entity/Q22105577,R. Ewers,Ewers,R.,"Ewers, R.",,,,,,,,,,,,
155,15174,Orchard,A.E.,Tony,1101,1968.0,2010.0,"Orchard, A.E.","Orchard, A.E.","Orchard, T.",0.68,1.0,http://www.wikidata.org/entity/Q5696944,Tony Orchard,Orchard,T.,"Orchard, T.",,54431056,0000 0001 1472 8754,46649.0,7159-1,Orchard,,,1946.0,,,
150,826,Baker,W.R.A.,,1139,1868.0,1989.0,"Baker, W.R.A.","Baker, W.R.A.","Baker, W.",0.69,1.0,http://www.wikidata.org/entity/Q27926913,William Baker,Baker,W.,"Baker, W.",,24378115,,,,,,P001594b,1864.0,1929.0,,
162,4592,Cronin,M.,,1070,1887.0,1982.0,"Cronin, M.","Cronin, M.","Cronin, T.M.",0.72,1.0,http://www.wikidata.org/entity/Q21518049,Thomas M. Cronin,Cronin,T.M.,"Cronin, T.M.",,,,,,,,,,,,
156,18202,Sewell,J.,Julia,1087,1882.0,1906.0,"Sewell, J.","Sewell, J.","Sewel, W.",0.74,1.0,http://www.wikidata.org/entity/Q2741574,William Sewel,Sewel,W.,"Sewel, W.",,71458237,0000 0001 1769 4596,,,,,,1653.0,1720.0,,
172,19882,Thies,A.W.,Arthur,1002,1978.0,1998.0,"Thies, A.W.","Thies, A.W.","Thies, D.",0.74,1.0,http://www.wikidata.org/entity/Q21395266,Detlev Thies,Thies,D.,"Thies, D.",,,,,,,,,,,,
14,14329,Muir,T.B.,,7191,1879.0,1986.0,"Muir, T.B.","Muir, T.B.","Muir, J.",0.74,2.0,http://www.wikidata.org/entity/Q379580,John Muir,Muir,J.,"Muir, J.",,68933311,0000 0001 2137 9847,24268.0,6757-1,J.Muir,Q379580,,1838.0,1914.0,,
15,14329,Muir,T.B.,,7191,1879.0,1986.0,"Muir, T.B.","Muir, T.B.","Muir, J.",0.74,2.0,http://www.wikidata.org/entity/Q1701160,John Muir,Muir,J.,"Muir, J.",,25755593,0000 0000 4321 0842,,20009120-1,John Muir,Q1701160,,1874.0,1947.0,,
68,3774,Clarke,I.C.,Ian,2491,1975.0,2017.0,"Clarke, I.C.","Clarke, I.C.","Clarke, J.",0.77,1.0,http://www.wikidata.org/entity/Q11728948,Julia Clarke,Clarke,J.,"Clarke, J.",,,,,,,,,,,,
93,10391,Johnson,Stephen,,1795,1876.0,1899.0,"Johnson, Stephen","Johnson, Stephen","Stephenson, S.L.",0.78,1.0,http://www.wikidata.org/entity/Q21609793,Steven L. Stephenson,Stephenson,S.L.,"Stephenson, S.L.",0000-0002-9207-8037,,,,27192-1,S.L.Stephenson,,,1943.0,,,
154,18552,Sinnott,N.H.,Nigel,1104,1944.0,2015.0,"Sinnott, N.H.","Sinnott, N.H.","Sinnott, E.W.",0.8,1.0,http://www.wikidata.org/entity/Q5339904,Edmund Ware Sinnott,Sinnott,E.W.,"Sinnott, E.W.",,34832741,0000 0000 8114 1745,23132.0,9699-1,Sinnott,,,1888.0,1968.0,,
23,2473,Brooker,M.I.H.,,4966,1938.0,2006.0,"Brooker, M.I.H.","Brooker, M.I.H.","Brooker, I.",0.82,1.0,http://www.wikidata.org/entity/Q2601921,Ian Brooker,Brooker,I.,"Brooker, I.",,75943659,0000 0000 6406 1129,35287.0,1174-1,Brooker,Q2601921,P005127b,1934.0,2016.0,,
96,17766,Sayer,W.A.,,1730,1877.0,1898.0,"Sayer, W.A.","Sayer, W.A.","Sayer, C.D.",0.83,1.0,http://www.wikidata.org/entity/Q25448507,Carl D. Sayer,Sayer,C.D.,"Sayer, C.D.",,,,,,,,,,,,
110,13632,Merrall,E.,Edwin,1561,1807.0,1899.0,"Merrall, E.","Merrall, E.","Grall, E.",0.83,1.0,http://www.wikidata.org/entity/Q23661033,Elena Grall,Grall,E.,"Grall, E.",,,,,,,,,,,,
101,14213,Moscal,A.,,1626,1968.0,2002.0,"Moscal, A.","Moscal, A.","Mosca, L.",0.85,1.0,http://www.wikidata.org/entity/Q47122999,Luigi Mosca,Mosca,L.,"Mosca, L.",,,,,14456-1,L.Mosca,,,,,,
61,15766,Persieh,W.A.,,2551,1877.0,1887.0,"Persieh, W.A.","Persieh, W.A.","Hsieh, W.H.",0.86,1.0,http://www.wikidata.org/entity/Q36701441,Wen Hsui Hsieh,Hsieh,W.H.,"Hsieh, W.H.",,,,,20548-1,W.H.Hsieh,,,,,,
145,6960,French Jnr,C.H.,,1156,1866.0,1944.0,"French Jnr, C.H.","French Jnr, C.H.","French, C.H.",0.86,1.0,http://www.wikidata.org/entity/Q24170551,Charles Hamilton French,French,C.H.,"French, C.H.",,,,,,,,P000425b,1868.0,1950.0,,
40,743,Bäuerlen,W.,William,3434,1880.0,1910.0,"Bäuerlen, W.","Bäuerlen, W.","Baeuerlen, W.",0.89,1.0,http://www.wikidata.org/entity/Q62088127,William Baeuerlen,Baeuerlen,W.,"Baeuerlen, W.",,,,27830,,,,P002095b,1840.0,1893.0,,
48,3185,Cann,H.J.,,3106,1952.0,1974.0,"Cann, H.J.","Cann, H.J.","Conn, H.J.",0.9,1.0,http://www.wikidata.org/entity/Q21508943,Harold Joel Conn,Conn,H.J.,"Conn, H.J.",,,,61842,17375-1,H.J.Conn,,,1886.0,1952.0,,
1,14283,Mueller,F. ,Ferdinand Jacob Heinrich,25429,1812.0,1895.0,"Mueller, F. ",,,,,,,,,,,,,,,,,,,,,
9,21564,Whinray,J.S.,John,10631,1958.0,2017.0,"Whinray, J.S.",,,,,,,,,,,,,,,,,,,,,
21,18470,Simmons,M.H.,,5900,1944.0,2005.0,"Simmons, M.H.",,,,,,,,,,,,,,,,,,,,,
22,18465,Simmons,J.G.,,5845,1944.0,2005.0,"Simmons, J.G.",,,,,,,,,,,,,,,,,,,,,
24,19007,St John,P.R.H.,,4402,1881.0,1999.0,"St John, P.R.H.",,,,,,,,,,,,,,,,,,,,,
25,3598,Chesterfield,E.A.,Evan,4350,1970.0,2002.0,"Chesterfield, E.A.",,,,,,,,,,,,,,,,,,,,,
28,15121,Oldfield,A.F.,,4108,1850.0,1862.0,"Oldfield, A.F.",,,,,,,,,,,,,,,,,,,,,
33,22193,Woolls,W.,William,3654,1823.0,1921.0,"Woolls, W.",,,,,,,,,,,,,,,,,,,,,
36,13004,Maxwell,G.,George,3460,1840.0,1978.0,"Maxwell, G.",,,,,,,,,,,,,,,,,,,,,
49,4400,Coveny,R.G.,,3070,1953.0,2013.0,"Coveny, R.G.",,,,,,,,,,,,,,,,,,,,,
72,22407,Zeyher,C.L.P.,,2276,1822.0,1895.0,"Zeyher, C.L.P.",,,,,,,,,,,,,,,,,,,,,
75,2189,Bowman,E.M.,,2200,1859.0,1873.0,"Bowman, E.M.",,,,,,,,,,,,,,,,,,,,,
80,6548,Fitzalan,E.F.A.,Eugene Fitzherbaert Albini,2059,1855.0,1974.0,"Fitzalan, E.F.A.",,,,,,,,,,,,,,,,,,,,,
81,10624,Karunajeewa,N.G.,Nimal,2052,2002.0,2020.0,"Karunajeewa, N.G.",,,,,,,,,,,,,,,,,,,,,
83,5867,Ecklon,C.F.,Christian,1995,1817.0,1870.0,"Ecklon, C.F.",,,,,,,,,,,,,,,,,,,,,
100,493,Armit,W.E. de M.,William Edington de Margrat,1654,1802.0,1898.0,"Armit, W.E. de M.",,,,,,,,,,,,,,,,,,,,,
111,20003,Thozet,A.,Anthelme,1522,1866.0,1881.0,"Thozet, A.",,,,,,,,,,,,,,,,,,,,,
115,19624,Tadgell,A.J.,,1425,1886.0,1966.0,"Tadgell, A.J.",,,,,,,,,,,,,,,,,,,,,
124,20156,Tonkin,J.E.,Jenny,1289,1994.0,2006.0,"Tonkin, J.E.",,,,,,,,,,,,,,,,,,,,,
128,1176,Batianoff,G.N.,,1278,1955.0,2007.0,"Batianoff, G.N.",,,,,,,,,,,,,,,,,,,,,
139,6349,Fawcett,H.C.,,1203,1867.0,1887.0,"Fawcett, H.C.",,,,,,,,,,,,,,,,,,,,,
143,14036,Moore,C.,Charles ,1166,1845.0,1986.0,"Moore, C.",,,,,,,,,,,,,,,,,,,,,
151,7041,Fullagar,J.P.,James,1121,1860.0,1877.0,"Fullagar, J.P.",,,,,,,,,,,,,,,,,,,,,
163,2729,Bufton,J.,,1061,1853.0,1898.0,"Bufton, J.",,,,,,,,,,,,,,,,,,,,,
164,9524,Hooker,J.D.,Joseph Dalton,1046,1830.0,1902.0,"Hooker, J.D.",,,,,,,,,,,,,,,,,,,,,
165,21755,Wilhelmi,J.F.C.,,1035,1847.0,1887.0,"Wilhelmi, J.F.C.",,,,,,,,,,,,,,,,,,,,,
169,8624,Hartmann,C.H.,Carl,1017,1856.0,1889.0,"Hartmann, C.H.",,,,,,,,,,,,,,,,,,,,,
