,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
91,17266,Ross,J.H.,Jim,1865,1896.0,2005.0,"Ross, J.H.","Ross, J.H.","Ross, J.H.",0.0,1.0,http://www.wikidata.org/entity/Q5925767,James Henderson Ross,Ross,J.H.,"Ross, J.H.",,254622576,,,8609-1,J.H.Ross,,,1941.0,,,
92,21952,Wilson,J.B.,John Bracebridge ,1864,1872.0,1895.0,"Wilson, J.B.","Wilson, J.B.","Wilson, J.B.",0.0,1.0,http://www.wikidata.org/entity/Q21612774,John Bracebridge Wilson,Wilson,J.B.,"Wilson, J.B.",,80444445,,35120,31798-1,J.B.Wilson,,P000194b,1828.0,1895.0,,
94,4541,Crichton,G.A.,,1789,1945.0,1997.0,"Crichton, G.A.","Crichton, G.A.","Crichton, G.A.",0.0,1.0,http://www.wikidata.org/entity/Q47115863,George A. Crichton,Crichton,G.A.,"Crichton, G.A.",,,,,17519-1,Crichton,,,,1989.0,,
97,4754,Cunningham,A.,Allan,1723,1812.0,1867.0,"Cunningham, A.","Cunningham, A.","Cunningham, A.",0.0,1.0,http://www.wikidata.org/entity/Q545888,Allan Cunningham,Cunningham,A.,"Cunningham, A.",,15528184,0000 0000 6317 2409,46902.0,1916-1,A.Cunn.,,P000337b,1791.0,1839.0,,
98,2521,Brown,A.J.,Austin,1703,1941.0,2017.0,"Brown, A.J.","Brown, A.J.","Brown, A.J.",0.0,1.0,http://www.wikidata.org/entity/Q33665234,A.J. Brown,Brown,A.J.,"Brown, A.J.",,,,,39445-1,A.J.Br.,,,,,,
99,5761,Duretto,M.F.,Marco,1661,1991.0,2010.0,"Duretto, M.F.","Duretto, M.F.","Duretto, M.F.",0.0,1.0,http://www.wikidata.org/entity/Q5996322,Marco F. Duretto,Duretto,M.F.,"Duretto, M.F.",,,,63738,37683-1,Duretto,,,1964.0,,,
114,8921,Helms,R.,Richard,1481,1871.0,1981.0,"Helms, R.","Helms, R.","Helms, R.",0.0,1.0,http://www.wikidata.org/entity/Q19877827,Richard Helms,Helms,R.,"Helms, R.",,84145067250966630685,,23189.0,13290-1,Helms,,P000487b,1842.0,1914.0,,
116,1168,Bates,R.J.,,1414,1968.0,2014.0,"Bates, R.J.","Bates, R.J.","Bates, R.J.",0.0,1.0,http://www.wikidata.org/entity/Q6109468,Robert J. Bates,Bates,R.J.,"Bates, R.J.",,,,65346,13250-1,R.J.Bates,,,1946.0,,,
119,10459,Jones,D.L.,David Lloyd,1385,1960.0,2006.0,"Jones, D.L.","Jones, D.L.","Jones, D.L.",0.0,1.0,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones,Jones,D.L.,"Jones, D.L.",,34558570,0000 0001 1053 0310,17797.0,4531-1,D.L.Jones,,,1944.0,,,
120,9468,Holtze,M.W.,Maurice Waldemar,1361,1867.0,1911.0,"Holtze, M.W.","Holtze, M.W.","Holtze, M.W.",0.0,1.0,http://www.wikidata.org/entity/Q6793541,Maurice William Holtze,Holtze,M.W.,"Holtze, M.W.",,28720157,0000 0000 6322 108X,11267,20034239-1,M.Holtze,,P001101b,1840.0,1923.0,,
121,9708,Howitt,A.W.,,1335,1838.0,1903.0,"Howitt, A.W.","Howitt, A.W.","Howitt, A.W.",0.0,1.0,http://www.wikidata.org/entity/Q368705,Alfred William Howitt,Howitt,A.W.,"Howitt, A.W.",,46859779,0000 0000 8379 5275,41666.0,13294-1,A.W.Howitt,,P000507b,1830.0,1908.0,,
122,13655,Messina,A.,Andre,1330,2006.0,2020.0,"Messina, A.","Messina, A.","Messina, A.",0.0,1.0,http://www.wikidata.org/entity/Q18986897,Andre Messina,Messina,A.,"Messina, A.",,,,,20016742-1,Messina,,,,,,
123,8646,Harvey,W.H.,William Henry,1311,1839.0,1858.0,"Harvey, W.H.","Harvey, W.H.","Harvey, W.H.",0.0,1.0,http://www.wikidata.org/entity/Q1378128,William Henry Harvey,Harvey,W.H.,"Harvey, W.H.",,259531,0000 0001 0775 8592,635.0,3705-1,Harv.,Q1378128,P000482b,1811.0,1866.0,,
129,15759,Perry,R.A.,,1269,1946.0,1958.0,"Perry, R.A.","Perry, R.A.","Perry, R.A.",0.0,1.0,http://www.wikidata.org/entity/Q62086632,Rayden Alfred Perry,Perry,R.A.,"Perry, R.A.",,,,48778,,,,P004558b,1925.0,2004.0,,
130,19463,Sullivan,D.J.,Daniel,1268,1869.0,1897.0,"Sullivan, D.J.","Sullivan, D.J.","Sullivan, D.J.",0.0,1.0,http://www.wikidata.org/entity/Q36541411,Derek J. Sullivan,Sullivan,D.J.,"Sullivan, D.J.",,,,,20003493-1,D.J.Sullivan,,,,,,
134,19381,Streimann,H.,,1237,1963.0,2001.0,"Streimann, H.","Streimann, H.","Streimann, H.",0.0,1.0,http://www.wikidata.org/entity/Q21339679,Heinar Streimann,Streimann,H.,"Streimann, H.",,69178760,0000 0001 1573 7118,2053,15669-1,Streimann,,P005606b,1938.0,2001.0,,
135,11634,Lebel,T.,Teresa,1218,1992.0,2017.0,"Lebel, T.","Lebel, T.","Lebel, T.",0.0,1.0,http://www.wikidata.org/entity/Q6142582,Teresa Lebel,Lebel,T.,"Lebel, T.",0000-0002-8592-1102,,,,20002421-1,T.Lebel,,,1974.0,,,
141,20985,Walters,N.E.M.,,1185,1947.0,1976.0,"Walters, N.E.M.","Walters, N.E.M.","Walters, N.E.M.",0.0,1.0,http://www.wikidata.org/entity/Q21612108,Neville E.M. Walters,Walters,N.E.M.,"Walters, N.E.M.",,,,,28531-1,N.Walters,,,1916.0,2004.0,,
146,9172,Hill,G.F.,,1149,1901.0,1941.0,"Hill, G.F.","Hill, G.F.","Hill, G.F.",0.0,1.0,http://www.wikidata.org/entity/Q55047230,Gerald Freer Hill,Hill,G.F.,"Hill, G.F.",,65520721,0000 0000 6380 359X,,,,,P000496b,1880.0,1954.0,,
152,6011,Elix,J.A.,Jack,1112,1965.0,2016.0,"Elix, J.A.","Elix, J.A.","Elix, J.A.",0.0,1.0,http://www.wikidata.org/entity/Q21339171,John Alan Elix,Elix,J.A.,"Elix, J.A.",,5178780,0000 0000 8084 828X,93027.0,18445-1,Elix,,P005725b,1941.0,,,
157,3799,Clarkson,J.R.,,1082,1930.0,1999.0,"Clarkson, J.R.","Clarkson, J.R.","Clarkson, J.R.",0.0,1.0,http://www.wikidata.org/entity/Q21392436,John Richard Clarkson,Clarkson,J.R.,"Clarkson, J.R.",,,,93047,14650-1,J.R.Clarkson,,,1950.0,,,
160,652,Audas,J.W.C.,,1075,1891.0,1937.0,"Audas, J.W.C.","Audas, J.W.C.","Audas, J.W.C.",0.0,1.0,http://www.wikidata.org/entity/Q21505426,James Wales Claredon Audas,Audas,J.W.C.,"Audas, J.W.C.",,94759120,0000 0000 6520 0397,69008,13242-1,Audas,,,1872.0,1959.0,,
166,9507,Hoogland,R.D.,Ruurd Dirk,1024,1951.0,1975.0,"Hoogland, R.D.","Hoogland, R.D.","Hoogland, R.D.",0.0,1.0,http://www.wikidata.org/entity/Q7383565,Ruurd Dirk Hoogland,Hoogland,R.D.,"Hoogland, R.D.",,76996934,0000 0000 5019 6241,18765,4083-1,Hoogland,Q7383565,,1922.0,1994.0,,
170,1609,Betche,E.,Ernst,1016,1865.0,1986.0,"Betche, E.","Betche, E.","Betche, E.",0.0,1.0,http://www.wikidata.org/entity/Q8777414,Ernst Betche,Betche,E.,"Betche, E.",,93250440,0000 0000 6457 8785,2251,740-1,Betche,,P000086b,1851.0,1913.0,,
3,21883,Willis,J.H.,James,20637,1885.0,1996.0,"Willis, J.H.","Willis, J.H.","Willis, J.H.",0.0,2.0,http://www.wikidata.org/entity/Q6135471,James Hamlyn Willis,Willis,J.H.,"Willis, J.H.",,75240843,0000 0001 0989 0124,33214,11720-1,J.H.Willis,,P000902b,1910.0,1995.0,,
4,21883,Willis,J.H.,James,20637,1885.0,1996.0,"Willis, J.H.","Willis, J.H.","Willis, J.H.",0.0,2.0,http://www.wikidata.org/entity/Q47128902,John H. Willis,Willis,J.H.,"Willis, J.H.",,,,,20012709-2,John H.Willis,,,,,,
7,19040,Stajsic,V.,Val,10865,1988.0,2020.0,"Stajsic, V.","Stajsic, V.","Stajsic, V.",0.0,2.0,http://www.wikidata.org/entity/Q26714177,V. Stajsic,Stajsic,V.,"Stajsic, V.",,,,,39262-1,Stajsic,,,,,,
8,19040,Stajsic,V.,Val,10865,1988.0,2020.0,"Stajsic, V.","Stajsic, V.","Stajsic, V.",0.0,2.0,http://www.wikidata.org/entity/Q21395366,Val Stajsic,Stajsic,V.,"Stajsic, V.",,,,,,,,,,,,
12,19415,Stuart,C.,Charles,7342,1844.0,1886.0,"Stuart, C.","Stuart, C.","Stuart, C.",0.0,2.0,http://www.wikidata.org/entity/Q21609965,Charles Stuart,Stuart,C.,"Stuart, C.",,,,25086,20006383-1,C.Stuart,,P000807b,1802.0,1877.0,,
13,19415,Stuart,C.,Charles,7342,1844.0,1886.0,"Stuart, C.","Stuart, C.","Stuart, C.",0.0,2.0,http://www.wikidata.org/entity/Q66366782,Chris Stuart,Stuart,C.,"Stuart, C.",,23704078,,,,,,,1950.0,,,
38,13582,Melville,R.,,3443,1934.0,2007.0,"Melville, R.","Melville, R.","Melville, R.",0.0,2.0,http://www.wikidata.org/entity/Q7347619,Robert Melville,Melville,R.,"Melville, R.",,14643244,0000 0000 5237 0258,32481,,,,,1723.0,1809.0,,
39,13582,Melville,R.,,3443,1934.0,2007.0,"Melville, R.","Melville, R.","Melville, R.",0.0,2.0,http://www.wikidata.org/entity/Q7365114,Ronald Melville,Melville,R.,"Melville, R.",,56763961,0000 0000 3390 2837,32483,6340-1,Melville,,,1903.0,1985.0,,
58,18745,Smith,R.V.,,2568,1941.0,2001.0,"Smith, R.V.","Smith, R.V.","Smith, R.V.",0.0,2.0,http://www.wikidata.org/entity/Q21609131,Raymond Vaughan Smith,Smith,R.V.,"Smith, R.V.",,,,,9819-1,R.V.Sm.,,,1923.0,,,
59,18745,Smith,R.V.,,2568,1941.0,2001.0,"Smith, R.V.","Smith, R.V.","Smith, R.V.",0.0,2.0,http://www.wikidata.org/entity/Q21387929,Raymond Vaughan Smith,Smith,R.V.,"Smith, R.V.",,,,,,,,,1923.0,,,
77,1,Klazenga,N.,Niels,2139,1997.0,2018.0,"Klazenga, N.","Klazenga, N.","Klazenga, N.",0.0,2.0,http://www.wikidata.org/entity/Q21517582,Niels Klazenga,Klazenga,N.,"Klazenga, N.",0000-0003-2224-6821,228151588,0000 0003 6337 2939,90456,20015939-1,Klazenga,0000-0003-2224-6821,,1969.0,,,
78,1,Klazenga,N.,Niels,2139,1997.0,2018.0,"Klazenga, N.","Klazenga, N.","Klazenga, N.",0.0,2.0,http://www.wikidata.org/entity/Q21387891,N. Klazenga,Klazenga,N.,"Klazenga, N.",,,,,,,,,,,,
84,18665,Smith,B.H.,Basil,1965,1980.0,2005.0,"Smith, B.H.","Smith, B.H.","Smith, B.H.",0.0,2.0,http://www.wikidata.org/entity/Q21609071,Benjamin Hayes Smith,Smith,B.H.,"Smith, B.H.",,,,30285.0,9775-1,B.H.Sm.,,,1841.0,1918.0,,
85,18665,Smith,B.H.,Basil,1965,1980.0,2005.0,"Smith, B.H.","Smith, B.H.","Smith, B.H.",0.0,2.0,http://www.wikidata.org/entity/Q21609070,Benjamin Harrison Smith,Smith,B.H.,"Smith, B.H.",,,,,30445-1,B.Harr.Sm.,,,1892.0,,,
86,6744,Forrest,J.,,1952,1818.0,1890.0,"Forrest, J.","Forrest, J.","Forrest, J.",0.0,2.0,http://www.wikidata.org/entity/Q58096102,Jessica Forrest,Forrest,J.,"Forrest, J.",0000-0002-5273-9339,160797679,,,,,,,,,,
87,6744,Forrest,J.,,1952,1818.0,1890.0,"Forrest, J.","Forrest, J.","Forrest, J.",0.0,2.0,http://www.wikidata.org/entity/Q921617,John Forrest,Forrest,J.,"Forrest, J.",,64786403,0000 0000 8389 3342,,,,,P000048b,1847.0,1918.0,,
126,13829,Milne,J.,Josephine,1282,1993.0,2018.0,"Milne, J.","Milne, J.","Milne, J.",0.0,2.0,http://www.wikidata.org/entity/Q2739759,John Milne,Milne,J.,"Milne, J.",,5712308,0000 0000 8195 0104,,,,,,1850.0,1913.0,,
127,13829,Milne,J.,Josephine,1282,1993.0,2018.0,"Milne, J.","Milne, J.","Milne, J.",0.0,2.0,http://www.wikidata.org/entity/Q21521526,Josephine Milne,Milne,J.,"Milne, J.",,,,,20025280-1,J.Milne,,,1957.0,,,
147,7114,Galbraith,J.,Jean,1144,1922.0,1992.0,"Galbraith, J.","Galbraith, J.","Galbraith, J.",0.0,2.0,http://www.wikidata.org/entity/Q22104316,John Galbraith,Galbraith,J.,"Galbraith, J.",,,,,,,,,,,,
148,7114,Galbraith,J.,Jean,1144,1922.0,1992.0,"Galbraith, J.","Galbraith, J.","Galbraith, J.",0.0,2.0,http://www.wikidata.org/entity/Q16014376,Jean Galbraith,Galbraith,J.,"Galbraith, J.",,282365075,,,,,,P001975b,1906.0,1999.0,,
173,7835,Gray,B.,,1001,1956.0,2011.0,"Gray, B.","Gray, B.","Gray, B.",0.0,2.0,http://www.wikidata.org/entity/Q52483753,Bessie Gray,Gray,B.,"Gray, B.",,63146936678413781031,,,,,,,1854.0,1925.0,,
174,7835,Gray,B.,,1001,1956.0,2011.0,"Gray, B.","Gray, B.","Gray, B.",0.0,2.0,http://www.wikidata.org/entity/Q13415750,Bruce Gray,Gray,B.,"Gray, B.",,16639496,,,3353-1,B.Gray,,,1939.0,,,
63,2564,Brown,R.,Robert,2504,1801.0,1982.0,"Brown, R.","Brown, R.","Brown, R.",0.0,5.0,http://www.wikidata.org/entity/Q155764,Robert Brown,Brown,R.,"Brown, R.",,34572082,0000 0000 8113 5572,38122.0,1192-1,R.Br.,Q155764,P000270b,1773.0,1858.0,,
64,2564,Brown,R.,Robert,2504,1801.0,1982.0,"Brown, R.","Brown, R.","Brown, R.",0.0,5.0,http://www.wikidata.org/entity/Q4269338,Robert Brown,Brown,R.,"Brown, R.",,27283813,0000 0001 0882 3739,81333.0,1193-1,R.Br.ter,,,1842.0,1895.0,,
65,2564,Brown,R.,Robert,2504,1801.0,1982.0,"Brown, R.","Brown, R.","Brown, R.",0.0,5.0,http://www.wikidata.org/entity/Q7342406,Robert Brown,Brown,R.,"Brown, R.",,8838901,0000 0000 8195 915X,,,,,,1757.0,1831.0,,
66,2564,Brown,R.,Robert,2504,1801.0,1982.0,"Brown, R.","Brown, R.","Brown, R.",0.0,5.0,http://www.wikidata.org/entity/Q7342412,Robert Brown,Brown,R.,"Brown, R.",,,,,1194-1,R.Br.bis,,,1820.0,1906.0,,
67,2564,Brown,R.,Robert,2504,1801.0,1982.0,"Brown, R.","Brown, R.","Brown, R.",0.0,5.0,http://www.wikidata.org/entity/Q21337638,Roselyn Brown,Brown,R.,"Brown, R.",,,,,,,,,,,,
102,11064,Koch,M.,Maxwell,1595,1882.0,1928.0,"Koch, M.","Koch, M.","Koch, M.",0.0,5.0,http://www.wikidata.org/entity/Q1417855,Manfred Koch,Koch,M.,"Koch, M.",,84342062,,,,,,,1901.0,1972.0,,
103,11064,Koch,M.,Maxwell,1595,1882.0,1928.0,"Koch, M.","Koch, M.","Koch, M.",0.0,5.0,http://www.wikidata.org/entity/Q13607931,Max Koch,Koch,M.,"Koch, M.",,213149106269868492334,,14659,20000001-2,Max Koch,,,1854.0,1925.0,,
104,11064,Koch,M.,Maxwell,1595,1882.0,1928.0,"Koch, M.","Koch, M.","Koch, M.",0.0,5.0,http://www.wikidata.org/entity/Q21389766,Milan Koch,Koch,M.,"Koch, M.",,,,,,,,,,,,
105,11064,Koch,M.,Maxwell,1595,1882.0,1928.0,"Koch, M.","Koch, M.","Koch, M.",0.0,5.0,http://www.wikidata.org/entity/Q50395475,Markus Koch,Koch,M.,"Koch, M.",,,,,,,,,,,,
106,11064,Koch,M.,Maxwell,1595,1882.0,1928.0,"Koch, M.","Koch, M.","Koch, M.",0.0,5.0,http://www.wikidata.org/entity/Q21517654,Marcus Koch,Koch,M.,"Koch, M.",0000-0002-1693-6829,7587155044748772520009,,,20031598-1,M.A.Koch,,,1967.0,,,
29,16555,Ratkowsky,D.A.,David,4085,1966.0,2018.0,"Ratkowsky, D.A.","Ratkowsky, D.A.","Ratkowsky, D.(.).",0.33,1.0,http://www.wikidata.org/entity/Q88847216,David (A.) Ratkowsky,Ratkowsky,D.(.).,"Ratkowsky, D.(.).",,,,,20039130-1,Ratkowsky,,,,,,
142,5716,Dunlop,C.R.,,1169,1968.0,2000.0,"Dunlop, C.R.","Dunlop, C.R.","Dunlop, C.",0.35,1.0,http://www.wikidata.org/entity/Q13420116,Clyde Dunlop,Dunlop,C.,"Dunlop, C.",,279666372,,69477,13280-1,Dunlop,,P005245b,1946.0,,,
69,18544,Sinkora,D.,,2477,1969.0,1993.0,"Sinkora, D.","Sinkora, D.","Sinkora, D.M.",0.41,1.0,http://www.wikidata.org/entity/Q21608980,Doris Martha Sinkora,Sinkora,D.M.,"Sinkora, D.M.",,,,,30424-1,Sinkora,,,1927.0,,,
95,13285,McHard,M.,Mary,1777,1847.0,1895.0,"McHard, M.","McHard, M.","McHard, M.A.",0.41,1.0,http://www.wikidata.org/entity/Q67954831,Mary Ann McHard,McHard,M.A.,"McHard, M.A.",,,,,,,,P006109b,1825.0,1912.0,,
149,11639,LeBreton,C.,,1140,1975.0,1991.0,"LeBreton, C.","LeBreton, C.","LeBreton, M.",0.41,1.0,http://www.wikidata.org/entity/Q21341238,Matthew LeBreton,LeBreton,M.,"LeBreton, M.",,,,,,,,,,,,
153,7345,George,A.S.,Alex,1108,1957.0,2017.0,"George, A.S.","George, A.S.","George, A.",0.41,1.0,http://www.wikidata.org/entity/Q2702267,Alex George,George,A.,"George, A.",,121789273,0000 0001 0803 529X,,3090-1,A.S.George,,,1939.0,,,
144,18908,Specht,R.L.,,1158,1948.0,1989.0,"Specht, R.L.","Specht, R.L.","Specht, R.",0.42,1.0,http://www.wikidata.org/entity/Q3277170,Raymond Specht,Specht,R.,"Specht, R.",,27126714,0000 0001 0881 7822,,9954-1,Specht,,P001449b,1924.0,,,
54,16991,Robbins,F.,,2697,1925.0,1985.0,"Robbins, F.","Robbins, F.","Robbins, J.",0.45,1.0,http://www.wikidata.org/entity/Q55071951,John Robbins,Robbins,J.,"Robbins, J.",,,,,,,,,1927.0,2004.0,,
60,4492,Craven,L.A.,Lyn,2564,1962.0,2008.0,"Craven, L.A.","Craven, L.A.","Craven, L.",0.46,1.0,http://www.wikidata.org/entity/Q6708677,Lyndley Craven,Craven,L.,"Craven, L.",,309880400,,93179,12457-1,Craven,,P005723b,1945.0,2014.0,,
109,21268,Webb,W.,,1579,1879.0,1896.0,"Webb, W.","Webb, W.","Webb, W.F.",0.47,1.0,http://www.wikidata.org/entity/Q7964883,Walter Freeman Webb,Webb,W.F.,"Webb, W.F.",,18733735,0000 0000 8010 4643,,,,,,1869.0,1957.0,,
132,16719,Reid,J.C.,John,1250,1974.0,2011.0,"Reid, J.C.","Reid, J.C.","Reid, J.",0.47,2.0,http://www.wikidata.org/entity/Q22109480,James Reid,Reid,J.,"Reid, J.",,,,,,,,,,,,
133,16719,Reid,J.C.,John,1250,1974.0,2011.0,"Reid, J.C.","Reid, J.C.","Reid, J.",0.47,2.0,http://www.wikidata.org/entity/Q47125085,James Reid,Reid,J.,"Reid, J.",,,,,25480-1,J.Reid,,,,,,
43,16621,Reader,F.M.,Felix Maximilian,3371,1854.0,1996.0,"Reader, F.M.","Reader, F.M.","Reader, F.",0.48,1.0,http://www.wikidata.org/entity/Q5442312,Felix Reader,Reader,F.,"Reader, F.",,,,45078.0,8205-1,Reader,,,1850.0,1911.0,,
71,18408,Sieber,F.W.,Franz Wilhelm,2428,1811.0,1923.0,"Sieber, F.W.","Sieber, F.W.","Sieber, F.",0.48,1.0,http://www.wikidata.org/entity/Q78907,Franz Sieber,Sieber,F.,"Sieber, F.",,22916664,0000 0001 2209 4341,1684.0,9612-1,Sieber,,,1789.0,1844.0,,
89,6710,Foreman,D.B.,Don,1929,1972.0,2003.0,"Foreman, D.B.","Foreman, D.B.","Foreman, D.",0.48,1.0,http://www.wikidata.org/entity/Q18984668,Donald Foreman,Foreman,D.,"Foreman, D.",,91467425,0000 0000 6782 9631,49657,2823-1,Foreman,,,1945.0,2004.0,,
18,1796,Black,R.A.,Raleigh,6142,1900.0,1953.0,"Black, R.A.","Black, R.A.","Black, R.",0.48,2.0,http://www.wikidata.org/entity/Q7342125,Robert Black,Black,R.,"Black, R.",,24174097,0000 0000 4317 8336,,,,,,1829.0,1915.0,,
19,1796,Black,R.A.,Raleigh,6142,1900.0,1953.0,"Black, R.A.","Black, R.A.","Black, R.",0.48,2.0,http://www.wikidata.org/entity/Q7286889,Raleigh Black,Black,R.,"Black, R.",,,,22318,829-1,R.A.Black,,P005180b,1880.0,1963.0,,
125,4506,Crawford,I.,,1287,1985.0,2012.0,"Crawford, I.","Crawford, I.","Crawford, J.",0.5,1.0,http://www.wikidata.org/entity/Q6227536,John Crawford,Crawford,J.,"Crawford, J.",,32129520,0000 0001 2126 8426,,,,,P003463b,1910.0,1984.0,,
168,12858,Maslin,B.R.,Bruce,1018,1910.0,2013.0,"Maslin, B.R.","Maslin, B.R.","Maslin, B.",0.5,1.0,http://www.wikidata.org/entity/Q2926444,Bruce Maslin,Maslin,B.,"Maslin, B.",,94978723,0000 0000 6608 3807,5215.0,6190-1,Maslin,,P005560b,1946.0,,,
46,4419,Cowie,I.D.,Ian,3135,1981.0,2018.0,"Cowie, I.D.","Cowie, I.D.","Cowie, I.",0.5,2.0,http://www.wikidata.org/entity/Q6076172,Isaac Cowie,Cowie,I.,"Cowie, I.",,104503637,0000 0000 7897 3559,,,,,,1848.0,1917.0,,
47,4419,Cowie,I.D.,Ian,3135,1981.0,2018.0,"Cowie, I.D.","Cowie, I.D.","Cowie, I.",0.5,2.0,http://www.wikidata.org/entity/Q18983983,Ian Cowie,Cowie,I.,"Cowie, I.",,,,,36613-1,Cowie,,,,,,
35,18385,Short,P.S.,Phillip,3469,1971.0,2011.0,"Short, P.S.","Short, P.S.","Short, P.",0.51,1.0,http://www.wikidata.org/entity/Q5814766,Philip Short,Short,P.,"Short, P.",,,,,14568-1,P.S.Short,,,1955.0,,,
131,19876,Thiele,K.R.,Kevin,1262,1973.0,2018.0,"Thiele, K.R.","Thiele, K.R.","Thiele, K.",0.51,1.0,http://www.wikidata.org/entity/Q547084,Kevin Thiele,Thiele,K.,"Thiele, K.",0000-0002-6658-6636,,,,27657-1,K.R.Thiele,0000-0002-6658-6636,,1959.0,,,
