,family_name,initials_x,given_names,name,num_det,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
86,Wilson,P.G.,Peter,"Wilson, P.G.",1623,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
87,Wilson,P.G.,Peter,"Wilson, P.G.",1623,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
88,Wilson,P.G.,Peter,"Wilson, P.G.",1623,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
89,Wilson,P.G.,Peter,"Wilson, P.G.",1623,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
90,Wilson,P.G.,Peter,"Wilson, P.G.",1623,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
91,Wilson,P.G.,Peter,"Wilson, P.G.",1623,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
101,Brown,A.J.,Austin,"Brown, A.J.",1430,"Brown, A.J.","Brown, A.J.",1.0,2.0,http://www.wikidata.org/entity/Q33665234,A.J. Brown,Brown,A.J.,"Brown, A.J.",,,,,39445-1,A.J.Br.,,,,,,,,http://www.wikidata.org/wiki/Q33665234,,,https://www.ipni.org/a/39445-1,,,
102,Brown,A.J.,Austin,"Brown, A.J.",1430,"Brown, A.J.","Brown, A.J.",1.0,2.0,http://www.wikidata.org/entity/Q21535405,Alfred John Brown,Brown,A.J.,"Brown, A.J.",,94738948,0000 0001 0859 4147,,,,,,brown-alfred-john-9596,1893.0,1976.0,,,http://www.wikidata.org/wiki/Q21535405,,,,,,http://adb.anu.edu.au/biography/brown-alfred-john-9596
126,Wilson,P.G.,,"Wilson, P.G.",1122,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
127,Wilson,P.G.,,"Wilson, P.G.",1122,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
128,Wilson,P.G.,,"Wilson, P.G.",1122,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
129,Wilson,P.G.,,"Wilson, P.G.",1122,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
130,Wilson,P.G.,,"Wilson, P.G.",1122,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
131,Wilson,P.G.,,"Wilson, P.G.",1122,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
96,Smith,P.,,"Smith, P.",1460,"Smith, P.","Smith, P.",1.0,3.0,http://www.wikidata.org/entity/Q7241063,Preserved Smith,Smith,P.,"Smith, P.",,52066097,0000 0001 1026 8180,,,,,,,1880.0,1941.0,,,http://www.wikidata.org/wiki/Q7241063,,,,,,
97,Smith,P.,,"Smith, P.",1460,"Smith, P.","Smith, P.",1.0,3.0,http://www.wikidata.org/entity/Q50144501,Paul Smith,Smith,P.,"Smith, P.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q50144501,,,,,,
98,Smith,P.,,"Smith, P.",1460,"Smith, P.","Smith, P.",1.0,3.0,http://www.wikidata.org/entity/Q21609130,Pearl Smith,Smith,P.,"Smith, P.",,,,,34982-1,P.Sm.,,,,1883.0,,,,http://www.wikidata.org/wiki/Q21609130,,,https://www.ipni.org/a/34982-1,,,
57,McGillivray,D.J.,Don,"McGillivray, D.J.",2211,"McGillivray, D.J.","McGillivray, D.",0.951,2.0,http://www.wikidata.org/entity/Q3036069,Donald McGillivray,McGillivray,D.,"McGillivray, D.",,50906746,0000 0000 8231 1224,71175.0,5918-1,McGill.,,P005561b,,1935.0,2012.0,,,http://www.wikidata.org/wiki/Q3036069,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=71175,https://www.ipni.org/a/5918-1,,http://www.eoas.info/biogs/P005561b,
58,McGillivray,D.J.,Don,"McGillivray, D.J.",2211,"McGillivray, D.J.","McGillivray, D.",0.951,2.0,http://www.wikidata.org/entity/Q21536843,Donald McGillivray,McGillivray,D.,"McGillivray, D.",,,,,,,,,mcgillivray-donald-13065,1855.0,1921.0,,,http://www.wikidata.org/wiki/Q21536843,,,,,,http://adb.anu.edu.au/biography/mcgillivray-donald-13065
93,Chappill,J.,,"Chappill, J.",1518,"Chappill, J.","Chappill, J.A.",0.944,1.0,http://www.wikidata.org/entity/Q21508256,Jennifer Anne Chappill,Chappill,J.A.,"Chappill, J.A.",,92163012,,87279.0,20005438-1,Chappill,Q21508256,,,1959.0,2006.0,,,http://www.wikidata.org/wiki/Q21508256,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=87279,https://www.ipni.org/a/20005438-1,https://bloodhound-tracker.net/Q21508256,,
112,Threlfall,S.M.,,"Threlfall, S.M.",1387,"Threlfall, S.M.","Threlfall, S.",0.943,1.0,http://www.wikidata.org/entity/Q26714649,S. Threlfall,Threlfall,S.,"Threlfall, S.",,,,80843,27706-1,Threlfall,,,,,,,,http://www.wikidata.org/wiki/Q26714649,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=80843,https://www.ipni.org/a/27706-1,,,
50,Crisp,M.D.,Michael,"Crisp, M.D.",2482,"Crisp, M.D.","Crisp, M.",0.936,1.0,http://www.wikidata.org/entity/Q4241213,Michael Crisp,Crisp,M.,"Crisp, M.",,,,9609.0,12123-1,Crisp,,,,1950.0,,,,http://www.wikidata.org/wiki/Q4241213,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=9609,https://www.ipni.org/a/12123-1,,,
116,Dunlop,C.R.,,"Dunlop, C.R.",1255,"Dunlop, C.R.","Dunlop, C.",0.935,1.0,http://www.wikidata.org/entity/Q13420116,Clyde Dunlop,Dunlop,C.,"Dunlop, C.",,279666372,,69477,13280-1,Dunlop,,P005245b,,1946.0,,,,http://www.wikidata.org/wiki/Q13420116,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69477,https://www.ipni.org/a/13280-1,,http://www.eoas.info/biogs/P005245b,
18,Chinnock,R.J.,Robert (Bob),"Chinnock, R.J.",6273,"Chinnock, R.J.","Chinnock, R.",0.927,1.0,http://www.wikidata.org/entity/Q22958786,Robert Chinnock,Chinnock,R.,"Chinnock, R.",,55774522,0000 0001 1647 3804,70796,1598-1,Chinnock,,,,1943.0,,,,http://www.wikidata.org/wiki/Q22958786,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70796,https://www.ipni.org/a/1598-1,,,
120,Meagher,D.A.,David,"Meagher, D.A.",1193,"Meagher, D.A.","Meagher, D.",0.924,1.0,http://www.wikidata.org/entity/Q36538801,David Meagher,Meagher,D.,"Meagher, D.",,,,89081,20012536-1,Meagher,,,,,,,,http://www.wikidata.org/wiki/Q36538801,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=89081,https://www.ipni.org/a/20012536-1,,,
137,Tindale,M.D.,Mary Douglas,"Tindale, M.D.",1014,"Tindale, M.D.","Tindale, M.",0.924,1.0,http://www.wikidata.org/entity/Q4815140,Mary Tindale,Tindale,M.,"Tindale, M.",,1718576,0000 0000 6383 0491,25164.0,10681-1,Tindale,,,,1920.0,2011.0,,,http://www.wikidata.org/wiki/Q4815140,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=25164,https://www.ipni.org/a/10681-1,,,
121,Sinkora,D.,,"Sinkora, D.",1192,"Sinkora, D.","Sinkora, D.M.",0.916,1.0,http://www.wikidata.org/entity/Q21608980,Doris Martha Sinkora,Sinkora,D.M.,"Sinkora, D.M.",,,,,30424-1,Sinkora,,,,1927.0,,,,http://www.wikidata.org/wiki/Q21608980,,,https://www.ipni.org/a/30424-1,,,
135,Jessup,L.W.,Laurie,"Jessup, L.W.",1064,"Jessup, L.W.","Jessup, L.",0.916,1.0,http://www.wikidata.org/entity/Q21517014,Laurence Jessup,Jessup,L.,"Jessup, L.",,,,,12450-1,Jessup,,,,1947.0,,,,http://www.wikidata.org/wiki/Q21517014,,,https://www.ipni.org/a/12450-1,,,
41,George,A.S.,Alex,"George, A.S.",2937,"George, A.S.","George, A.",0.915,1.0,http://www.wikidata.org/entity/Q2702267,Alex George,George,A.,"George, A.",,121789273,0000 0001 0803 529X,,3090-1,A.S.George,,,,1939.0,,,,http://www.wikidata.org/wiki/Q2702267,,,https://www.ipni.org/a/3090-1,,,
108,Kok,R.P.J. de,Rogier,"Kok, R.P.J. de",1417,"Kok, R.P.J. de","Kok, R.P.J.d.",0.914,1.0,http://www.wikidata.org/entity/Q6111090,Rogier Petrus Johannes de Kok,Kok,R.P.J.d.,"Kok, R.P.J.d.",,,,,38733-1,de Kok,,,,1964.0,,,,http://www.wikidata.org/wiki/Q6111090,,,https://www.ipni.org/a/38733-1,,,
111,Coveny,R.G.,,"Coveny, R.G.",1395,"Coveny, R.G.","Coveny, R.",0.912,1.0,http://www.wikidata.org/entity/Q21537426,Robert Coveny,Coveny,R.,"Coveny, R.",,,,,,,,,coveny-robert-3271,1809.0,1878.0,,,http://www.wikidata.org/wiki/Q21537426,,,,,,http://adb.anu.edu.au/biography/coveny-robert-3271
68,Wege,J.A.,Juliet,"Wege, J.A.",2016,"Wege, J.A.","Wege, J.",0.905,1.0,http://www.wikidata.org/entity/Q4815151,Juliet Wege,Wege,J.,"Wege, J.",,46289000,0000 0000 4392 5282,,20002923-2,Wege,,,,1971.0,,,,http://www.wikidata.org/wiki/Q4815151,,,https://www.ipni.org/a/20002923-2,,,
40,Carolin,R.,,"Carolin, R.",2942,"Carolin, R.","Carolin, R.C.",0.897,1.0,http://www.wikidata.org/entity/Q5393862,Roger Charles Carolin,Carolin,R.C.,"Carolin, R.C.",,35831742,0000 0000 6349 9276,35811.0,1409-1,Carolin,,,,1929.0,,,,http://www.wikidata.org/wiki/Q5393862,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=35811,https://www.ipni.org/a/1409-1,,,
122,Reid,J.C.,John,"Reid, J.C.",1180,"Reid, J.C.","Reid, J.",0.892,4.0,http://www.wikidata.org/entity/Q22109480,James Reid,Reid,J.,"Reid, J.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22109480,,,,,,
123,Reid,J.C.,John,"Reid, J.C.",1180,"Reid, J.C.","Reid, J.",0.892,4.0,http://www.wikidata.org/entity/Q47125085,James Reid,Reid,J.,"Reid, J.",,,,,25480-1,J.Reid,,,,,,,,http://www.wikidata.org/wiki/Q47125085,,,https://www.ipni.org/a/25480-1,,,
124,Reid,J.C.,John,"Reid, J.C.",1180,"Reid, J.C.","Reid, J.",0.892,4.0,http://www.wikidata.org/entity/Q24239535,John Reid,Reid,J.,"Reid, J.",,4850150749010816420005,,,,,,,reid-john-8175,1858.0,1919.0,,,http://www.wikidata.org/wiki/Q24239535,,,,,,http://adb.anu.edu.au/biography/reid-john-8175
125,Reid,J.C.,John,"Reid, J.C.",1180,"Reid, J.C.","Reid, J.",0.892,4.0,http://www.wikidata.org/entity/Q24250525,John Reid,Reid,J.,"Reid, J.",,,,,,,,,reid-john-4915,1825.0,1882.0,,,http://www.wikidata.org/wiki/Q24250525,,,,,,http://adb.anu.edu.au/biography/reid-john-4915
32,Craven,L.A.,Lyn,"Craven, L.A.",3882,"Craven, L.A.","Craven, L.",0.89,1.0,http://www.wikidata.org/entity/Q6708677,Lyndley Craven,Craven,L.,"Craven, L.",,309880400,,93179,12457-1,Craven,,P005723b,,1945.0,2014.0,,,http://www.wikidata.org/wiki/Q6708677,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93179,https://www.ipni.org/a/12457-1,,http://www.eoas.info/biogs/P005723b,
72,Mueller,F. ,Ferdinand Jacob Heinrich,"Mueller, F. ",1934,"Mueller, F. ","Mueller, F.v.",0.885,1.0,http://www.wikidata.org/entity/Q708002,Ferdinand von Mueller,Mueller,F.v.,"Mueller, F.v.",,95199327,0000 0001 0786 2787,13918.0,6732-1,F.Muell.,Q708002,P000663b,mueller-sir-ferdinand-jakob-heinrich-von-4266,1825.0,1896.0,,,http://www.wikidata.org/wiki/Q708002,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13918,https://www.ipni.org/a/6732-1,https://bloodhound-tracker.net/Q708002,http://www.eoas.info/biogs/P000663b,http://adb.anu.edu.au/biography/mueller-sir-ferdinand-jakob-heinrich-von-4266
65,Foreman,D.B.,Don,"Foreman, D.B.",2036,"Foreman, D.B.","Foreman, D.",0.884,1.0,http://www.wikidata.org/entity/Q18984668,Donald Foreman,Foreman,D.,"Foreman, D.",,91467425,0000 0000 6782 9631,49657,2823-1,Foreman,,,,1945.0,2004.0,,,http://www.wikidata.org/wiki/Q18984668,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=49657,https://www.ipni.org/a/2823-1,,,
4,Maslin,B.R.,Bruce,"Maslin, B.R.",21100,"Maslin, B.R.","Maslin, B.",0.874,1.0,http://www.wikidata.org/entity/Q2926444,Bruce Maslin,Maslin,B.,"Maslin, B.",,94978723,0000 0000 6608 3807,5215.0,6190-1,Maslin,,P005560b,,1946.0,,,,http://www.wikidata.org/wiki/Q2926444,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5215,https://www.ipni.org/a/6190-1,,http://www.eoas.info/biogs/P005560b,
115,Bates,R.,,"Bates, R.",1264,"Bates, R.","Bates, R.J.",0.871,1.0,http://www.wikidata.org/entity/Q6109468,Robert J. Bates,Bates,R.J.,"Bates, R.J.",,,,65346,13250-1,R.J.Bates,,,,1946.0,,,,http://www.wikidata.org/wiki/Q6109468,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=65346,https://www.ipni.org/a/13250-1,,,
132,Simmons,M.H.,,"Simmons, M.H.",1113,"Simmons, M.H.","Simmons, M.P.",0.867,1.0,http://www.wikidata.org/entity/Q19002124,Mark P. Simmons,Simmons,M.P.,"Simmons, M.P.",,,,,37726-1,M.P.Simmons,,,,,,,,http://www.wikidata.org/wiki/Q19002124,,,https://www.ipni.org/a/37726-1,,,
17,Short,P.S.,Phillip,"Short, P.S.",6395,"Short, P.S.","Short, P.",0.866,1.0,http://www.wikidata.org/entity/Q5814766,Philip Short,Short,P.,"Short, P.",,,,,14568-1,P.S.Short,,,,1955.0,,,,http://www.wikidata.org/wiki/Q5814766,,,https://www.ipni.org/a/14568-1,,,
66,Randell,B.,,"Randell, B.",2026,"Randell, B.","Randell, B.R.",0.861,1.0,http://www.wikidata.org/entity/Q13432598,Barbara Rae Randell,Randell,B.R.,"Randell, B.R.",,,,,25305-1,Randell,,,,1942.0,,,,http://www.wikidata.org/wiki/Q13432598,,,https://www.ipni.org/a/25305-1,,,
31,Bean,A.R.,Tony,"Bean, A.R.",4111,"Bean, A.R.","Bean, A.",0.849,1.0,http://www.wikidata.org/entity/Q4772089,Anthony Bean,Bean,A.,"Bean, A.",,,,29229.0,35385-1,A.R.Bean,,P005122b,,1957.0,,,,http://www.wikidata.org/wiki/Q4772089,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=29229,https://www.ipni.org/a/35385-1,,http://www.eoas.info/biogs/P005122b,
109,Henderson,R.J.F.,,"Henderson, R.J.F.",1400,"Henderson, R.J.F.","Henderson, R.",0.84,1.0,http://www.wikidata.org/entity/Q5943219,Rodney Henderson,Henderson,R.,"Henderson, R.",,,,,12468-1,R.J.F.Hend.,,,,1938.0,,,,http://www.wikidata.org/wiki/Q5943219,,,https://www.ipni.org/a/12468-1,,,
36,Lander,N.S.,Nicholas,"Lander, N.S.",3162,"Lander, N.S.","Lander, N.",0.824,1.0,http://www.wikidata.org/entity/Q21388272,Nicholas Lander,Lander,N.,"Lander, N.",,,,,5246-1,Lander,,,,1948.0,,,,http://www.wikidata.org/wiki/Q21388272,,,https://www.ipni.org/a/5246-1,,,
73,Ralston,K.,,"Ralston, K.",1869,"Ralston, K.","Ralston, E.M.",0.816,1.0,http://www.wikidata.org/entity/Q22811110,Edith Marion Ralston,Ralston,E.M.,"Ralston, E.M.",,,,,,,,,ralston-edith-marion-11480,1894.0,1967.0,,,http://www.wikidata.org/wiki/Q22811110,,,,,,http://adb.anu.edu.au/biography/ralston-edith-marion-11480
44,Conn,B.J.,Barry,"Conn, B.J.",2824,"Conn, B.J.","Conn, B.",0.815,1.0,http://www.wikidata.org/entity/Q21340328,Barry Conn,Conn,B.,"Conn, B.",0000-0001-9832-3809,91424478,,,13263-1,B.J.Conn,,,,1948.0,,,,http://www.wikidata.org/wiki/Q21340328,https://orcid.org/0000-0001-9832-3809,,https://www.ipni.org/a/13263-1,,,
103,Hyland,B.P.M.,,"Hyland, B.P.M.",1429,"Hyland, B.P.M.","Hyland, B.",0.813,1.0,http://www.wikidata.org/entity/Q4893242,Bernard Hyland,Hyland,B.,"Hyland, B.",,,,,4262-1,B.Hyland,,,,1937.0,,,,http://www.wikidata.org/wiki/Q4893242,,,https://www.ipni.org/a/4262-1,,,
20,Aston,H.I.,Helen,"Aston, H.I.",5470,"Aston, H.I.","Aston, H.",0.805,1.0,http://www.wikidata.org/entity/Q21393448,Helen Aston,Aston,H.,"Aston, H.",,45910872,0000 0000 3357 188X,73165.0,13241-1,Aston,,,,1934.0,,,,http://www.wikidata.org/wiki/Q21393448,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=73165,https://www.ipni.org/a/13241-1,,,
56,May,T.W.,Tom,"May, T.W.",2264,"May, T.W.","May, T.",0.784,1.0,http://www.wikidata.org/entity/Q7816746,Tom May,May,T.,"May, T.",,20153361270537390717,,,20003451-1,T.W.May,,,,,,,,http://www.wikidata.org/wiki/Q7816746,,,https://www.ipni.org/a/20003451-1,,,
19,Orchard,A.E.,Tony,"Orchard, A.E.",5571,"Orchard, A.E.","Orchard, R.",0.778,1.0,http://www.wikidata.org/entity/Q7328187,Richard Orchard,Orchard,R.,"Orchard, R.",,,,,,,,,orchard-richard-beaumont-7912,1871.0,1942.0,,,http://www.wikidata.org/wiki/Q7328187,,,,,,http://adb.anu.edu.au/biography/orchard-richard-beaumont-7912
136,Hummel,D.A.,David,"Hummel, D.A.",1058,"Hummel, D.A.","Hummel, E.",0.768,1.0,http://www.wikidata.org/entity/Q26714675,Eric Hummel,Hummel,E.,"Hummel, E.",,,,,40059-1,E.Hummel,,,,,,,,http://www.wikidata.org/wiki/Q26714675,,,https://www.ipni.org/a/40059-1,,,
46,Thies,A.W.,Arthur,"Thies, A.W.",2761,"Thies, A.W.","Thies, D.",0.724,1.0,http://www.wikidata.org/entity/Q21395266,Detlev Thies,Thies,D.,"Thies, D.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21395266,,,,,,
74,Muir,T.B.,,"Muir, T.B.",1856,"Muir, T.B.","Muir, J.",0.724,3.0,http://www.wikidata.org/entity/Q379580,John Muir,Muir,J.,"Muir, J.",,68933311,0000 0001 2137 9847,24268.0,6757-1,J.Muir,Q379580,,,1838.0,1914.0,,,http://www.wikidata.org/wiki/Q379580,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=24268,https://www.ipni.org/a/6757-1,https://bloodhound-tracker.net/Q379580,,
75,Muir,T.B.,,"Muir, T.B.",1856,"Muir, T.B.","Muir, J.",0.724,3.0,http://www.wikidata.org/entity/Q1701160,John Muir,Muir,J.,"Muir, J.",,25755593,0000 0000 4321 0842,,20009120-1,John Muir,Q1701160,,,1874.0,1947.0,,,http://www.wikidata.org/wiki/Q1701160,,,https://www.ipni.org/a/20009120-1,https://bloodhound-tracker.net/Q1701160,,
76,Muir,T.B.,,"Muir, T.B.",1856,"Muir, T.B.","Muir, J.",0.724,3.0,http://www.wikidata.org/entity/Q64788212,Jock Muir,Muir,J.,"Muir, J.",,,,,,,,,muir-ernest-jack-jock-27598,1914.0,1995.0,,,http://www.wikidata.org/wiki/Q64788212,,,,,,http://adb.anu.edu.au/biography/muir-ernest-jack-jock-27598
104,Clarke,I.C.,Ian,"Clarke, I.C.",1421,"Clarke, I.C.","Clarke, J.",0.697,4.0,http://www.wikidata.org/entity/Q11728948,Julia Clarke,Clarke,J.,"Clarke, J.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q11728948,,,,,,
105,Clarke,I.C.,Ian,"Clarke, I.C.",1421,"Clarke, I.C.","Clarke, J.",0.697,4.0,http://www.wikidata.org/entity/Q18529981,Janet Clarke,Clarke,J.,"Clarke, J.",,,,,,,,,clarke-janet-marion-3224,1851.0,1909.0,,,http://www.wikidata.org/wiki/Q18529981,,,,,,http://adb.anu.edu.au/biography/clarke-janet-marion-3224
106,Clarke,I.C.,Ian,"Clarke, I.C.",1421,"Clarke, I.C.","Clarke, J.",0.697,4.0,http://www.wikidata.org/entity/Q20203604,John Clarke,Clarke,J.,"Clarke, J.",,3391148390832210830008,,,,,,,clarke-john-3341,1846.0,1867.0,,,http://www.wikidata.org/wiki/Q20203604,,,,,,http://adb.anu.edu.au/biography/clarke-john-3341
107,Clarke,I.C.,Ian,"Clarke, I.C.",1421,"Clarke, I.C.","Clarke, J.",0.697,4.0,http://www.wikidata.org/entity/Q24205039,Joseph Clarke,Clarke,J.,"Clarke, J.",,,,,,,,,clarke-joseph-3342,1834.0,1895.0,,,http://www.wikidata.org/wiki/Q24205039,,,,,,http://adb.anu.edu.au/biography/clarke-joseph-3342
6,Brooker,M.I.H.,,"Brooker, M.I.H.",20371,"Brooker, M.I.H.","Brooker, E.",0.674,1.0,http://www.wikidata.org/entity/Q3048465,Edward Brooker,Brooker,E.,"Brooker, E.",,,,,,,,,brooker-william-edward-9590,1891.0,1948.0,,,http://www.wikidata.org/wiki/Q3048465,,,,,,http://adb.anu.edu.au/biography/brooker-william-edward-9590
94,Jolley,H.M.,Helen,"Jolley, H.M.",1486,"Jolley, H.M.","Holley, H.",0.641,1.0,http://www.wikidata.org/entity/Q5901877,Horace Holley,Holley,H.,"Holley, H.",,33569318,0000 0000 3095 5394,,,,,,,1781.0,1827.0,,,http://www.wikidata.org/wiki/Q5901877,,,,,,
118,Vollebergh,P.J.,,"Vollebergh, P.J.",1212,"Vollebergh, P.J.","Bergh, P.J.v.d.",0.558,1.0,http://www.wikidata.org/entity/Q55016623,Pieter Johannes van den Bergh,Bergh,P.J.v.d.,"Bergh, P.J.v.d.",,60376551,,,,,,,,1873.0,1930.0,,,http://www.wikidata.org/wiki/Q55016623,,,,,,
14,Karunajeewa,N.G.,Nimal,"Karunajeewa, N.G.",8022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
