,family_name,initials_x,given_names,name,num_det,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
53,Barrett,R.L.,Russell,"Barrett, R.L.",2372,"Barrett, R.L.","Barrett, R.L.",1.0,1.0,http://www.wikidata.org/entity/Q18982878,Russell Lindsay Barrett,Barrett,R.L.,"Barrett, R.L.",0000-0003-0360-8321,,,,38718-1,R.L.Barrett,,,,1977.0,,,,http://www.wikidata.org/wiki/Q18982878,https://orcid.org/0000-0003-0360-8321,,https://www.ipni.org/a/38718-1,,,
54,Munir,A.A.,,"Munir, A.A.",2325,"Munir, A.A.","Munir, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q21521892,Ahmad Abid Munir,Munir,A.A.,"Munir, A.A.",,,,,6780-1,Munir,,,,1936.0,,,,http://www.wikidata.org/wiki/Q21521892,,,https://www.ipni.org/a/6780-1,,,
55,Walters,N.E.M.,,"Walters, N.E.M.",2272,"Walters, N.E.M.","Walters, N.E.M.",1.0,1.0,http://www.wikidata.org/entity/Q21612108,Neville E.M. Walters,Walters,N.E.M.,"Walters, N.E.M.",,,,,28531-1,N.Walters,,,,1916.0,2004.0,,,http://www.wikidata.org/wiki/Q21612108,,,https://www.ipni.org/a/28531-1,,,
61,Filson,R.B.,Rex,"Filson, R.B.",2183,"Filson, R.B.","Filson, R.B.",1.0,1.0,http://www.wikidata.org/entity/Q21339388,Rex Bertram Filson,Filson,R.B.,"Filson, R.B.",,,,76762,18803-1,Filson,,P002347b,,1930.0,,,,http://www.wikidata.org/wiki/Q21339388,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=76762,https://www.ipni.org/a/18803-1,,http://www.eoas.info/biogs/P002347b,
62,Gebert,W.A.,Wayne,"Gebert, W.A.",2183,"Gebert, W.A.","Gebert, W.A.",1.0,1.0,http://www.wikidata.org/entity/Q21513843,Wayne Ashley Gebert,Gebert,W.A.,"Gebert, W.A.",,,,,20014240-1,Gebert,,,,1976.0,,,,http://www.wikidata.org/wiki/Q21513843,,,https://www.ipni.org/a/20014240-1,,,
63,Adams,L.G.,Laurie,"Adams, L.G.",2118,"Adams, L.G.","Adams, L.G.",1.0,1.0,http://www.wikidata.org/entity/Q10316562,Laurence George Adams,Adams,L.G.,"Adams, L.G.",,,,,12081-1,L.G.Adams,,P005518b,,1929.0,2014.0,,,http://www.wikidata.org/wiki/Q10316562,,,https://www.ipni.org/a/12081-1,,http://www.eoas.info/biogs/P005518b,
64,Downing,T.L.,Trisha,"Downing, T.L.",2058,"Downing, T.L.","Downing, T.L.",1.0,1.0,http://www.wikidata.org/entity/Q26714305,Trisha L. Downing,Downing,T.L.,"Downing, T.L.",,,,,20003806-2,Downing,,,,,,,,http://www.wikidata.org/wiki/Q26714305,,,https://www.ipni.org/a/20003806-2,,,
67,Hewson,H.J.,,"Hewson, H.J.",2017,"Hewson, H.J.","Hewson, H.J.",1.0,1.0,http://www.wikidata.org/entity/Q21515774,Helen Joan Hewson,Hewson,H.J.,"Hewson, H.J.",,7566901,0000 0000 6308 5794,74241,20269-1,Hewson,,P005556b,,1938.0,2007.0,,,http://www.wikidata.org/wiki/Q21515774,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74241,https://www.ipni.org/a/20269-1,,http://www.eoas.info/biogs/P005556b,
69,Albrecht,D.E.,David,"Albrecht, D.E.",1984,"Albrecht, D.E.","Albrecht, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q8354093,David Edward Albrecht,Albrecht,D.E.,"Albrecht, D.E.",,4256153184549027100009,,60179,14172-1,Albr.,,P005243b,,1962.0,,,,http://www.wikidata.org/wiki/Q8354093,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60179,https://www.ipni.org/a/14172-1,,http://www.eoas.info/biogs/P005243b,
70,Holland,A.E.,,"Holland, A.E.",1948,"Holland, A.E.","Holland, A.E.",1.0,1.0,http://www.wikidata.org/entity/Q26712197,Ailsa E. Holland,Holland,A.E.,"Holland, A.E.",,,,,35913-1,A.E.Holland,,,,,,,,http://www.wikidata.org/wiki/Q26712197,,,https://www.ipni.org/a/35913-1,,,
71,Lepschi,B.J.,Brendan,"Lepschi, B.J.",1943,"Lepschi, B.J.","Lepschi, B.J.",1.0,1.0,http://www.wikidata.org/entity/Q5733654,Brendan John Lepschi,Lepschi,B.J.,"Lepschi, B.J.",,,,39693.0,36824-1,Lepschi,,,,1969.0,,,,http://www.wikidata.org/wiki/Q5733654,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=39693,https://www.ipni.org/a/36824-1,,,
77,Lazarides,M.,Mike,"Lazarides, M.",1835,"Lazarides, M.","Lazarides, M.",1.0,1.0,http://www.wikidata.org/entity/Q6012831,Michael Lazarides,Lazarides,M.,"Lazarides, M.",,,,38062,5361-1,Lazarides,Q6012831,P005675b,,1928.0,2011.0,,,http://www.wikidata.org/wiki/Q6012831,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38062,https://www.ipni.org/a/5361-1,https://bloodhound-tracker.net/Q6012831,http://www.eoas.info/biogs/P005675b,
78,Thompson,I.,,"Thompson, I.",1815,"Thompson, I.","Thompson, I.",1.0,1.0,http://www.wikidata.org/entity/Q21394256,Ida Thompson,Thompson,I.,"Thompson, I.",,39483460,0000 0000 7362 2004,,,,,,,1950.0,,,,http://www.wikidata.org/wiki/Q21394256,,,,,,
79,Bennett,E.M.,Eleanor,"Bennett, E.M.",1773,"Bennett, E.M.","Bennett, E.M.",1.0,1.0,http://www.wikidata.org/entity/Q20155122,Eleanor Marion Bennett,Bennett,E.M.,"Bennett, E.M.",,286049057,,11296.0,12344-1,E.M.Benn.,,,,1942.0,,,,http://www.wikidata.org/wiki/Q20155122,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11296,https://www.ipni.org/a/12344-1,,,
80,Carr,G.W.,Geoff,"Carr, G.W.",1748,"Carr, G.W.","Carr, G.W.",1.0,1.0,http://www.wikidata.org/entity/Q3281577,Geoffrey William Carr,Carr,G.W.,"Carr, G.W.",,,,,13236-1,G.W.Carr,,,,1948.0,,,,http://www.wikidata.org/wiki/Q3281577,,,https://www.ipni.org/a/13236-1,,,
81,Lebel,T.,Teresa,"Lebel, T.",1741,"Lebel, T.","Lebel, T.",1.0,1.0,http://www.wikidata.org/entity/Q6142582,Teresa Lebel,Lebel,T.,"Lebel, T.",0000-0002-8592-1102,,,,20002421-1,T.Lebel,,,,1974.0,,,,http://www.wikidata.org/wiki/Q6142582,https://orcid.org/0000-0002-8592-1102,,https://www.ipni.org/a/20002421-1,,,
82,Rye,B.L.,Barbara,"Rye, B.L.",1691,"Rye, B.L.","Rye, B.L.",1.0,1.0,http://www.wikidata.org/entity/Q5719316,Barbara Lynette Rye,Rye,B.L.,"Rye, B.L.",,,,14813.0,14929-1,Rye,,,,1952.0,,,,http://www.wikidata.org/wiki/Q5719316,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=14813,https://www.ipni.org/a/14929-1,,,
