,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
2,PLZGE,Pilz G.E.,Pilz,George,E.,"Pilz, G.E.","Pilz, G.E.","Pilz, G.E.",1.0,1.0,http://www.wikidata.org/entity/Q21389330,George Edmund Pilz,Pilz,G.E.,"Pilz, G.E.",,,,33538,24871-1,Pilz,,,,1942.0,2017.0,,,http://www.wikidata.org/wiki/Q21389330,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33538,https://www.ipni.org/a/24871-1,,,
8,D121,Debeaux O.,Debeaux,Jean,Odon,"Debeaux, J.O.","Debeaux, J.O.","Debeaux, J.O.",1.0,1.0,http://www.wikidata.org/entity/Q3173773,Jean Odon Debeaux,Debeaux,J.O.,"Debeaux, J.O.",,41829859,0000 0000 5488 1481,2705.0,2058-1,Debeaux,,,,1826.0,1910.0,,,http://www.wikidata.org/wiki/Q3173773,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2705,https://www.ipni.org/a/2058-1,,,
21,MLLNG,Miller N.G.,Miller,Norton,George,"Miller, N.G.","Miller, N.G.","Miller, N.G.",1.0,1.0,http://www.wikidata.org/entity/Q21521514,Norton George Miller,Miller,N.G.,"Miller, N.G.",,18763999,,72759,23405-1,N.G.Mill.,,,,1942.0,2011.0,,,http://www.wikidata.org/wiki/Q21521514,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72759,https://www.ipni.org/a/23405-1,,,
24,MEIKR,Meikle R.D.,Meikle,Robert,Desmond,"Meikle, R.D.","Meikle, R.D.","Meikle, R.D.",1.0,1.0,http://www.wikidata.org/entity/Q1309063,Robert Desmond Meikle,Meikle,R.D.,"Meikle, R.D.",,51491473,0000 0001 1641 1689,20194.0,6316-1,Meikle,,,,1923.0,,,,http://www.wikidata.org/wiki/Q1309063,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20194,https://www.ipni.org/a/6316-1,,,
46,L952,Laurer J.F.,Laurer,Johann,Friedrich,"Laurer, J.F.","Laurer, J.F.","Laurer, J.F.",1.0,1.0,http://www.wikidata.org/entity/Q21341241,Johann Friedrich Laurer,Laurer,J.F.,"Laurer, J.F.",,42619585,0000 0001 0966 6683,11656,5328-1,Laurer,,,,1798.0,1873.0,,,http://www.wikidata.org/wiki/Q21341241,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11656,https://www.ipni.org/a/5328-1,,,
68,MACDW,MacDonald W.,MacDonald,W.,,"MacDonald, W.n.","MacDonald, W.n.","Macdonald, W.N.",1.0,1.0,http://www.wikidata.org/entity/Q21539558,William Neil Macdonald,Macdonald,W.N.,"Macdonald, W.N.",,,,,,,,,macdonald-william-neil-4431,1860.0,1910.0,,,http://www.wikidata.org/wiki/Q21539558,,,,,,http://adb.anu.edu.au/biography/macdonald-william-neil-4431
73,BLSAA,Balsinhas A.A.,Balsinhas,Aurélio,Antero,"Balsinhas, A.A.","Balsinhas, A.A.","Balsinhas, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q66057650,Aurélio Antero Balsinhas,Balsinhas,A.A.,"Balsinhas, A.A.",,,,38761,,,,,,1928.0,,,,http://www.wikidata.org/wiki/Q66057650,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38761,,,,
79,JACON,Jacobsen Niels,Jacobsen,Niels,Henning Günther,"Jacobsen, N.H.G.","Jacobsen, N.H.G.","Jacobsen, N.H.G.",1.0,1.0,http://www.wikidata.org/entity/Q21390810,Niels Henning Günther Jacobsen,Jacobsen,N.H.G.,"Jacobsen, N.H.G.",,,,,14409-1,N.H.G.Jacobsen,,,,1941.0,,,,http://www.wikidata.org/wiki/Q21390810,,,https://www.ipni.org/a/14409-1,,,
95,B113,Brenckle J.F.,Brenckle,Jacob,Frederic,"Brenckle, J.F.","Brenckle, J.F.","Brenckle, J.F.",1.0,1.0,http://www.wikidata.org/entity/Q21506463,Jacob Frederic(k) Brenckle,Brenckle,J.F.,"Brenckle, J.F.",,,,1856,1119-1,Brenckle,,,,1875.0,1958.0,,,http://www.wikidata.org/wiki/Q21506463,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1856,https://www.ipni.org/a/1119-1,,,
100,ROBGE,Roberty G.E.,Roberty,Guy,Edouard,"Roberty, G.E.","Roberty, G.E.","Roberty, G.E.",1.0,1.0,http://www.wikidata.org/entity/Q3122109,Guy Edouard Roberty,Roberty,G.E.,"Roberty, G.E.",,75802463,0000 0000 3951 8385,5102.0,8449-1,Roberty,,,,1907.0,1971.0,,,http://www.wikidata.org/wiki/Q3122109,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5102,https://www.ipni.org/a/8449-1,,,
104,S878,L.J. Sedgwick,Sedgwick,Leonard,John,"Sedgwick, L.J.","Sedgwick, L.J.","Sedgwick, L.J.",1.0,1.0,http://www.wikidata.org/entity/Q19001925,Leonard John Sedgwick,Sedgwick,L.J.,"Sedgwick, L.J.",,,,3683,12267-1,Sedgw.,,,,1883.0,1925.0,,,http://www.wikidata.org/wiki/Q19001925,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=3683,https://www.ipni.org/a/12267-1,,,
114,L201,Leresche L.,Leresche,Louis,François Jules Rodolphe,"Leresche, L.F.J.R.","Leresche, L.F.J.R.","Leresche, L.F.J.R.",1.0,1.0,http://www.wikidata.org/entity/Q4273123,Louis François Jules Rodolphe Leresche,Leresche,L.F.J.R.,"Leresche, L.F.J.R.",,,,48754.0,5496-1,Leresche,,,,1808.0,1885.0,,,http://www.wikidata.org/wiki/Q4273123,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48754,https://www.ipni.org/a/5496-1,,,
129,GUILJ1,Guillemin J.B.A.,Guillemin,Jean,Baptiste Antoine,"Guillemin, J.B.A.","Guillemin, J.B.A.","Guillemin, J.B.A.",1.0,1.0,http://www.wikidata.org/entity/Q532500,Jean Baptiste Antoine Guillemin,Guillemin,J.B.A.,"Guillemin, J.B.A.",,5695468,0000 0001 0776 5493,1652.0,3466-1,Guill.,,,,1796.0,1842.0,,,http://www.wikidata.org/wiki/Q532500,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1652,https://www.ipni.org/a/3466-1,,,
137,ARCHE,Archibald E.,Archibald,Eily,Edith Agnes,"Archibald, E.E.A.","Archibald, E.E.A.","Archibald, E.E.A.",1.0,1.0,http://www.wikidata.org/entity/Q13233413,Eily Edith Agnes Archibald,Archibald,E.E.A.,"Archibald, E.E.A.",,,,15268,255-1,Archibald,,,,1914.0,2007.0,,,http://www.wikidata.org/wiki/Q13233413,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=15268,https://www.ipni.org/a/255-1,,,
142,BOSJ,Bos J.J.,Bos,Jan,Justus,"Bos, J.J.","Bos, J.J.","Bos, J.J.",1.0,1.0,http://www.wikidata.org/entity/Q2007313,Jan Just Bos,Bos,J.J.,"Bos, J.J.",,164208142,0000 0001 1716 7323,3083.0,1003-1,Bos,,,,1939.0,2003.0,,,http://www.wikidata.org/wiki/Q2007313,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=3083,https://www.ipni.org/a/1003-1,,,
149,REINJ,Rein J.J.,Rein,Johannes,Justus,"Rein, J.J.","Rein, J.J.","Rein, J.J.",1.0,1.0,http://www.wikidata.org/entity/Q87900,Johannes Justus Rein,Rein,J.J.,"Rein, J.J.",,14917475,0000 0000 8359 2443,8458.0,8263-1,Rein,,,,1835.0,1918.0,,,http://www.wikidata.org/wiki/Q87900,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8458,https://www.ipni.org/a/8263-1,,,
157,BACKC,Backer C.A.,Backer,Cornelis,Andries,"Backer, C.A.","Backer, C.A.","Backer, C.A.",1.0,1.0,http://www.wikidata.org/entity/Q5788624,Cornelis Andries Backer,Backer,C.A.,"Backer, C.A.",,93403430,0000 0001 1495 3839,500.0,369-1,Backer,,,,1874.0,1963.0,,,http://www.wikidata.org/wiki/Q5788624,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=500,https://www.ipni.org/a/369-1,,,
166,BRUMR,Brummitt R.,Brummitt,Richard,Kenneth,"Brummitt, R.K.","Brummitt, R.K.","Brummitt, R.K.",1.0,1.0,http://www.wikidata.org/entity/Q372403,R.K. Brummitt,Brummitt,R.K.,"Brummitt, R.K.",,41921927,0000 0000 5490 2166,429.0,1221-1,Brummitt,,,,1937.0,2013.0,,,http://www.wikidata.org/wiki/Q372403,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=429,https://www.ipni.org/a/1221-1,,,
183,KRGGJ,Krieglsteiner G.,Krieglsteiner,German,Joseph,"Krieglsteiner, G.J.","Krieglsteiner, G.J.","Krieglsteiner, G.J.",1.0,1.0,http://www.wikidata.org/entity/Q1513934,German Josef Krieglsteiner,Krieglsteiner,G.J.,"Krieglsteiner, G.J.",,3267570,0000 0001 1035 7861,,21751-1,Krieglst.,,,,1937.0,2001.0,,,http://www.wikidata.org/wiki/Q1513934,,,https://www.ipni.org/a/21751-1,,,
185,SLEUH,Sleumer H.,Sleumer,Hermann,Otto,"Sleumer, H.O.","Sleumer, H.O.","Sleumer, H.O.",1.0,1.0,http://www.wikidata.org/entity/Q73160,Hermann Otto Sleumer,Sleumer,H.O.,"Sleumer, H.O.",,64094401,0000 0000 8143 3422,11593.0,9742-1,Sleumer,Q73160,,,1906.0,1993.0,,,http://www.wikidata.org/wiki/Q73160,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11593,https://www.ipni.org/a/9742-1,https://bloodhound-tracker.net/Q73160,,
187,LOSAQ,Losa Quintana J.,Losa Quintana,José,María,"Losa Quintana, J.M.","Losa Quintana, J.M.","Losa-Quintana, J.M.",1.0,1.0,http://www.wikidata.org/entity/Q36593777,José Maria Losa-Quintana,Losa-Quintana,J.M.,"Losa-Quintana, J.M.",,,,,22548-1,J.M.Losa,,,,,,,,http://www.wikidata.org/wiki/Q36593777,,,https://www.ipni.org/a/22548-1,,,
191,C009,Cleland J.B.,Cleland,John,Burton,"Cleland, J.B.","Cleland, J.B.","Cleland, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q4223546,John Burton Cleland,Cleland,J.B.,"Cleland, J.B.",,77785771,0000 0000 8271 8227,8608.0,17304-1,Cleland,,P000313b,cleland-sir-john-burton-5679,1878.0,1971.0,,,http://www.wikidata.org/wiki/Q4223546,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8608,https://www.ipni.org/a/17304-1,,http://www.eoas.info/biogs/P000313b,http://adb.anu.edu.au/biography/cleland-sir-john-burton-5679
204,FRAN1,Frank J.C.,Frank,Joseph,C.,"Frank, J.C.","Frank, J.C.","Frank, J.C.",1.0,1.0,http://www.wikidata.org/entity/Q21513475,Joseph C. Frank,Frank,J.C.,"Frank, J.C.",,,,12134,2876-1,Frank,,,,1782.0,1835.0,,,http://www.wikidata.org/wiki/Q21513475,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=12134,https://www.ipni.org/a/2876-1,,,
212,DBCDG,Debouck D.G.,Debouck,Daniel,Gabriel,"Debouck, D.G.","Debouck, D.G.","Debouck, D.G.",1.0,1.0,http://www.wikidata.org/entity/Q5798357,Daniel Gabriel Debouck,Debouck,D.G.,"Debouck, D.G.",,,,82093,17874-1,Debouck,,,,1952.0,,,,http://www.wikidata.org/wiki/Q5798357,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=82093,https://www.ipni.org/a/17874-1,,,
215,P068,Pazschke O.,Pazschke,Franz,Otto,"Pazschke, F.O.","Pazschke, F.O.","Pazschke, F.O.",1.0,1.0,http://www.wikidata.org/entity/Q21522730,Franz Otto Pazschke,Pazschke,F.O.,"Pazschke, F.O.",,,,2034,24663-1,Pazschke,,,,1843.0,1922.0,,,http://www.wikidata.org/wiki/Q21522730,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2034,https://www.ipni.org/a/24663-1,,,
222,H019,Holland P.C.,Holland,Peter,Charles,"Holland, P.C.","Holland, P.C.","Holland, P.C.",1.0,1.0,http://www.wikidata.org/entity/Q21515962,Peter Charles Holland,Holland,P.C.,"Holland, P.C.",,,,,20403-1,P.C.Holland,,,,1927.0,2012.0,,,http://www.wikidata.org/wiki/Q21515962,,,https://www.ipni.org/a/20403-1,,,
234,K016,Kowalski D.T.,Kowalski,Donald,T.,"Kowalski, D.T.","Kowalski, D.T.","Kowalski, D.T.",1.0,1.0,http://www.wikidata.org/entity/Q21517859,Donald T. Kowalski,Kowalski,D.T.,"Kowalski, D.T.",,,,,21687-1,Kowalski,,,,1938.0,,,,http://www.wikidata.org/wiki/Q21517859,,,https://www.ipni.org/a/21687-1,,,
237,ORPHT,Orphanides T.G.,Orphanides,Theodorus,Georgios,"Orphanides, T.G.","Orphanides, T.G.","Orphanides, T.G.",1.0,1.0,http://www.wikidata.org/entity/Q712566,Theodoros Georgios Orphanides,Orphanides,T.G.,"Orphanides, T.G.",,5841002,0000 0000 6139 8615,18407.0,7167-1,Orph.,,,,1817.0,1886.0,,,http://www.wikidata.org/wiki/Q712566,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18407,https://www.ipni.org/a/7167-1,,,
238,DUCOJ,Ducommun J.C.,Ducommun,Jules,César,"Ducommun, J.C.","Ducommun, J.C.","Ducommun, J.C.",1.0,1.0,http://www.wikidata.org/entity/Q3188337,Jules César Ducommun,Ducommun,J.C.,"Ducommun, J.C.",,172363790,0000 0003 5594 1257,40881.0,2349-1,Ducommun,,,,1829.0,1892.0,,,http://www.wikidata.org/wiki/Q3188337,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40881,https://www.ipni.org/a/2349-1,,,
273,S999,Schaerer L.E.,Schaerer,Ludwig,Emanuel,"Schaerer, L.E.","Schaerer, L.E.","Schaerer, L.E.",1.0,1.0,http://www.wikidata.org/entity/Q6096135,Ludwig Emanuel Schaerer,Schaerer,L.E.,"Schaerer, L.E.",,32344536,0000 0000 8369 8483,2817.0,9008-1,Schaer.,,,,1785.0,1853.0,,,http://www.wikidata.org/wiki/Q6096135,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2817,https://www.ipni.org/a/9008-1,,,
274,FRYDAY,Fryday A. M.,Fryday,A.,M.,"Fryday, A.M.","Fryday, A.M.","Fryday, A.M.",1.0,1.0,http://www.wikidata.org/entity/Q21339181,Alan Michael Fryday,Fryday,A.M.,"Fryday, A.M.",,,,5166,20001005-1,Fryday,,,,1948.0,,,,http://www.wikidata.org/wiki/Q21339181,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5166,https://www.ipni.org/a/20001005-1,,,
303,R028,Ravenel H.W.,Ravenel,Henry,William,"Ravenel, H.W.","Ravenel, H.W.","Ravenel, H.W.",1.0,1.0,http://www.wikidata.org/entity/Q3127757,Henry William Ravenel,Ravenel,H.W.,"Ravenel, H.W.",,30320203,0000 0000 2463 4869,2029.0,8179-1,Ravenel,,,,1814.0,1887.0,,,http://www.wikidata.org/wiki/Q3127757,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2029,https://www.ipni.org/a/8179-1,,,
327,K092,Kruijt R.Ch.,Kruijt,R.,Ch.,"Kruijt, R.C.","Kruijt, R.C.","Kruijt, R.C.",1.0,1.0,http://www.wikidata.org/entity/Q6109407,Robert C. Kruijt,Kruijt,R.C.,"Kruijt, R.C.",,,,62509,37406-1,Kruijt,,,,1966.0,,,,http://www.wikidata.org/wiki/Q6109407,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=62509,https://www.ipni.org/a/37406-1,,,
338,PHIPJ,Phipps J.B.,Phipps,James,Bird,"Phipps, J.B.","Phipps, J.B.","Phipps, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q5925683,James Bird Phipps,Phipps,J.B.,"Phipps, J.B.",,,,9287,7651-1,J.B.Phipps,,,,1934.0,,,,http://www.wikidata.org/wiki/Q5925683,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=9287,https://www.ipni.org/a/7651-1,,,
364,T037,Trappe J.M.,Trappe,James,Martin,"Trappe, J.M.","Trappe, J.M.","Trappe, J.M.",1.0,1.0,http://www.wikidata.org/entity/Q21610934,James M. Trappe,Trappe,J.M.,"Trappe, J.M.",,,,,10791-1,Trappe,,,,1931.0,,,,http://www.wikidata.org/wiki/Q21610934,,,https://www.ipni.org/a/10791-1,,,
375,DRUCG,Druce G.C.,Druce,George,Claridge,"Druce, G.C.","Druce, G.C.","Druce, G.C.",1.0,1.0,http://www.wikidata.org/entity/Q601969,George Claridge Druce,Druce,G.C.,"Druce, G.C.",,43790173,0000 0001 1760 4220,545.0,2321-1,Druce,,,,1850.0,1932.0,,,http://www.wikidata.org/wiki/Q601969,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=545,https://www.ipni.org/a/2321-1,,,
376,KHARS,Kharkevich S.,Kharkevich,Sigismund,Semenovich,"Kharkevich, S.S.","Kharkevich, S.S.","Kharkevich, S.S.",1.0,1.0,http://www.wikidata.org/entity/Q9392812,Sigismund Semenovich Kharkevich,Kharkevich,S.S.,"Kharkevich, S.S.",,61828841,0000 0001 1655 8525,78953,1537-1,Kharkev.,,,,1921.0,1988.0,,,http://www.wikidata.org/wiki/Q9392812,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=78953,https://www.ipni.org/a/1537-1,,,
384,P112,Palmer J.T.,Palmer,James,Terence,"Palmer, J.T.","Palmer, J.T.","Palmer, J.T.",1.0,1.0,http://www.wikidata.org/entity/Q21522571,James Terence Palmer,Palmer,J.T.,"Palmer, J.T.",,,,,24489-1,J.T.Palmer,,,,1923.0,,,,http://www.wikidata.org/wiki/Q21522571,,,https://www.ipni.org/a/24489-1,,,
396,MURRD,Murray D.P.,Murray,Desmond,Patrick,"Murray, D.P.","Murray, D.P.","Murray, D.P.",1.0,1.0,http://www.wikidata.org/entity/Q21502998,Desmond P. Murray,Murray,D.P.,"Murray, D.P.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21502998,,,,,,
415,KILLD,Killick D.,Killick,Donald,Joseph Boomer,"Killick, D.J.B.","Killick, D.J.B.","Killick, D.J.B.",1.0,1.0,http://www.wikidata.org/entity/Q5813316,Donald Joseph Boomer Killick,Killick,D.J.B.,"Killick, D.J.B.",,633145858161123022472,,17398,4789-1,Killick,,,,1926.0,2008.0,,,http://www.wikidata.org/wiki/Q5813316,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17398,https://www.ipni.org/a/4789-1,,,
445,MOGGA,Mogg A.O.D.,Mogg,Albert,Oliver Dean,"Mogg, A.O.D.","Mogg, A.O.D.","Mogg, A.O.D.",1.0,1.0,http://www.wikidata.org/entity/Q21521603,Albert Oliver Dean Mogg,Mogg,A.O.D.,"Mogg, A.O.D.",,,,,37576-1,Mogg,,,,1886.0,1979.0,,,http://www.wikidata.org/wiki/Q21521603,,,https://www.ipni.org/a/37576-1,,,
448,BURTB,Burtt B.D.,Burtt,Bernard,Dearman,"Burtt, B.D.","Burtt, B.D.","Burtt, B.D.",1.0,1.0,http://www.wikidata.org/entity/Q2897760,Bernard Dearman Burtt,Burtt,B.D.,"Burtt, B.D.",,,,11449.0,1314-1,Burtt,,,,1902.0,1938.0,,,http://www.wikidata.org/wiki/Q2897760,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11449,https://www.ipni.org/a/1314-1,,,
451,BRSTW,Brasfield T.W.,Brasfield,Travis,W.,"Brasfield, T.W.","Brasfield, T.W.","Brasfield, T.W.",1.0,1.0,http://www.wikidata.org/entity/Q36686644,Travis W. Brasfield,Brasfield,T.W.,"Brasfield, T.W.",,,,35642,16472-1,Brasf.,,,,,,,,http://www.wikidata.org/wiki/Q36686644,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=35642,https://www.ipni.org/a/16472-1,,,
455,BALLP,Bally P.R.O.,Bally,Peter,René Oscar,"Bally, P.R.O.","Bally, P.R.O.","Bally, P.R.O.",1.0,1.0,http://www.wikidata.org/entity/Q13225111,Peter René Oscar Bally,Bally,P.R.O.,"Bally, P.R.O.",,93044966,0000 0000 6748 459X,31198.0,434-1,P.R.O.Bally,,,,1895.0,1980.0,,,http://www.wikidata.org/wiki/Q13225111,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=31198,https://www.ipni.org/a/434-1,,,
456,ANDRF,Andrews F.W.,Andrews,Frederick,William,"Andrews, F.W.","Andrews, F.W.","Andrews, F.W.",1.0,1.0,http://www.wikidata.org/entity/Q18982550,Frederick William Andrews,Andrews,F.W.,"Andrews, F.W.",,,,,215-1,F.W.Andrews,,,,,1961.0,,,http://www.wikidata.org/wiki/Q18982550,,,https://www.ipni.org/a/215-1,,,
459,SMITP1,Smith P.A.,Smith,Peter,Alexander,"Smith, P.A.","Smith, P.A.","Smith, P.A.",1.0,1.0,http://www.wikidata.org/entity/Q59605807,Paul A. Smith,Smith,P.A.,"Smith, P.A.",,,,,20032914-1,P.A.Sm.,,,,,,,,http://www.wikidata.org/wiki/Q59605807,,,https://www.ipni.org/a/20032914-1,,,
470,E008,Earle F.S.,Earle,Franklin,Summer,"Earle, F.S.","Earle, F.S.","Earle, F.S.",1.0,1.0,http://www.wikidata.org/entity/Q2547765,Franklin Sumner Earle,Earle,F.S.,"Earle, F.S.",,80488899,0000 0000 8274 5671,547.0,18337-1,Earle,,,,1856.0,1929.0,,,http://www.wikidata.org/wiki/Q2547765,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=547,https://www.ipni.org/a/18337-1,,,
494,M089,Moloney C.A.,Moloney,Cornelius,Alfred,"Moloney, C.A.","Moloney, C.A.","Moloney, C.A.",1.0,1.0,http://www.wikidata.org/entity/Q1133716,Cornelius Alfred Moloney,Moloney,C.A.,"Moloney, C.A.",,88381182,,40905.0,12688-1,Moloney,,,,1848.0,1913.0,,,http://www.wikidata.org/wiki/Q1133716,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40905,https://www.ipni.org/a/12688-1,,,
525,T015,Taylor G.M.,Taylor,G.,Marie,"Taylor, G.M.","Taylor, G.M.","Taylor, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q21610300,Grace Marie Taylor,Taylor,G.M.,"Taylor, G.M.",,206203171,0000 0004 3493 3386,,27570-1,G.M.Taylor,,,,1930.0,1999.0,,,http://www.wikidata.org/wiki/Q21610300,,,https://www.ipni.org/a/27570-1,,,
533,CAMPW,Camp W.H.,Camp,Wendel,Holmes,"Camp, W.H.","Camp, W.H.","Camp, W.H.",1.0,1.0,http://www.wikidata.org/entity/Q21506896,Wendell Holmes Camp,Camp,W.H.,"Camp, W.H.",,29164168,0000 0000 4603 3669,32324.0,1374-1,Camp,,,,1904.0,1963.0,,,http://www.wikidata.org/wiki/Q21506896,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=32324,https://www.ipni.org/a/1374-1,,,
538,HOEHF,Hoehne F.C.,Hoehne,Frederico,Carlos,"Hoehne, F.C.","Hoehne, F.C.","Hoehne, F.C.",1.0,1.0,http://www.wikidata.org/entity/Q5499235,Frederico Carlos Hoehne,Hoehne,F.C.,"Hoehne, F.C.",,109936371,0000 0001 1082 3607,2045.0,3999-1,Hoehne,,,,1882.0,1959.0,,,http://www.wikidata.org/wiki/Q5499235,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2045,https://www.ipni.org/a/3999-1,,,
554,SCHWH,Schweickerdt H.G.W.J.,Schweickerdt,Herold,Georg Wilhelm Johannes,"Schweickerdt, H.G.W.J.","Schweickerdt, H.G.W.J.","Schweickerdt, H.G.W.J.",1.0,1.0,http://www.wikidata.org/entity/Q86268,Herold Georg Wilhelm Johannes Schweickerdt,Schweickerdt,H.G.W.J.,"Schweickerdt, H.G.W.J.",,316876614,0000 0000 2395 7527,10929.0,9364-1,Schweick.,,,,1903.0,1977.0,,,http://www.wikidata.org/wiki/Q86268,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10929,https://www.ipni.org/a/9364-1,,,
561,ROTHA,Roth A.W.,Roth,Albrecht,Wihlelm,"Roth, A.W.","Roth, A.W.","Roth, A.W.",1.0,1.0,http://www.wikidata.org/entity/Q64246,Albrecht Wilhelm Roth,Roth,A.W.,"Roth, A.W.",,7816756,0000 0000 8087 4429,239.0,8637-1,Roth,,,,1757.0,1834.0,,,http://www.wikidata.org/wiki/Q64246,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=239,https://www.ipni.org/a/8637-1,,,
567,N734,Norris D.H.,Norris,Daniel,H.,"Norris, D.H.","Norris, D.H.","Norris, D.H.",1.0,1.0,http://www.wikidata.org/entity/Q21522236,Daniel Howard Norris,Norris,D.H.,"Norris, D.H.",,286985029,,,24158-1,D.H.Norris,,,,1933.0,2017.0,,,http://www.wikidata.org/wiki/Q21522236,,,https://www.ipni.org/a/24158-1,,,
568,MORIG,Moris G.G.,Moris,Giuseppe,Giacinto,"Moris, G.G.","Moris, G.G.","Moris, G.G.",1.0,1.0,http://www.wikidata.org/entity/Q3770669,Giuseppe Giacinto Moris,Moris,G.G.,"Moris, G.G.",,10627682,0000 0000 8339 2548,1333.0,12692-1,Moris,,,,1796.0,1869.0,,,http://www.wikidata.org/wiki/Q3770669,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1333,https://www.ipni.org/a/12692-1,,,
571,SCHMX,Schulze M.,Schulze,Carl,Theodor Maximilian,"Schulze, C.T.M.","Schulze, C.T.M.","Schulze, C.T.M.",1.0,1.0,http://www.wikidata.org/entity/Q5749329,Carl Theodor Maximilian Schulze,Schulze,C.T.M.,"Schulze, C.T.M.",,32779321,0000 0000 1371 8610,48183,9319-1,M.Schulze,,,,1841.0,1915.0,,,http://www.wikidata.org/wiki/Q5749329,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48183,https://www.ipni.org/a/9319-1,,,
576,GUNNR,Gunn R.C.,Gunn,Ronald,Campbell,"Gunn, R.C.","Gunn, R.C.","Gunn, R.C.",1.0,1.0,http://www.wikidata.org/entity/Q4133320,Robert Campbell Gunn,Gunn,R.C.,"Gunn, R.C.",,160916758,,8192.0,3482-1,Gunn,,P000465b,gunn-ronald-campbell-2134,1808.0,1881.0,,,http://www.wikidata.org/wiki/Q4133320,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8192,https://www.ipni.org/a/3482-1,,http://www.eoas.info/biogs/P000465b,http://adb.anu.edu.au/biography/gunn-ronald-campbell-2134
598,FLANH,Flanagan H.G.,Flanagan,Henry,George,"Flanagan, H.G.","Flanagan, H.G.","Flanagan, H.G.",1.0,1.0,http://www.wikidata.org/entity/Q50359034,Henry George Flanagan,Flanagan,H.G.,"Flanagan, H.G.",,,,5086,,,,,,1861.0,1919.0,,,http://www.wikidata.org/wiki/Q50359034,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5086,,,,
