,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
5535,R048,Raynar R.W.,Raynar,Ronald,William,"Raynar, R.W.","Raynar, R.W.","Rayner, R.W.",0.65,1.0,http://www.wikidata.org/entity/Q21607031,Ronald William Rayner,Rayner,R.W.,"Rayner, R.W.",,,,,25396-1,R.W.Rayner,,,,1914.0,,,,http://www.wikidata.org/wiki/Q21607031,,,https://www.ipni.org/a/25396-1,,,
5903,GRUNR,Grün R.,Grün,R.,,"Grün, R.n.","Grün, R.n.","Grün, H.",0.65,1.0,http://www.wikidata.org/entity/Q55040088,Heinrich Grün,Grün,H.,"Grün, H.",,,,,,,,,,1883.0,,,,http://www.wikidata.org/wiki/Q55040088,,,,,,
6392,ESTEF,Esteve F.D.,Esteve,F.D.,,"Esteve, F.D.n.","Esteve, F.D.n.","Esteves, F.d.A.",0.65,1.0,http://www.wikidata.org/entity/Q47467466,Francisco de Assis Esteves,Esteves,F.d.A.,"Esteves, F.d.A.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q47467466,,,,,,
6569,PRIGM,Prignon M.,Prignon,M.,,"Prignon, M.n.","Prignon, M.n.","Grignon, I.",0.65,1.0,http://www.wikidata.org/entity/Q21514284,Isabelle Grignon,Grignon,I.,"Grignon, I.",,,,,38289-1,Grignon,,,,1950.0,,,,http://www.wikidata.org/wiki/Q21514284,,,https://www.ipni.org/a/38289-1,,,
7492,KARPJJ,Karper J.J.,Karper,J.J.,,"Karper, J.J.n.","Karper, J.J.n.","Harper, J.T.",0.65,1.0,http://www.wikidata.org/entity/Q32848382,James Todd Harper,Harper,J.T.,"Harper, J.T.",,,,,20012696-2,J.T.Harper,,,,1998.0,,,,http://www.wikidata.org/wiki/Q32848382,,,https://www.ipni.org/a/20012696-2,,,
11015,VINCJ,Vinck J.,Vinck,José,,"Vinck, J.n.","Vinck, J.n.","Linck, J.H.",0.65,1.0,http://www.wikidata.org/entity/Q86317,Johann Heinrich Linck,Linck,J.H.,"Linck, J.H.",,67311337,0000 0001 0677 5243,,,,,,,1674.0,1734.0,,,http://www.wikidata.org/wiki/Q86317,,,,,,
193,MUENW,Muenscher W.C.,Muenscher,W.C. Justice O.L.,,"Muenscher, W.C.J.O.L.n.","Muenscher, W.C.J.O.L.n.","Muenscher, W.L.C.",0.649,1.0,http://www.wikidata.org/entity/Q6166236,Walter Leopold Conrad Muenscher,Muenscher,W.L.C.,"Muenscher, W.L.C.",,39557262,0000 0001 0856 7915,1898.0,6753-1,Muenscher,,,,1891.0,1963.0,,,http://www.wikidata.org/wiki/Q6166236,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1898,https://www.ipni.org/a/6753-1,,,
1195,CHORM,Chorley M.,Chorley,M.,,"Chorley, M.n.","Chorley, M.n.","Morley, M.W.",0.649,1.0,http://www.wikidata.org/entity/Q6760003,Margaret Warner Morley,Morley,M.W.,"Morley, M.W.",,10227823,0000 0000 7367 9342,,,,,,,1858.0,1923.0,,,http://www.wikidata.org/wiki/Q6760003,,,,,,
1370,B057,Bosquinet,Bosquinet,,,"Bosquinet, n.n.","Bosquinet, n.n.","Tosquinet, P.J.",0.649,1.0,http://www.wikidata.org/entity/Q21610898,Pierre Jules Tosquinet,Tosquinet,P.J.,"Tosquinet, P.J.",,,,74606,10758-1,Tosq.,,,,1825.0,1902.0,,,http://www.wikidata.org/wiki/Q21610898,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74606,https://www.ipni.org/a/10758-1,,,
3467,P092,Palm Aila,Palm,Aila,,"Palm, A.n.","Palm, A.n.","Palm, M.",0.649,1.0,http://www.wikidata.org/entity/Q88840901,M. Palm,Palm,M.,"Palm, M.",,,,,20039314-1,M.Palm,,,,,,,,http://www.wikidata.org/wiki/Q88840901,,,https://www.ipni.org/a/20039314-1,,,
7472,Q003,Quintin C.,Quintin,Claude,,"Quintin, C.n.","Quintin, C.n.","Quintin, W.H.S.",0.649,1.0,http://www.wikidata.org/entity/Q65979711,William Herbert St Quintin,Quintin,W.H.S.,"Quintin, W.H.S.",,76185010,,,,,,,,1851.0,1933.0,,,http://www.wikidata.org/wiki/Q65979711,,,,,,
7715,RNTAE,Rentería E.,Rentería Arriaga,Enrique,,"Rentería Arriaga, E.n.","Rentería Arriaga, E.n.","Arriaga, E.R.",0.649,1.0,http://www.wikidata.org/entity/Q36549256,Enrique Rentería Arriaga,Arriaga,E.R.,"Arriaga, E.R.",,,,,20019188-2,Rentería,,,,,,,,http://www.wikidata.org/wiki/Q36549256,,,https://www.ipni.org/a/20019188-2,,,
7787,CLLDG,Collett D.G.,Collett,D.G.,,"Collett, D.G.n.","Collett, D.G.n.","Collett, A.",0.649,1.0,http://www.wikidata.org/entity/Q4772289,Anthony Collett,Collett,A.,"Collett, A.",,221896298,0000 0003 5972 0187,,,,,,,1877.0,1929.0,,,http://www.wikidata.org/wiki/Q4772289,,,,,,
8049,GROUG,Grout G.E.,Grout,G.E.,,"Grout, G.E.n.","Grout, G.E.n.","Grout, W.",0.649,1.0,http://www.wikidata.org/entity/Q7963375,Wally Grout,Grout,W.,"Grout, W.",,93833554,0000 0000 6573 1155,,,,,,grout-arthur-theodore-wallace-10374,1927.0,1968.0,,,http://www.wikidata.org/wiki/Q7963375,,,,,,http://adb.anu.edu.au/biography/grout-arthur-theodore-wallace-10374
8666,GANEH,Gane H.,Gane,H.,,"Gane, H.n.","Gane, H.n.","Gane, J.",0.649,1.0,http://www.wikidata.org/entity/Q88824371,Jacques Gane,Gane,J.,"Gane, J.",,,,,20035534-1,Gane,,,,,,,,http://www.wikidata.org/wiki/Q88824371,,,https://www.ipni.org/a/20035534-1,,,
8951,V022,Van de Kerckhove O.,van de Kerckhove,Omer,,"van de Kerckhove, O.n.","van de Kerckhove, O.n.","Kerckhove, O.V.d.",0.649,1.0,http://www.wikidata.org/entity/Q88856644,Omer Van de Kerckhove,Kerckhove,O.V.d.,"Kerckhove, O.V.d.",,,,,20038036-1,Van de Kerckh.,,,,,,,,http://www.wikidata.org/wiki/Q88856644,,,https://www.ipni.org/a/20038036-1,,,
9981,FLAMF,Flamand F.,Flamand,F.,,"Flamand, F.n.","Flamand, F.n.","Allamand, F.",0.649,1.0,http://www.wikidata.org/entity/Q115721,Frédéric-Louis Allamand,Allamand,F.,"Allamand, F.",,101316824,0000 0000 7227 7341,,139-1,F.Allam.,,,,1736.0,1803.0,,,http://www.wikidata.org/wiki/Q115721,,,https://www.ipni.org/a/139-1,,,
10365,B132,Beer F.,Beer,F.,,"Beer, F.n.","Beer, F.n.","Beer, A.",0.649,1.0,http://www.wikidata.org/entity/Q10779226,Alois Beer,Beer,A.,"Beer, A.",,69811595,0000 0001 1666 7764,,,,,,,1840.0,1916.0,,,http://www.wikidata.org/wiki/Q10779226,,,,,,
3656,NELIL,Nelis L.L.,Nelis,Louis,Léon Lucien,"Nelis, L.L.L.","Nelis, L.L.L.","Lü, L.",0.649,3.0,http://www.wikidata.org/entity/Q22108796,Liang Lü,Lü,L.,"Lü, L.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22108796,,,,,,
3657,NELIL,Nelis L.L.,Nelis,Louis,Léon Lucien,"Nelis, L.L.L.","Nelis, L.L.L.","Lü, L.",0.649,3.0,http://www.wikidata.org/entity/Q21394809,Lei Lü,Lü,L.,"Lü, L.",,,,,20038275-1,L.Lü,,,,,,,,http://www.wikidata.org/wiki/Q21394809,,,https://www.ipni.org/a/20038275-1,,,
3658,NELIL,Nelis L.L.,Nelis,Louis,Léon Lucien,"Nelis, L.L.L.","Nelis, L.L.L.","Lü, L.",0.649,3.0,http://www.wikidata.org/entity/Q21341189,Long-Shi Lü,Lü,L.,"Lü, L.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21341189,,,,,,
235,CAROH,Caron H.,Caron,H.,,"Caron, H.n.","Caron, H.n.","Caron, E.",0.648,1.0,http://www.wikidata.org/entity/Q23068927,Edilson Caron,Caron,E.,"Caron, E.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q23068927,,,,,,
1471,JANSA,Jans A.,Jans,Alfons,,"Jans, A.n.","Jans, A.n.","Jans, E.",0.648,1.0,http://www.wikidata.org/entity/Q47119499,Els Jans,Jans,E.,"Jans, E.",,,,63090,20016190-1,Jans,,,,,,,,http://www.wikidata.org/wiki/Q47119499,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63090,https://www.ipni.org/a/20016190-1,,,
1579,WAASS,Waas S.,Waas,S.,,"Waas, S.n.","Waas, S.n.","Waas, C.M.",0.648,1.0,http://www.wikidata.org/entity/Q26714022,Christine M. Waas,Waas,C.M.,"Waas, C.M.",,,,,20025906-1,Waas,,,,,,,,http://www.wikidata.org/wiki/Q26714022,,,https://www.ipni.org/a/20025906-1,,,
3678,H072,Howard D.L.,Howard,D.L.,,"Howard, D.L.n.","Howard, D.L.n.","Howard, J.",0.648,1.0,http://www.wikidata.org/entity/Q25444225,Jeanette Howard,Howard,J.,"Howard, J.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q25444225,,,,,,
