,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
1780,c01781,HUGHES,W.W.,"HUGHES, W.W.","HUGHES, W.W.",fl. 1872-73,Patron,,
1781,c01782,HUISMAN,J.M.,"HUISMAN, J.M.","HUISMAN, John M.",c. 1990s,"Botanist, phycologist, WA",,portrait
1782,c01783,HULL,A.C.,"HULL, A.C.","HULL, A.C., see HULLS",,,,
1783,c01784,HULLS [HULL,H.,"HULLS [HULL, H.","HULLS [HULL, HULSE], A.C.",fl. 1868-83,,,
1784,c01785,HULSBERG,H.,"HULSBERG, H.","HULSBERG, Henry",fl. 1692-1716,Botanical engraver,notes,
1785,c01786,HULSE,A.C.,"HULSE, A.C.","HULSE, A.C., see HULLS",,,,
1786,c01787,HUMPHREYS,F.W.(.,"HUMPHREYS, F.W.(.","HUMPHREYS, Frederick William (Fred)",1907-1967,"Public servant, flower photographer, WA",notes,
1787,c01788,HUNT,D.,"HUNT, D.","HUNT, D.",fl. 1960s,,,
1788,c01789,HUNT,T.E.,"HUNT, T.E.","HUNT, Trevor Edgar",1913-1970,"Teacher, musician, orchidologist, artist, Qld",notes,portrait
1789,c01790,HUNTER,J.,"HUNTER, J.","HUNTER, John, Vice Admiral",1737-1821,"Naval Officer, Governor, artist",notes,portrait
1790,c01791,HUNTER,S.B.,"HUNTER, S.B.","HUNTER, Stanley Burton",fl.1900-20,"Engineer for boring, geologist",,
1791,c01792,HUNTER,W.,"HUNTER, W.","HUNTER, William",1893-1971,Surveyor,notes,
1792,c01793,HUNTLEY,R.H.,"HUNTLEY, R.H.","HUNTLEY, R.H.",fl. 1860s,,,
1793,c01794,HUNZIKER,G.,"HUNZIKER, G.","HUNZIKER, Gertrud",,,,
1794,c01795,HURST,H.,"HURST, H.","HURST, Henry",,,,
1795,c01796,HURSTHOUSE,E.W.,"HURSTHOUSE, E.W.","HURSTHOUSE, E.W.",fl. 1905,,,
