,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
0,c00001,ABBOTT,F.,"ABBOTT, F.","ABBOTT, Francis, Jnr",1834–1903,Gardens Superintendent,notes,portrait
1,c00002,ABID,M.A.,"ABID, M.A.","ABID, Munir. A., See MUNIR",,,,
2,c00003,ABRAHAMS,L.,"ABRAHAMS, L.","ABRAHAMS, L.",fl. 1910,,,
3,c00004,ABRAHAMSON,A.,"ABRAHAMSON, A.","ABRAHAMSON, Ada",fl. 1890s,"Amateur seaweed collector, WA",notes,
4,c00005,ACKLAND,J.J.,"ACKLAND, J.J.","ACKLAND, Judith Joan",fl. 1960s,Botanist,,
5,c00006,ADAIR,R.,"ADAIR, R.","ADAIR, Robyn",1962-,Botanist,,
6,c00007,ADAM,P.,"ADAM, P.","ADAM, P.",,Ecologist,,
7,c00008,ADAM,W.K.,"ADAM, W.K.","ADAM, William Keith",?1860–1900,"Stock-owner, plant collector, WA",notes,
8,c00009,ADAMS,D.B.,"ADAMS, D.B.","ADAMS, David Boner",1900–1951,"Mycologist, plant pathologist",,
9,c00010,ADAMS,L.G.(.,"ADAMS, L.G.(.","ADAMS, Laurence George (Laurie)*",1929–2014,"Herbarium botanist, Canberra",notes,portrait
10,c00011,ADAMS,M.A.o.A.M.,"ADAMS, M.A.o.A.M.","ADAMS, Mary Annie or Annie Mary, see WILKINS",1874–1931,,,
11,c00012,ADAMS,M.,"ADAMS, M.","ADAMS, Miss",fl. 1889,Collected on the River Murray,,
12,c00013,ADAMS,N.,"ADAMS, N.","ADAMS, Nilavan",fl. 2000s,"Botanical artist, ACT",notes,portrait
13,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*",1953-,Botany Teacher,,
14,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald",1934-,Botanical illustrator,notes,
15,c00016,ADAMS,T.W.,"ADAMS, T.W.","ADAMS, T.W.",fl. 1900s,,,
16,c00017,ADAMSON,F.M.,"ADAMSON, F.M.","ADAMSON, Frederick M.",fl. 1836-58,Pioneer settler near Melbourne,notes,
17,c00018,ADAMSON,R.S.,"ADAMSON, R.S.","ADAMSON, Robert Stephen",1885–1965,Botanist,,
18,c00019,ADAMSON,S.W.,"ADAMSON, S.W.","ADAMSON, S. W. ^^",fl. 1896,"collected near Uralla, NSW",,
19,c00020,ADAMTHWAITE,A.E.,"ADAMTHWAITE, A.E.","ADAMTHWAITE, A.E. ^^",fl. 1891,"collected along R. Murray, NSW",,
20,c00021,ADCOCK,G.H.,"ADCOCK, G.H.","ADCOCK, George Henry",1860–1931,"Schoolmaster, Geelong; viticulturist Rutherglen",notes,portrait
21,c00022,ADCOCK,T.,"ADCOCK, T.","ADCOCK, T. ^^",fl. 1888,"collected Airey Inlet, Vic.",,
22,c00023,ADIAN,G.I.,"ADIAN, G.I.","ADIAN, G. I. ^^",fl. 1885,collected in Vic.,,
23,c00024,AGARDH,J.G.,"AGARDH, J.G.","AGARDH, Jakob Georg",1813–1901,"Swedish botanist, phycologist, never visited Australia",notes,portrait
24,c00025,AHMED,A.,"AHMED, A.","AHMED, Amanda",fl. 2000s,"Botanical artist, Vic",notes,portrait
25,c00026,AIRY SHAW,H.K.,"AIRY SHAW, H.K.","AIRY SHAW, Herbert Kenneth*",1902–1985,"Botanist, classicist",notes,portrait
26,c00027,AITKEN,R.T.,"AITKEN, R.T.","AITKEN, R.T.",fl. 1921,,,
27,c00028,ALBISON,K.W.,"ALBISON, K.W.","ALBISON, K.W.",fl. 1932,Botanist,,
28,c00029,ALBRECHT,D.E.,"ALBRECHT, D.E.","ALBRECHT, David Edward*",1962-,"Herbarium botanist, Vict, NT, Tas, ACT",notes,portrait
29,c00030,ALCOCK,C.R.(.,"ALCOCK, C.R.(.","ALCOCK, Charles Raymond (Ray)*",1921-2015,"Agronomist, plant collector, weed specialist, SA",notes,portrait
30,c00031,ALCOCK,E.S.,"ALCOCK, E.S.","ALCOCK, Ernest Simpson",,Agricultural adviser,,
31,c00032,ALCOCK,H.W.,"ALCOCK, H.W.","ALCOCK, H.W. ^^",fl. 1896,"collected Swan River District, WA",,
32,c00033,ALCOCK,K.,"ALCOCK, K.","ALCOCK, Kath",1925-,"Botanical artist, field naturalist, collector, SA",notes,portrait
33,c00034,ALCORN,J.L.,"ALCORN, J.L.","ALCORN, John Leonard*",1937-,Mycologist,,
34,c00035,ALDERSEY,M.A.,"ALDERSEY, M.A.","ALDERSEY, Mary Ann",1825–1906,"School-teacher, collected for Mueller, McLaren Vale, SA",notes,portrait
35,c00036,ALDRIDGE,H.E.,"ALDRIDGE, H.E.","ALDRIDGE, H.E.",fl. 1899,"collected Maryborough, Qld",,
36,c00037,ALFORD,B.P.,"ALFORD, B.P.","ALFORD, Brian P.",fl. 1970s,Teacher,,
37,c00038,ALKIN,T.V.,"ALKIN, T.V.","ALKIN, Thomas Verrier, Rev.",1838–1921,"Anglican clergyman, Toowoomba Qld; various NSW",notes,
38,c00039,ALLAN,D.,"ALLAN, D.","ALLAN, D.",fl. 1891,"collected at Colombo near Bega, NSW",,
39,c00040,ALLAN,J.,"ALLAN, J.","ALLAN, J.",fl. 1860s,"collected in Gippsland, Vic",,
40,c00041,ALLAN,J.S.o.J.L.(.A.,"ALLAN, J.S.o.J.L.(.A.","ALLAN, J.S. or J.L. (or Allen)",fl. 1890s,"Forest ranger, various NSW",notes,
41,c00042,ALLAN,K.M.,"ALLAN, K.M.","ALLAN, Keith Maxwell",1950-,Botanical illustrator,,
42,c00043,ALLAN,M.F.,"ALLAN, M.F.","ALLAN, Margaret Forbes,",1924-,Bank clerk,,
43,c00044,ALLEN (ALLAN),J.,"ALLEN (ALLAN), J.","ALLEN (ALLAN), John ^^",fl. 1840s,collected fungi on Murrumbidgee R.,,
44,c00045,ALLEN,A.,"ALLEN, A.","ALLEN, A. ^^",fl. 1896,"collected at Mossman Bay, Qld",,
45,c00046,ALLEN,B.E.G.,"ALLEN, B.E.G.","ALLEN, Betty Eleanor Gosset, Mrs* nee MOLESWORTH Mrs",1913-ext.1947,"Botanist, cryptogamist",,
46,c00047,ALLEN,B.,"ALLEN, B.","ALLEN, Beverly",fl. 2000s,Botanical illustrator,notes,portrait
47,c00048,ALLEN,C.E.F.,"ALLEN, C.E.F.","ALLEN, Charles Ernest Frank",1876- &gt;1939,Gardens curator,notes,
48,c00049,ALLEN,G.A.,"ALLEN, G.A.","ALLEN, Grace Adelaide",1871–1940,Collected in Qld for Mueller,notes,
49,c00050,ALLEN,M.(.C.,"ALLEN, M.(.C.","ALLEN, Miss  (? Catherine) ^^",1863-,"collected at Penola, SA; Bass Str. islands, Tas",,
50,c00051,ALLEN,W.T.,"ALLEN, W.T.","ALLEN, William Tucker",1846-,"expedition collector, Kimberley, WA; western Vic",notes,
51,c00052,ALLENDER,B.,"ALLENDER, B.","ALLENDER, Bruce",,"Botanist, phycologist",,
52,c00053,ALLENDER,M.J.,"ALLENDER, M.J.","ALLENDER, Marie Joyce, Miss*",1917-,Herbarium assistant naturalist,,
53,c00054,ALLEY,N.,"ALLEY, N.","ALLEY, Neville",fl. 1980,Palynologist,,
54,c00055,ALLISON,J.,"ALLISON, J.","ALLISON, J. ^^",fl. 1998,"collected at Bathurst, Dubbo, NSW",,
55,c00056,ALLITT,W.,"ALLITT, W.","ALLITT, William",1828–1893,"Gardens curator, nurseryman",notes,
56,c00057,ALLPORT,J.,"ALLPORT, J.","ALLPORT, Joseph",1800–1877,"Solicitor, horticulturist",notes,
57,c00058,ALLPORT,M.M.,"ALLPORT, M.M.","ALLPORT, Mary Morton, Mrs.",1806–1895,"Wildflower painter, Tas",notes,portrait
58,c00059,ALLPORT,M.,"ALLPORT, M.","ALLPORT, Morton",1830–1878,"Naturalist, painter, Tas",notes,
59,c00060,ALPHER,B.J.,"ALPHER, B.J.","ALPHER, Barry Jacob",1940-,"Linguist, anthropologist",,
60,c00061,ALTHOFER,G.W.,"ALTHOFER, G.W.","ALTHOFER, George W.",1903–1993,"Nurseryman, botanist, author, founder of Burrendong Arboretum",notes,portrait
61,c00062,ALTHOFER,H.J.,"ALTHOFER, H.J.","ALTHOFER, Hazel J.",1920 -,"Propagator, Burrendong Aboretum superintendent",,
62,c00063,ALTHOFER,P.M.,"ALTHOFER, P.M.","ALTHOFER, Peter McDowell.",1918–1991,"Horticulturist, Burrendong Arboretum superintendent",notes,portrait
63,c00064,"AMERY,",,"AMERY,","AMERY,",fl. 1887,"collected at Glenrowan, Vic",,
64,c00065,AMTSBERG,H.,"AMTSBERG, H.","AMTSBERG, Heinz",fl. 1980s,"City Gardener, palaeobotanist",,
65,c00066,"ANDERSON,",,"ANDERSON,","ANDERSON,",fl. 1888,"Farmer, politician, Tas; Port Fairy, Vic",notes,
66,c00067,ANDERSON,A.W.,"ANDERSON, A.W.","ANDERSON, A.W.",fl. 1930s,"Mostly collected in Canada, a few in Aust.",,
67,c00068,ANDERSON,A.,"ANDERSON, A.","ANDERSON, Alexander ^^",fl. 1890s,collected on Blackall Ra. Qld,,
68,c00069,ANDERSON,D.,"ANDERSON, D.","ANDERSON, David",fl. 1770s,,,
69,c00070,ANDERSON,E.M.,"ANDERSON, E.M.","ANDERSON, E.M.",,,,
70,c00071,ANDERSON,E.R.,"ANDERSON, E.R.","ANDERSON, E.R.",fl. 1960s-70s,Qld.,,
71,c00072,ANDERSON,J.,"ANDERSON, J.","ANDERSON, James",1797–1842,Gardens Superintendent,notes,
72,c00073,ANDERSON,J.,"ANDERSON, J.","ANDERSON, Jill, Mrs, see CULLIMORE",,,,
73,c00074,ANDERSON,J.,"ANDERSON, J.","ANDERSON, John",?–1847,"Colonial Botanist, Gardens Director",,
74,c00075,ANDERSON,M.L.,"ANDERSON, M.L.","ANDERSON, M.L.",fl. 1870,collected lichens in Australia,,
75,c00076,ANDERSON,M.,"ANDERSON, M.","ANDERSON, Miss ^^",fl. 1898,"collected at Lake Boga and Wimmera, Vic",,
76,c00077,ANDERSON,N.D.,"ANDERSON, N.D.","ANDERSON, N.D.",fl. 1967-79,NSW,,
77,c00078,ANDERSON,R.H.,"ANDERSON, R.H.","ANDERSON, Robert Henry",1899–1969,"Gardens Director, Botanist, NSW",notes,portrait
78,c00079,ANDERSON,R.J.,"ANDERSON, R.J.","ANDERSON, Robert John",1952-2012,"Chemotaxonomist, uni lecturer, Vict, SA",notes,
79,c00080,ANDERSON,R.,"ANDERSON, R.","ANDERSON, Ross",1862–1945,"Pastralist near Roebourne, later Kendenup, WA",notes,
80,c00081,ANDERSON,T.,"ANDERSON, T.","ANDERSON, T.",1832–1870,"Collected in Middle East, India, Indonesia, NSW",,
81,c00082,ANDERSON,W.,"ANDERSON, W.","ANDERSON, William",1750 - 1778,"Surgeon, botanist on Cooks 2nd voyage",notes,
82,c00083,ANDERSSON,N.J.,"ANDERSSON, N.J.","ANDERSSON, Nils Johan",1821–1880,"Botanist,  lecturer at Lund, Stockholm, collected on voyages",notes,
83,c00084,ANDRAE,H.,"ANDRAE, H.","ANDRAE, Hans ^^",1883–1890,"collected  around Pulpulla &amp; Cobar, NSW",,
84,c00085,ANDREWARTHA,H.G.,"ANDREWARTHA, H.G.","ANDREWARTHA, Herbert George, Prof.*",1907-,"Zoologist, entomologist",,
85,c00086,"ANDREWS,",,"ANDREWS,","ANDREWS, ^^",fl. 1897,"collected  at Albury, NSW",,
86,c00087,ANDREWS,C.R.P.,"ANDREWS, C.R.P.","ANDREWS, Cecil Rollo Paton",1870–1951,"Education Director, botanist",notes,
87,c00088,ANDREWS,C.W.,"ANDREWS, C.W.","ANDREWS, Charles William, Dr",1866–1924,"Naturalist, geologist, collected on Cocos (Keeling), Christmas Is.",notes,
88,c00089,ANDREWS,E.C.,"ANDREWS, E.C.","ANDREWS, Ernest Clayton",1870–1948,Geologist,notes,portrait
89,c00090,ANDREWS,F.A.,"ANDREWS, F.A.","ANDREWS, F.A.",fl. 1875–1883,Naturalist,,
90,c00091,ANDREWS,F.W.,"ANDREWS, F.W.","ANDREWS, Frederick William",?1824–1884,"Naturalist, SA Museum, collected R. Murray, SA; Cape York, Qld",notes,
91,c00092,ANDREWS,H.C.,"ANDREWS, H.C.","ANDREWS, Henry Charles",fl. 1784–1830,"Artist, engraver, England, never came to Aust.",notes,
92,c00093,ANDREWS,J.H.,"ANDREWS, J.H.","ANDREWS, J.H. ^^",fl. 1883,"collected  on Eyre Peninsula, SA",,
93,c00094,ANDREWS,M.,"ANDREWS, M.","ANDREWS, Milton",1959-,Botanical illustrator,notes,
94,c00095,ANDREWS,S.B.,"ANDREWS, S.B.","ANDREWS, S.B.",fl. 1970s,Pteridologist,,
95,c00096,ANDRICH,B.,"ANDRICH, B.","ANDRICH, B. ^^",fl. 1860,"collected at Box Hill, Vic",,
96,c00097,ANGAS,G.F.,"ANGAS, G.F.","ANGAS, George French",1822–1886,"Artist, naturalist",notes,portrait
97,c00098,ANGELO,M.(.F.,"ANGELO, M.(.F.","ANGELO, Mary (nee Fraser)",1851–1928,collected seaweeds WA,notes,
98,c00099,ANKETELL,R.J.,"ANKETELL, R.J.","ANKETELL, R.J.",fl. 1908,Gardener,,
99,c00100,ANTONIAK,W.,"ANTONIAK, W.","ANTONIAK, Wendy",fl. 2000s,"Botanical artist, ACT",notes,
100,c00101,APLIN,T.E.H.(.,"APLIN, T.E.H.(.","APLIN, Theodore Ernest Holmes (Ted)*",1927–1991,WA botanist,notes,
101,c00102,ARCHER,A.W.,"ARCHER, A.W.","ARCHER, Alan W.",1930–,Lichenologist,,
102,c00103,ARCHER,A.(.H.,"ARCHER, A.(.H.","ARCHER, Ann (nee Hortle)",1825–1899,collected bryophytes in Tas,,
103,c00104,ARCHER,E.,"ARCHER, E.","ARCHER, Ellinor",fl. 1911–17,"Botanist, illustrator, librarian",notes,
104,c00105,ARCHER,W.H.,"ARCHER, W.H.","ARCHER, William H.",1820–1874,"Architect, botanist, illustrator, Tas",notes,portrait
105,c00106,ARCHIBALD,R.,"ARCHIBALD, R.","ARCHIBALD, R. ^^",fl. &lt;1892,"collected  fossils in Qld at Bundaba, Ipswich, Qld",,
106,c00107,ARDEN,S.,"ARDEN, S.","ARDEN, Stanley",1874–1942,Gardener,,
107,c00108,ARDEN,W.H.,"ARDEN, W.H.","ARDEN, W.H.",fl. 1887,"collected  at Yarra Yarra, Vic",,
108,c00109,ARMISTEAD,J.,"ARMISTEAD, J.","ARMISTEAD, J. ^^",fl. 1885,"collected  at source of Barwon R, Vic",,
109,c00110,ARMIT,W.E.d.M.,"ARMIT, W.E.d.M.","ARMIT, William Edington de Margrat, Capt.",1848–1901,"Policeman, explorer, journalist, public servant, Qld",notes,
110,c00111,ARMITAGE,I.B.,"ARMITAGE, I.B.","ARMITAGE, I.B.",fl. 1962–1987,"NSW, Qld",,
111,c00112,ARMITAGE,J.,"ARMITAGE, J.","ARMITAGE, Joseph",1853–1897,Physician in Tas 1881-97,notes,
112,c00113,ARMITAGE,R.W.,"ARMITAGE, R.W.","ARMITAGE, Richard W.",fl. 1900–10,Naturalist,,
113,c00114,ARMSTRONG,A.,"ARMSTRONG, A.","ARMSTRONG, Alexdnder, Sir",1818–1899,"Medical officer (Navy), naturalist, collected Melville Is, NT",notes,
114,c00115,ARMSTRONG,F.F.,"ARMSTRONG, F.F.","ARMSTRONG, Francis Fraser",1813–1897,"Worked with Aboriginals, collected  plants &amp; birds around Perth for sale",notes,
115,c00116,ARMSTRONG,J.W.,"ARMSTRONG, J.W.","ARMSTRONG, J.W. ^^",fl. 1899,"collected  at Wapengo near Bega, NSW",,
116,c00117,ARMSTRONG,J.A.,"ARMSTRONG, J.A.","ARMSTRONG, James Andrew*",1950-,"Botanist, herbarium director, Sydney, Canberra, Perth",,portrait
117,c00118,ARMSTRONG,J.,"ARMSTRONG, J.","ARMSTRONG, John",?–1847,"Gardens Superintendent, NT",notes,
118,c00119,ARMSTRONG,J.,"ARMSTRONG, J.","ARMSTRONG, John",1931-,"Architect, botanical artist",,portrait
119,c00120,ARMSTRONG,W.,"ARMSTRONG, W.","ARMSTRONG, W. ^^",fl. 1883,"collected at Rockhampton, Qld; St. Lawrence",,
120,c00121,ARMYTAGE,H.N.(.H.A.,"ARMYTAGE, H.N.(.H.A.","ARMYTAGE, H.N. (? Harold Ausustine)",?1853–1926,"?Station manager, Mt  Sturgeon and Afton Downs, Qld",notes,
121,c00122,ARMYTAGE,M.(.A.E.,"ARMYTAGE, M.(.A.E.","ARMYTAGE, Miss (? Ada Elizabeth)",fl. 1895-96,Collected for Mueller in Victoria,notes,
122,c00123,ARNOLD,J.,"ARNOLD, J.","ARNOLD, Joseph",1782–1818,"Naval Surgeon, naturalist",,
123,c00124,ARNOLD,M.,"ARNOLD, M.","ARNOLD, Mavis",fl. 1930,Botanical illustrator,notes,
124,c00125,ARNOUX,,ARNOUX,ARNOUX ^^,fl. 1844,collected  at Sydney,,
125,c00126,ARTHUR,J.,"ARTHUR, J.","ARTHUR, John",1804–1849,"Gardens Director, landscape gardener",notes,
126,c00127,ARUNDELL,E.H.(.A.,"ARUNDELL, E.H.(.A.","ARUNDELL, Edward Henry (or Arundel) ^^",1840–1910,"Bookseller, storekeeper",,
127,c00128,ASH,J.H.(.H.,"ASH, J.H.(.H.","ASH, J.H. (?John Henry) ^^",fl. 1887,"collected  at Bunda Bunda Stn, Qld",,
128,c00129,ASH,S.A.,"ASH, S.A.","ASH, Sidney A., Dr",1932-,Palynologist,,
129,c00130,ASHBY,A.M.,"ASHBY, A.M.","ASHBY, Alison Marjorie",1901–1987,Artist,notes,
130,c00131,ASHBY,E.A.,"ASHBY, E.A.","ASHBY, Edwin A.",1861–1941,"Naturalist, nurseryman,  grower of Australian plants at &lsquo;Wittunga' SA",,
131,c00132,ASHBY,E.,"ASHBY, E.","ASHBY, Eric, Prof. Lord",1904–1992,Ecologist,notes,
132,c00133,ASHTON,D.H.,"ASHTON, D.H.","ASHTON, David Hungerford, Dr*",1927-2005,"Botanist, ecologist",notes,portrait
133,c00134,ASHTON,H.,"ASHTON, H.","ASHTON, H.",fl. 1917,,,
134,c00135,ASHWORTH,H.P.C.,"ASHWORTH, H.P.C.","ASHWORTH, H.P.C. ^^",1871–1903,"Ornithologist, ecologist, architect, collected on Tas islands",,
135,c00136,ASKENASY,,ASKENASY,ASKENASY,,,,
136,c00137,ASTON,H.I.,"ASTON, H.I.","ASTON, Helen Isobel, Miss*",1934-,"Herbarium botanist,  Curator, Vict.",notes,portrait
137,c00138,"ATHERSTONE,",,"ATHERSTONE,","ATHERSTONE, ^^",fl. &lt;1863,colected in SA,,
138,c00139,ATKIN,T.V.,"ATKIN, T.V.","ATKIN, T.V. ^^",fl. 1894,"collected at Sofala and Georges R, NSW",,
139,c00140,ATKINS,C.J.,"ATKINS, C.J.","ATKINS, C.J. ^^",fl. 1885,"Lichenologist, collected   at Macquarie Harbour, Tas",,
140,c00141,ATKINS,E.B.,"ATKINS, E.B.","ATKINS, Edward Barton",1855–1920,"School teacher at Rockhampton, Charleville, Qld",notes,
141,c00142,ATKINS,K.W.,"ATKINS, K.W.","ATKINS, Kenneth William",1925-,Gardener,,
142,c00143,ATKINS,W.,"ATKINS, W.","ATKINS, William ^^",1836–1920,"Amateur botanist, forester, railway builder, parliamentarian, WA",,
143,c00144,ATKINSON,C.L.W.,"ATKINSON, C.L.W.","ATKINSON, 


Caroline Louisa Waring

, [later CALVERT]",1834–1872,"Naturalist, author",notes, portrait
144,c00145,ATKINSON,E.D.,"ATKINSON, E.D.","ATKINSON, Edward Derwent",1844–1920,"Geologist, stationmaster  for Tas. Railways",notes,
145,c00146,ATKINSON,H.B.,"ATKINSON, H.B.","ATKINSON, Henry Brune,",1874–1960,"Anglican clergyman, Archdeacon",,
146,c00147,ATKINSON,H.D.,"ATKINSON, H.D.","ATKINSON, Henry Dresser, Rev.",fl. 1860–1890,Anglican clergyman,notes,
147,c00148,ATTARI,D.,"ATTARI, D.","ATTARI, D. ^^",fl. 1886,"collected  at Port Fairy, Vic",,
148,c00149,AUDALL,E.J.L.(.A.o.A.,"AUDALL, E.J.L.(.A.o.A.","AUDALL, E.J.L. (also Andall or Andale) ^^",fl. 1895,"collected  at Mudgee, NSW",,
149,c00150,AUDAS,J.W.C.,"AUDAS, J.W.C.","AUDAS, James Wales Clarendon",1872–1959,"Botanist, author, Vic",notes,
150,c00151,AUDEBERT,J.B.,"AUDEBERT, J.B.","AUDEBERT, Jean Batiste",1759–1800,French botanical illustrator,notes,
151,c00152,AUILDIST,I.H.,"AUILDIST, I.H.","AUILDIST, I.H.",fl. 1960s,,,
152,c00153,AUSFELD,G.,"AUSFELD, G.","AUSFELD, G. ^^",fl. 1840-60,"collected  near Bendigo, Vic",,
153,c00154,AUSTEN,?.R.,"AUSTEN, ?.R.","AUSTEN, ? Richard",fl. 1870s,Botanical illustrator,notes,
154,c00155,AUSTIN,J.,"AUSTIN, J.","AUSTIN, J. ^^",fl. 1899,"collected  at Condobolin, NSW",,
155,c00156,AUSTIN,R.,"AUSTIN, R.","AUSTIN, Robert",1825–1905,"Surveyor, expedition leader, gold prospector",notes,
156,c00157,B&#220;CHEN-OSMOND,C.,"B&#220;CHEN-OSMOND, C.","B&#220;CHEN-OSMOND, Cornelia",fl. 2000s,"Botanical artist, ACT",notes,portrait
157,c00158,BABBAGE,B.H.,"BABBAGE, B.H.","BABBAGE, Benjamin Herschel",1815-1878,"Scientist, explorer, engineer",notes,portrait
158,c00159,BACCHUS,W.H.,"BACCHUS, W.H.","BACCHUS, William Henry",1820-1887,Agronomist,notes,
159,c00160,BACK,P.V.,"BACK, P.V.","BACK, Patricia V.",fl. 1974,"Botanist, weed specialist",,
160,c00161,BACKHOUSE,J.,"BACKHOUSE, J.","BACKHOUSE, James",1794-1869,"Nurseryman, naturalist missionary",notes,
161,c00162,BADMAN,F.,"BADMAN, F.","BADMAN, Frank",1943-2015,"Herbarium collector, ecologist, arid SA",notes,portrait
162,c00163,BAEUERLEN,[.W.[.,"BAEUERLEN, [.W.[.","BAEUERLEN, [BAUERLEN] Wilhelm [William]",1845-ext.1901,"Botanist, museum collector",notes,portrait
163,c00164,BAGE,F.,"BAGE, F.","BAGE, Freda ^^",fl. 1885,"Member, Field Nats' Club Vic. Collected in Vic.",,
164,c00165,BAGLIN,D.,"BAGLIN, D.","BAGLIN, Douglass",fl. 1960s-80s,Photographer,,
165,c00166,BAHLSEN,E.[.M.C.].,"BAHLSEN, E.[.M.C.].","BAHLSEN, Emma [also Miss C.] ^^",fl. 1890s,"Collected near Mudgee, NSW",,
166,c00167,BAILEY,A.,"BAILEY, A.","BAILEY, Alan",1937-,"Botanist, phycologist",,
167,c00168,BAILEY,E.T.,"BAILEY, E.T.","BAILEY, Eric Thomas",1910-1980,"Agrostologist, plant introduction specialist",,
168,c00169,BAILEY,F.M.,"BAILEY, F.M.","BAILEY, Frederick Manson",1827-1915,Colonial Botanist,notes,portrait
169,c00170,BAILEY,J.L.,"BAILEY, J.L.","BAILEY, J.L.",,,,
170,c00171,BAILEY,J.(.).,"BAILEY, J.(.).","BAILEY, John (?B.)",1800-1864,"Colonial Botanist, gardens curator",notes,
171,c00172,BAILEY,J.R.,"BAILEY, J.R.","BAILEY, John Rayer",fl. 1950s,Gardens curator,,
172,c00173,BAILEY. John Frederick,,BAILEY. John Frederick,BAILEY. John Frederick,1866-1938,"Gardens Director, economic botanist",notes,
173,c00174,BAIN,J.,"BAIN, J.","BAIN, J. ^^",fl. 1842,"Collected at Mt Irvine, NSW",,
174,c00175,"BAINES,",,"BAINES,","BAINES, ^^",?-1855,Collected marine algae in Vic.,,
175,c00176,BAINES,J.T.,"BAINES, J.T.","BAINES, John Thomas",1820-1875,"Explorer, artist, cartographer, naturalist, prospector",notes,portrait
176,c00177,BAIRD,A.M.,"BAIRD, A.M.","BAIRD, Alison Mary, Miss",1906-,"Botanist, ecologist",,
177,c00178,BAIRD,D.D.,"BAIRD, D.D.","BAIRD, D.D. ^^",fl. 1898,"collected at Dubbo, NSW",,
178,c00179,BAIRD,J.,"BAIRD, J.","BAIRD, J. ^^",fl. 1883,"collected near Maytown, Palmer R., Qld.",,
179,c00180,BAKER,(.).M.,"BAKER, (.).M.","BAKER, (J.) M. ^^",fl. 1891-96,collected in NSW at Picton,,
180,c00181,BAKER,R.T.,"BAKER, R.T.","BAKER, Richard Thomas",1854-1941,"Economic botanist, museum curator, author",notes,portrait
181,c00182,BAKER,W.R.A.,"BAKER, W.R.A.","BAKER, William Robert Arton ^^",1857-?,"Herbarium keeper, collected in Vic.",,
182,c00183,BAKET,M.,"BAKET, M.","BAKET, Miss",fl. 1884,Collected Bloomfield R. area,,
183,c00184,BALANSA,B.(.,"BALANSA, B.(.","BALANSA, Bendedict (Benjamin)",1825-1891,French botanist explorer,,
184,c00185,BALDRY,J.M.,"BALDRY, J.M.","BALDRY, J.M. ^^",fl. 1883-93,"associated with Baldwin Spencer, Vic, Tas",,
185,c00186,BALE,C.L.,"BALE, C.L.","BALE, Colin L.*",1953-,Botanist,,
186,c00187,BALE,W.M.(.i.L.).,"BALE, W.M.(.i.L.).","BALE, William Mountier (? initial L.) ^^",1851-1940,"Microscopist, customs inspector, studied diatoms etc",,
187,c00188,BALFOUR,D.,"BALFOUR, D.","BALFOUR, Dr ^^",fl. 1841,"attributed with lichens from Tas, (? see George ref.)",,
188,c00189,BALGOOY,M.M.J.v.,"BALGOOY, M.M.J.v.","BALGOOY, Max Michael Josephus van",1932,"Java-born botanist/collector, Pacific flora, incl. Aust., based in Leiden",notes,portrait
189,c00190,BALL,H.L.,"BALL, H.L.","BALL, Henry Lidgbird",1756-1818,"Naval Officer, 1st Fleet, artist",notes,
190,c00191,BALL,L.C.,"BALL, L.C.","BALL, Lionel Clive",fl. 1889-1960s,"Govt geologist, Collected at Wallangarra, Qld",,
191,c00192,BALL,R.,"BALL, R.","BALL, Robert ^^",fl. 1836,"collected lichens, mosses on Macquarie R., NSW",,
192,c00193,BALLANTYNE [BALLANTINE],M.,"BALLANTYNE [BALLANTINE], M.","BALLANTYNE [BALLANTINE], Mary",fl. 1840s,collected in Tas. for R.Gunn,notes,
193,c00194,BALME,B.E.,"BALME, B.E.","BALME, Basil E., Dr",1923-,"Palynologist, palaeobotanist",,
194,c00195,BANACLON,W.,"BANACLON, W.","BANACLON, W. ^^",fl. 1887,"collected at Olive Downs, NSW",,
195,c00196,BANCROFT,J.,"BANCROFT, J.","BANCROFT, Joseph, Dr",1836-1894,"Surgeon, pharmacologist",notes,portrait
196,c00197,BANCROFT,T.L.,"BANCROFT, T.L.","BANCROFT, Thomas Lane",1860-1933,"Medical Officer, naturalist, plant breeder",notes,portrait
197,c00198,BANDY,G.,"BANDY, G.","BANDY, G. ^^",fl. 1878,"Collected at Mt Jeffcott, Vic",,
198,c00199,BANER,M.,"BANER, M.","BANER, Miss",fl. 1884,Collected Bloomfield R. area,,
199,c00200,BANFIELD,F.S.,"BANFIELD, F.S.","BANFIELD, Frederick Sydney",-1967,"Student gardener at Kew, later based in Malaysia. Writer",,
200,c00201,BANFIELD,H.,"BANFIELD, H.","BANFIELD, H. ^^",fl.1880,"Collected at Ararat, Vic",,
201,c00202,BANKS,D.P.,"BANKS, D.P.","BANKS, David Paul",1965-,"Orchid collector, grower, lecturer",notes,portrait
202,c00203,BANKS,J.,"BANKS, J.","BANKS, Joseph, Sir",1743-1820,"Naturalist, explorer, promoter, Royal Society President",notes,portrait
203,c00204,BANNIER,(.A.W.,"BANNIER, (.A.W.","BANNIER, (? August Wilhelm) ^^",fl. 1849-51,Collected on Kangaroo Is. SA,,
204,c00205,BAPTIST,J.,"BAPTIST, J.","BAPTIST, John",,Horticulturist,,
