,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
0,"Beauglehole, A.C.",90942,1865.0,2005.0,140.0,"Beauglehole, A.C.","Beauglehole, A.C.",1.0,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,1920.0,2002.0,,,http://www.wikidata.org/wiki/Q16744919,,,,https://bloodhound-tracker.net/Q16744919,http://www.eoas.info/biogs/P000214b,
1,"Forster, P.I.",64649,1955.0,2018.0,63.0,"Forster, P.I.","Forster, P.I.",1.0,1.0,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster,Forster,P.I.,"Forster, P.I.",,,,,18907-1,P.I.Forst.,,,1961.0,,,,http://www.wikidata.org/wiki/Q9057027,,,https://www.ipni.org/a/18907-1,,,
2,"Hyland, B.",57265,1952.0,2008.0,56.0,"Hyland, B.","Hyland, B.",1.0,1.0,http://www.wikidata.org/entity/Q4893242,Bernard Hyland,Hyland,B.,"Hyland, B.",,,,,4262-1,B.Hyland,,,1937.0,,,,http://www.wikidata.org/wiki/Q4893242,,,https://www.ipni.org/a/4262-1,,,
4,"Streimann, H.",45346,1896.0,2001.0,105.0,"Streimann, H.","Streimann, H.",1.0,1.0,http://www.wikidata.org/entity/Q21339679,Heinar Streimann,Streimann,H.,"Streimann, H.",,69178760,0000 0001 1573 7118,2053,15669-1,Streimann,,P005606b,1938.0,2001.0,,,http://www.wikidata.org/wiki/Q21339679,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2053,https://www.ipni.org/a/15669-1,,http://www.eoas.info/biogs/P005606b,
5,"Elix, J.A.",39702,1878.0,2020.0,142.0,"Elix, J.A.","Elix, J.A.",1.0,1.0,http://www.wikidata.org/entity/Q21339171,John Alan Elix,Elix,J.A.,"Elix, J.A.",,5178780,0000 0000 8084 828X,93027.0,18445-1,Elix,,P005725b,1941.0,,,,http://www.wikidata.org/wiki/Q21339171,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93027,https://www.ipni.org/a/18445-1,,http://www.eoas.info/biogs/P005725b,
9,"Blake, S.T.",33031,1846.0,1996.0,150.0,"Blake, S.T.","Blake, S.T.",1.0,1.0,http://www.wikidata.org/entity/Q2984580,Stanley Thatcher Blake,Blake,S.T.,"Blake, S.T.",,304022808,0000 0000 6521 9151,13863.0,838-1,S.T.Blake,,P001391b,1910.0,1973.0,,,http://www.wikidata.org/wiki/Q2984580,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13863,https://www.ipni.org/a/838-1,,http://www.eoas.info/biogs/P001391b,
10,"Cleland, J.B.",32242,1841.0,1996.0,155.0,"Cleland, J.B.","Cleland, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q4223546,John Burton Cleland,Cleland,J.B.,"Cleland, J.B.",,77785771,0000 0000 8271 8227,8608.0,17304-1,Cleland,,P000313b,1878.0,1971.0,,,http://www.wikidata.org/wiki/Q4223546,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8608,https://www.ipni.org/a/17304-1,,http://www.eoas.info/biogs/P000313b,http://adb.anu.edu.au/biography/cleland-sir-john-burton-5679
13,"Symon, D.E.",28373,1889.0,2011.0,122.0,"Symon, D.E.","Symon, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q5799961,David Eric Symon,Symon,D.E.,"Symon, D.E.",,58031223,0000 0000 2530 6998,49358,10358-1,Symon,,P006590b,1920.0,2011.0,,,http://www.wikidata.org/wiki/Q5799961,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=49358,https://www.ipni.org/a/10358-1,,http://www.eoas.info/biogs/P006590b,
14,"Cranfield, R.J.",28167,1941.0,2015.0,74.0,"Cranfield, R.J.","Cranfield, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q19263359,Raymond Jeffrey Cranfield,Cranfield,R.J.,"Cranfield, R.J.",,,,,36616-1,Cranfield,,,1947.0,,,,http://www.wikidata.org/wiki/Q19263359,,,https://www.ipni.org/a/36616-1,,,
15,"Stone, I.G.",25938,1940.0,1999.0,59.0,"Stone, I.G.","Stone, I.G.",1.0,1.0,http://www.wikidata.org/entity/Q6000720,Ilma Grace Stone,Stone,I.G.,"Stone, I.G.",,163909337,0000 0001 1247 4965,40174,27255-1,I.G.Stone,,,1913.0,2001.0,,,http://www.wikidata.org/wiki/Q6000720,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40174,https://www.ipni.org/a/27255-1,,,
20,"Clarkson, J.R.",23612,1930.0,2012.0,82.0,"Clarkson, J.R.","Clarkson, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q21392436,John Richard Clarkson,Clarkson,J.R.,"Clarkson, J.R.",,,,93047,14650-1,J.R.Clarkson,,,1950.0,,,,http://www.wikidata.org/wiki/Q21392436,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93047,https://www.ipni.org/a/14650-1,,,
21,"Jones, D.L.",22353,1941.0,2017.0,76.0,"Jones, D.L.","Jones, D.L.",1.0,1.0,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones,Jones,D.L.,"Jones, D.L.",,34558570,0000 0001 1053 0310,17797.0,4531-1,D.L.Jones,,,1944.0,,,,http://www.wikidata.org/wiki/Q1175070,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17797,https://www.ipni.org/a/4531-1,,,
26,"Bates, R.J.",19514,1918.0,2017.0,99.0,"Bates, R.J.","Bates, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q6109468,Robert J. Bates,Bates,R.J.,"Bates, R.J.",,,,65346,13250-1,R.J.Bates,,,1946.0,,,,http://www.wikidata.org/wiki/Q6109468,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=65346,https://www.ipni.org/a/13250-1,,,
28,"Ising, E.H.",18649,1818.0,2000.0,182.0,"Ising, E.H.","Ising, E.H.",1.0,1.0,http://www.wikidata.org/entity/Q21339865,Ernest Horace Ising,Ising,E.H.,"Ising, E.H.",,,,69290,4321-1,Ising,,,1884.0,1973.0,,,http://www.wikidata.org/wiki/Q21339865,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69290,https://www.ipni.org/a/4321-1,,,
29,"Keighery, G.J.",18312,1908.0,2016.0,108.0,"Keighery, G.J.","Keighery, G.J.",1.0,1.0,http://www.wikidata.org/entity/Q5885622,Gregory John Keighery,Keighery,G.J.,"Keighery, G.J.",,273450841,,7271,12184-1,Keighery,,,1950.0,,,,http://www.wikidata.org/wiki/Q5885622,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=7271,https://www.ipni.org/a/12184-1,,,
30,"Lazarides, M.",18170,1935.0,1992.0,57.0,"Lazarides, M.","Lazarides, M.",1.0,1.0,http://www.wikidata.org/entity/Q6012831,Michael Lazarides,Lazarides,M.,"Lazarides, M.",,,,38062,5361-1,Lazarides,Q6012831,P005675b,1928.0,2011.0,,,http://www.wikidata.org/wiki/Q6012831,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38062,https://www.ipni.org/a/5361-1,https://bloodhound-tracker.net/Q6012831,http://www.eoas.info/biogs/P005675b,
31,"Womersley, H.B.S.",17909,1648.0,2007.0,359.0,"Womersley, H.B.S.","Womersley, H.B.S.",1.0,1.0,http://www.wikidata.org/entity/Q21338083,Hugh Brian Spencer Womersley,Womersley,H.B.S.,"Womersley, H.B.S.",,119086888,0000 0000 8334 2006,70040.0,31820-1,Womersley,,P003504b,1922.0,2011.0,,,http://www.wikidata.org/wiki/Q21338083,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70040,https://www.ipni.org/a/31820-1,,http://www.eoas.info/biogs/P003504b,
33,"Kantvilas, G.",17621,1963.0,2020.0,57.0,"Kantvilas, G.","Kantvilas, G.",1.0,1.0,http://www.wikidata.org/entity/Q18986051,Gintaras Kantvilas,Kantvilas,G.,"Kantvilas, G.",0000-0002-3788-4562,71641994,,32387.0,21187-1,Kantvilas,,,1956.0,,,,http://www.wikidata.org/wiki/Q18986051,https://orcid.org/0000-0002-3788-4562,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=32387,https://www.ipni.org/a/21187-1,,,
37,"Hosking, J.R.",16622,1966.0,2018.0,52.0,"Hosking, J.R.","Hosking, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q21516084,John Robert Hosking,Hosking,J.R.,"Hosking, J.R.",,,,,39283-1,Hosking,,,1952.0,,,,http://www.wikidata.org/wiki/Q21516084,,,https://www.ipni.org/a/39283-1,,,
42,"Gardner, C.A.",15039,1898.0,2008.0,110.0,"Gardner, C.A.","Gardner, C.A.",1.0,1.0,http://www.wikidata.org/entity/Q2067524,Charles Austin Gardner,Gardner,C.A.,"Gardner, C.A.",,1379904,0000 0000 8191 8198,47851.0,3025-1,C.A.Gardner,Q2067524,P000431b,1896.0,1970.0,,,http://www.wikidata.org/wiki/Q2067524,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=47851,https://www.ipni.org/a/3025-1,https://bloodhound-tracker.net/Q2067524,http://www.eoas.info/biogs/P000431b,http://adb.anu.edu.au/biography/gardner-charles-austin-10275
43,"Eichler, Hj.",15014,1863.0,1993.0,130.0,"Eichler, Hj.","Eichler, H.",1.0,1.0,http://www.wikidata.org/entity/Q4530123,Hansjörg Eichler,Eichler,H.,"Eichler, H.",,32459507,0000 0000 6318 0476,111.0,2489-1,H.Eichler,Q4530123,P002340b,1916.0,1992.0,,,http://www.wikidata.org/wiki/Q4530123,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=111,https://www.ipni.org/a/2489-1,https://bloodhound-tracker.net/Q4530123,http://www.eoas.info/biogs/P002340b,
49,"Williams, J.B.",14534,1896.0,2014.0,118.0,"Williams, J.B.","Williams, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q5665348,John Beaumont Williams,Williams,J.B.,"Williams, J.B.",,91430974,0000 0000 7331 2313,,28789-1,J.B.Williams,,,1932.0,2005.0,,,http://www.wikidata.org/wiki/Q5665348,,,https://www.ipni.org/a/28789-1,,,
52,"Wilson, K.L.",13831,1926.0,2019.0,93.0,"Wilson, K.L.","Wilson, K.L.",1.0,1.0,http://www.wikidata.org/entity/Q5958129,Karen L. Wilson,Wilson,K.L.,"Wilson, K.L.",0000-0001-7419-8222,42021989,0000 0003 7409 927X,,12312-1,K.L.Wilson,,,1950.0,,,,http://www.wikidata.org/wiki/Q5958129,https://orcid.org/0000-0001-7419-8222,,https://www.ipni.org/a/12312-1,,,
53,"White, C.T.",13698,1904.0,2012.0,108.0,"White, C.T.","White, C.T.",1.0,1.0,http://www.wikidata.org/entity/Q685291,Cyril Tenison White,White,C.T.,"White, C.T.",,91618650,0000 0000 6542 8746,21351.0,11615-1,C.T.White,,P000887b,1890.0,1950.0,,,http://www.wikidata.org/wiki/Q685291,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=21351,https://www.ipni.org/a/11615-1,,http://www.eoas.info/biogs/P000887b,http://adb.anu.edu.au/biography/white-cyril-tenison-9069
57,"Latz, P.K.",13146,1967.0,2016.0,49.0,"Latz, P.K.","Latz, P.K.",1.0,1.0,http://www.wikidata.org/entity/Q21518413,Peter K. Latz,Latz,P.K.,"Latz, P.K.",,9116331,0000 0000 6384 1764,36654,35446-1,Latz,,,1941.0,,,,http://www.wikidata.org/wiki/Q21518413,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=36654,https://www.ipni.org/a/35446-1,,,
67,"Maiden, J.H.",12611,1807.0,2008.0,201.0,"Maiden, J.H.","Maiden, J.H.",1.0,1.0,http://www.wikidata.org/entity/Q2583058,J. H. Maiden,Maiden,J.H.,"Maiden, J.H.",,10242002,0000 0000 8089 8455,1315.0,5992-1,Maiden,,P001287b,1859.0,1925.0,,,http://www.wikidata.org/wiki/Q2583058,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1315,https://www.ipni.org/a/5992-1,,http://www.eoas.info/biogs/P001287b,http://adb.anu.edu.au/biography/maiden-joseph-henry-7463
68,"Boorman, J.L.",12416,1856.0,1992.0,136.0,"Boorman, J.L.","Boorman, J.L.",1.0,1.0,http://www.wikidata.org/entity/Q62088197,John Luke Boorman,Boorman,J.L.,"Boorman, J.L.",,,,20934,,,,P005201b,1864.0,1919.0,,,http://www.wikidata.org/wiki/Q62088197,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20934,,,http://www.eoas.info/biogs/P005201b,
69,"Filson, R.B.",12302,1933.0,2000.0,67.0,"Filson, R.B.","Filson, R.B.",1.0,1.0,http://www.wikidata.org/entity/Q21339388,Rex Bertram Filson,Filson,R.B.,"Filson, R.B.",,,,76762,18803-1,Filson,,P002347b,1930.0,,,,http://www.wikidata.org/wiki/Q21339388,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=76762,https://www.ipni.org/a/18803-1,,http://www.eoas.info/biogs/P002347b,
71,"Johnson, L.A.S.",12249,1906.0,1998.0,92.0,"Johnson, L.A.S.","Johnson, L.A.S.",1.0,1.0,http://www.wikidata.org/entity/Q3090721,Lawrence Alexander Sidney Johnson,Johnson,L.A.S.,"Johnson, L.A.S.",,91894237,,48794.0,4513-1,L.A.S.Johnson,,P003006b,1925.0,1997.0,,,http://www.wikidata.org/wiki/Q3090721,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48794,https://www.ipni.org/a/4513-1,,http://www.eoas.info/biogs/P003006b,
72,"Kenneally, K.F.",12190,1878.0,2008.0,130.0,"Kenneally, K.F.","Kenneally, K.F.",1.0,1.0,http://www.wikidata.org/entity/Q21392864,Kevin Francis Kenneally,Kenneally,K.F.,"Kenneally, K.F.",,,,,12486-1,Kenneally,,,1945.0,,,,http://www.wikidata.org/wiki/Q21392864,,,https://www.ipni.org/a/12486-1,,,
73,"Weber, J.Z.",12133,1874.0,2009.0,135.0,"Weber, J.Z.","Weber, J.Z.",1.0,1.0,http://www.wikidata.org/entity/Q21388163,Joseph Zvonko Weber,Weber,J.Z.,"Weber, J.Z.",,,,19063,13333-1,J.Z.Weber,,,1930.0,1996.0,,,http://www.wikidata.org/wiki/Q21388163,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=19063,https://www.ipni.org/a/13333-1,,,
76,"Brennan, K.",11842,1967.0,2020.0,53.0,"Brennan, K.","Brennan, K.",1.0,1.0,http://www.wikidata.org/entity/Q36603285,Kym Brennan,Brennan,K.,"Brennan, K.",,,,,20009918-1,Brennan,,,,,,,http://www.wikidata.org/wiki/Q36603285,,,https://www.ipni.org/a/20009918-1,,,
79,"Whibley, D.J.E.",11564,1907.0,1998.0,91.0,"Whibley, D.J.E.","Whibley, D.J.E.",1.0,1.0,http://www.wikidata.org/entity/Q21340718,David John Edward Whibley,Whibley,D.J.E.,"Whibley, D.J.E.",,,,,28708-1,Whibley,,,1936.0,2002.0,,,http://www.wikidata.org/wiki/Q21340718,,,https://www.ipni.org/a/28708-1,,,
81,"Jobson, P.C.",11106,1969.0,2017.0,48.0,"Jobson, P.C.","Jobson, P.C.",1.0,1.0,http://www.wikidata.org/entity/Q21391683,Peter C. Jobson,Jobson,P.C.,"Jobson, P.C.",,,,20908,38452-1,Jobson,,,1965.0,,,,http://www.wikidata.org/wiki/Q21391683,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20908,https://www.ipni.org/a/38452-1,,,
82,"Walsh, N.G.",11057,1894.0,2020.0,126.0,"Walsh, N.G.","Walsh, N.G.",1.0,1.0,http://www.wikidata.org/entity/Q6041421,Neville Grant Walsh,Walsh,N.G.,"Walsh, N.G.",,18877199,0000 0000 6385 4733,,14171-1,N.G.Walsh,,P005329b,1956.0,,,,http://www.wikidata.org/wiki/Q6041421,,,https://www.ipni.org/a/14171-1,,http://www.eoas.info/biogs/P005329b,
84,"Mitchell, A.A.",10906,1905.0,2017.0,112.0,"Mitchell, A.A.","Mitchell, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q36506183,A.A. Mitchell,Mitchell,A.A.,"Mitchell, A.A.",,,,,20003678-1,A.A.Mitch.,,,,,,,http://www.wikidata.org/wiki/Q36506183,,,https://www.ipni.org/a/20003678-1,,,
85,"Newbey, K.R.",10860,1931.0,1995.0,64.0,"Newbey, K.R.","Newbey, K.R.",1.0,1.0,http://www.wikidata.org/entity/Q6390524,Kenneth Raymond Newbey,Newbey,K.R.,"Newbey, K.R.",,75597859,0000 0000 6394 0471,,,,Q6390524,,1936.0,1988.0,,,http://www.wikidata.org/wiki/Q6390524,,,,https://bloodhound-tracker.net/Q6390524,,
86,"Burbidge, N.T.",10712,1891.0,1995.0,104.0,"Burbidge, N.T.","Burbidge, N.T.",1.0,1.0,http://www.wikidata.org/entity/Q6963048,Nancy Tyson Burbidge,Burbidge,N.T.,"Burbidge, N.T.",,50692273,0000 0000 6364 9588,23404,1287-1,N.T.Burb.,Q6963048,P002283b,1912.0,1977.0,,,http://www.wikidata.org/wiki/Q6963048,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23404,https://www.ipni.org/a/1287-1,https://bloodhound-tracker.net/Q6963048,http://www.eoas.info/biogs/P002283b,http://adb.anu.edu.au/biography/burbidge-nancy-tyson-9624
87,"Alcock, C.R.",10542,1922.0,2011.0,89.0,"Alcock, C.R.","Alcock, C.R.",1.0,1.0,http://www.wikidata.org/entity/Q21505035,Charles Raymond Alcock,Alcock,C.R.,"Alcock, C.R.",,,,,30757-1,Alcock,,,1921.0,,,,http://www.wikidata.org/wiki/Q21505035,,,https://www.ipni.org/a/30757-1,,,
88,"Dunlop, C.",10539,1908.0,2003.0,95.0,"Dunlop, C.","Dunlop, C.",1.0,1.0,http://www.wikidata.org/entity/Q13420116,Clyde Dunlop,Dunlop,C.,"Dunlop, C.",,279666372,,69477,13280-1,Dunlop,,P005245b,1946.0,,,,http://www.wikidata.org/wiki/Q13420116,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69477,https://www.ipni.org/a/13280-1,,http://www.eoas.info/biogs/P005245b,
89,"Briggs, B.G.",10428,1939.0,2019.0,80.0,"Briggs, B.G.","Briggs, B.G.",1.0,1.0,http://www.wikidata.org/entity/Q2356897,Barbara G. Briggs,Briggs,B.G.,"Briggs, B.G.",,312946682,,37457.0,1142-1,B.G.Briggs,,P005248b,1934.0,,,,http://www.wikidata.org/wiki/Q2356897,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=37457,https://www.ipni.org/a/1142-1,,http://www.eoas.info/biogs/P005248b,
91,"Albrecht, D.E.",10266,1900.0,2019.0,119.0,"Albrecht, D.E.","Albrecht, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q8354093,David Edward Albrecht,Albrecht,D.E.,"Albrecht, D.E.",,4256153184549027100009,,60179,14172-1,Albr.,,P005243b,1962.0,,,,http://www.wikidata.org/wiki/Q8354093,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60179,https://www.ipni.org/a/14172-1,,http://www.eoas.info/biogs/P005243b,
93,"Everist, S.L.",10126,1930.0,1984.0,54.0,"Everist, S.L.","Everist, S.L.",1.0,1.0,http://www.wikidata.org/entity/Q6124434,Selwyn Lawrence Everist,Everist,S.L.,"Everist, S.L.",,6512545,0000 0000 6370 7864,23142,2598-1,Everist,,P001232b,1913.0,1981.0,,,http://www.wikidata.org/wiki/Q6124434,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23142,https://www.ipni.org/a/2598-1,,http://www.eoas.info/biogs/P001232b,http://adb.anu.edu.au/biography/everist-selwyn-lawrence-12470
95,"Perry, R.A.",9831,1843.0,1984.0,141.0,"Perry, R.A.","Perry, R.A.",1.0,1.0,http://www.wikidata.org/entity/Q62086632,Rayden Alfred Perry,Perry,R.A.,"Perry, R.A.",,,,48778,,,,P004558b,1925.0,2004.0,,,http://www.wikidata.org/wiki/Q62086632,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48778,,,http://www.eoas.info/biogs/P004558b,
97,"Corrick, M.G.",9562,1935.0,2007.0,72.0,"Corrick, M.G.","Corrick, M.G.",1.0,1.0,http://www.wikidata.org/entity/Q21509106,Margaret Georgina Corrick,Corrick,M.G.,"Corrick, M.G.",,,,,12119-1,Corrick,,,1922.0,,,,http://www.wikidata.org/wiki/Q21509106,,,https://www.ipni.org/a/12119-1,,,
100,"Chippendale, G.M.",9137,1853.0,1994.0,141.0,"Chippendale, G.M.","Chippendale, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q5537873,George McCartney Chippendale,Chippendale,G.M.,"Chippendale, G.M.",,8631458,0000 0000 8423 5309,18250.0,1601-1,Chippend.,Q5537873,P005133b,1921.0,2010.0,,,http://www.wikidata.org/wiki/Q5537873,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18250,https://www.ipni.org/a/1601-1,https://bloodhound-tracker.net/Q5537873,http://www.eoas.info/biogs/P005133b,
101,"Wannan, B.S.",9064,1975.0,2018.0,43.0,"Wannan, B.S.","Wannan, B.S.",1.0,1.0,http://www.wikidata.org/entity/Q26714009,B.S. Wannan,Wannan,B.S.,"Wannan, B.S.",,,,63123,28557-1,Wannan,,,,,,,http://www.wikidata.org/wiki/Q26714009,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63123,https://www.ipni.org/a/28557-1,,,
105,"Smith, L.S.",9008,1854.0,1998.0,144.0,"Smith, L.S.","Smith, L.S.",1.0,1.0,http://www.wikidata.org/entity/Q2884481,Lindsay Stuart Smith,Smith,L.S.,"Smith, L.S.",,17145602339701360090,0000 0000 7267 0725,50060.0,9811-1,L.S.Sm.,,P000043b,1917.0,1970.0,,,http://www.wikidata.org/wiki/Q2884481,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=50060,https://www.ipni.org/a/9811-1,,http://www.eoas.info/biogs/P000043b,
109,"Irvine, A.K.",8698,1971.0,2000.0,29.0,"Irvine, A.K.","Irvine, A.K.",1.0,1.0,http://www.wikidata.org/entity/Q19950101,Anthony Kyle Irvine,Irvine,A.K.,"Irvine, A.K.",,,,,20734-1,A.K.Irvine,,,1937.0,,,,http://www.wikidata.org/wiki/Q19950101,,,https://www.ipni.org/a/20734-1,,,
112,"Powell, J.M.",8261,1953.0,1997.0,44.0,"Powell, J.M.","Powell, J.M.",1.0,1.0,http://www.wikidata.org/entity/Q21523165,Jocelyn Marie Powell,Powell,J.M.,"Powell, J.M.",,,,,12246-1,J.M.Powell,,,1939.0,,,,http://www.wikidata.org/wiki/Q21523165,,,https://www.ipni.org/a/12246-1,,,
114,"Helms, R.",8046,1841.0,1999.0,158.0,"Helms, R.","Helms, R.",1.0,1.0,http://www.wikidata.org/entity/Q19877827,Richard Helms,Helms,R.,"Helms, R.",,84145067250966630685,,23189.0,13290-1,Helms,,P000487b,1842.0,1914.0,,,http://www.wikidata.org/wiki/Q19877827,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23189,https://www.ipni.org/a/13290-1,,http://www.eoas.info/biogs/P000487b,http://adb.anu.edu.au/biography/helms-richard-3747
115,"Lothian, T.R.N.",8032,1904.0,1997.0,93.0,"Lothian, T.R.N.","Lothian, T.R.N.",1.0,1.0,http://www.wikidata.org/entity/Q17403916,Thomas Robert Noel Lothian,Lothian,T.R.N.,"Lothian, T.R.N.",,92084352,0000 0000 6442 1577,16941,5768-1,Lothian,,,1915.0,2004.0,,,http://www.wikidata.org/wiki/Q17403916,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=16941,https://www.ipni.org/a/5768-1,,,
120,"Ashby, A.M.",7312,1920.0,1984.0,64.0,"Ashby, A.M.","Ashby, A.M.",1.0,1.0,http://www.wikidata.org/entity/Q17000830,Alison Marjorie Ashby,Ashby,A.M.,"Ashby, A.M.",,94478522,,60384,13256-1,A.M.Ashby,,P001405b,1901.0,1987.0,,,http://www.wikidata.org/wiki/Q17000830,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60384,https://www.ipni.org/a/13256-1,,http://www.eoas.info/biogs/P001405b,http://adb.anu.edu.au/biography/ashby-alison-marjorie-12151
121,"Hubbard, C.E.",7289,1920.0,1981.0,61.0,"Hubbard, C.E.","Hubbard, C.E.",1.0,1.0,http://www.wikidata.org/entity/Q2353716,Charles Edward Hubbard,Hubbard,C.E.,"Hubbard, C.E.",,79104339,0000 0001 0918 991X,180.0,4192-1,C.E.Hubb.,,,1900.0,1980.0,,,http://www.wikidata.org/wiki/Q2353716,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=180,https://www.ipni.org/a/4192-1,,,
122,"Curtis, W.M.",7274,1862.0,2005.0,143.0,"Curtis, W.M.","Curtis, W.M.",1.0,1.0,http://www.wikidata.org/entity/Q452813,Winifred Mary Curtis,Curtis,W.M.,"Curtis, W.M.",,18025267,0000 0000 6369 563X,63894.0,1928-1,W.M.Curtis,Q452813,P003371b,1905.0,2005.0,,,http://www.wikidata.org/wiki/Q452813,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63894,https://www.ipni.org/a/1928-1,https://bloodhound-tracker.net/Q452813,http://www.eoas.info/biogs/P003371b,
124,"Gray, M.",6954,1935.0,2010.0,75.0,"Gray, M.","Gray, M.",1.0,1.0,http://www.wikidata.org/entity/Q21514232,Max Gray,Gray,M.,"Gray, M.",,,,37744,3356-1,M.Gray,,,1929.0,2015.0,,,http://www.wikidata.org/wiki/Q21514232,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=37744,https://www.ipni.org/a/3356-1,,,
125,"Fensham, R.J.",6907,1885.0,2019.0,134.0,"Fensham, R.J.","Fensham, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q26713354,R.J. Fensham,Fensham,R.J.,"Fensham, R.J.",,,,,39867-1,Fensham,,,,,,,http://www.wikidata.org/wiki/Q26713354,,,https://www.ipni.org/a/39867-1,,,
131,"Beard, J.S.",6815,1862.0,1998.0,136.0,"Beard, J.S.","Beard, J.S.",1.0,1.0,http://www.wikidata.org/entity/Q6258846,John Stanley Beard,Beard,J.S.,"Beard, J.S.",,6286693,0000 0000 6344 8444,7486,582-1,Beard,,,1916.0,2011.0,,,http://www.wikidata.org/wiki/Q6258846,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=7486,https://www.ipni.org/a/582-1,,,
132,"Booth, R.",6792,1963.0,2017.0,54.0,"Booth, R.","Booth, R.",1.0,1.0,http://www.wikidata.org/entity/Q33664819,R. Booth,Booth,R.,"Booth, R.",,,,,20016083-1,R.Booth,,,,,,,http://www.wikidata.org/wiki/Q33664819,,,https://www.ipni.org/a/20016083-1,,,
133,"Brass, L.J.",6774,1915.0,1998.0,83.0,"Brass, L.J.","Brass, L.J.",1.0,1.0,http://www.wikidata.org/entity/Q6525437,Leonard John Brass,Brass,L.J.,"Brass, L.J.",,55438493,0000 0000 2154 6863,10817,,,,P001390b,1900.0,1971.0,,,http://www.wikidata.org/wiki/Q6525437,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10817,,,http://www.eoas.info/biogs/P001390b,
