,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
888,"Crayn, D.M.",1022,1984.0,2018.0,34.0,"Crayn, D.M.","Crayn, D.M.",1.0,1.0,http://www.wikidata.org/entity/Q26713173,Darren M. Crayn,Crayn,D.M.,"Crayn, D.M.",,,,62877,38128-1,Crayn,,,,,,,http://www.wikidata.org/wiki/Q26713173,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=62877,https://www.ipni.org/a/38128-1,,,
889,"Croft, J.R.",1022,1948.0,2010.0,62.0,"Croft, J.R.","Croft, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q18983998,James R. Croft,Croft,J.R.,"Croft, J.R.",,,,,17533-1,J.R.Croft,,,1951.0,,,,http://www.wikidata.org/wiki/Q18983998,,,https://www.ipni.org/a/17533-1,,,
895,"Dahl, E.",1011,1960.0,1970.0,10.0,"Dahl, E.","Dahl, Å.E.",1.0,1.0,http://www.wikidata.org/entity/Q6174156,Åslög E. Dahl,Dahl,Å.E.,"Dahl, Å.E.",,271903913,0000 0003 8378 7752,,38798-1,Å.E.Dahl,,,1955.0,,,,http://www.wikidata.org/wiki/Q6174156,,,https://www.ipni.org/a/38798-1,,,
903,"Banks, J.",1007,1770.0,1993.0,223.0,"Banks, J.","Banks, J.",1.0,1.0,http://www.wikidata.org/entity/Q153408,Joseph Banks,Banks,J.,"Banks, J.",,46830189,0000 0001 2131 0954,300.0,448-1,Banks,Q153408,P000037b,1743.0,1820.0,,,http://www.wikidata.org/wiki/Q153408,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=300,https://www.ipni.org/a/448-1,https://bloodhound-tracker.net/Q153408,http://www.eoas.info/biogs/P000037b,http://adb.anu.edu.au/biography/banks-sir-joseph-1737
909,"Milligan, J.",1002,1807.0,1988.0,181.0,"Milligan, J.","Milligan, J.",1.0,1.0,http://www.wikidata.org/entity/Q24088012,Joseph Milligan,Milligan,J.,"Milligan, J.",,92264069,,28020,,,,P002156b,1807.0,1884.0,,,http://www.wikidata.org/wiki/Q24088012,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=28020,,,http://www.eoas.info/biogs/P002156b,http://adb.anu.edu.au/biography/milligan-joseph-2456
910,"Dwyer, J.W.",998,1904.0,1958.0,54.0,"Dwyer, J.W.","Dwyer, J.W.",1.0,1.0,http://www.wikidata.org/entity/Q1708242,Joseph Wilfrid Dwyer,Dwyer,J.W.,"Dwyer, J.W.",,,,,,,,P005240b,1869.0,1939.0,,,http://www.wikidata.org/wiki/Q1708242,,,,,http://www.eoas.info/biogs/P005240b,http://adb.anu.edu.au/biography/dwyer-joseph-wilfrid-6352
911,"Pellow, B.",997,1982.0,2016.0,34.0,"Pellow, B.","Pellow, B.",1.0,1.0,http://www.wikidata.org/entity/Q21522783,Belinda Pellow,Pellow,B.,"Pellow, B.",,,,65554,39523-1,Pellow,,,1956.0,,,,http://www.wikidata.org/wiki/Q21522783,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=65554,https://www.ipni.org/a/39523-1,,,
917,"Mollemans, F.H.",987,1981.0,2003.0,22.0,"Mollemans, F.H.","Mollemans, F.H.",1.0,1.0,http://www.wikidata.org/entity/Q26713241,F.H. Mollemans,Mollemans,F.H.,"Mollemans, F.H.",,,,,36048-1,Mollemans,,,,,,,http://www.wikidata.org/wiki/Q26713241,,,https://www.ipni.org/a/36048-1,,,
919,"Dowe, J.L.",985,1993.0,2017.0,24.0,"Dowe, J.L.","Dowe, J.L.",1.0,1.0,http://www.wikidata.org/entity/Q5933402,John Leslie Dowe,Dowe,J.L.,"Dowe, J.L.",,,,29957,36339-1,Dowe,,,1962.0,,,,http://www.wikidata.org/wiki/Q5933402,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=29957,https://www.ipni.org/a/36339-1,,,
920,"Sullivan, D.J.",985,1869.0,1897.0,28.0,"Sullivan, D.J.","Sullivan, D.J.",1.0,1.0,http://www.wikidata.org/entity/Q36541411,Derek J. Sullivan,Sullivan,D.J.,"Sullivan, D.J.",,,,,20003493-1,D.J.Sullivan,,,,,,,http://www.wikidata.org/wiki/Q36541411,,,https://www.ipni.org/a/20003493-1,,,
921,"Walters, N.E.M.",980,1947.0,1976.0,29.0,"Walters, N.E.M.","Walters, N.E.M.",1.0,1.0,http://www.wikidata.org/entity/Q21612108,Neville E.M. Walters,Walters,N.E.M.,"Walters, N.E.M.",,,,,28531-1,N.Walters,,,1916.0,2004.0,,,http://www.wikidata.org/wiki/Q21612108,,,https://www.ipni.org/a/28531-1,,,
924,"Holtze, M.W.",965,1867.0,1911.0,44.0,"Holtze, M.W.","Holtze, M.W.",1.0,1.0,http://www.wikidata.org/entity/Q6793541,Maurice William Holtze,Holtze,M.W.,"Holtze, M.W.",,28720157,0000 0000 6322 108X,11267,20034239-1,M.Holtze,,P001101b,1840.0,1923.0,,,http://www.wikidata.org/wiki/Q6793541,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11267,https://www.ipni.org/a/20034239-1,,http://www.eoas.info/biogs/P001101b,http://adb.anu.edu.au/biography/holtze-maurice-william-6720
927,"Horn, J.W.",964,1999.0,2001.0,2.0,"Horn, J.W.","Horn, J.W.",1.0,1.0,http://www.wikidata.org/entity/Q18985524,James W. Horn,Horn,J.W.,"Horn, J.W.",,,,,20015941-1,J.W.Horn,,,,,,,http://www.wikidata.org/wiki/Q18985524,,,https://www.ipni.org/a/20015941-1,,,
941,"Bancroft, T.L.",946,1855.0,1948.0,93.0,"Bancroft, T.L.","Bancroft, T.L.",1.0,1.0,http://www.wikidata.org/entity/Q21538805,Thomas Lane Bancroft,Bancroft,T.L.,"Bancroft, T.L.",,92744832,,,,,,P000979b,1860.0,1933.0,,,http://www.wikidata.org/wiki/Q21538805,,,,,http://www.eoas.info/biogs/P000979b,http://adb.anu.edu.au/biography/bancroft-thomas-lane-5120
951,"Ohlsen, D.J.",941,2006.0,2019.0,13.0,"Ohlsen, D.J.","Ohlsen, D.J.",1.0,1.0,http://www.wikidata.org/entity/Q26912975,Daniel J. Ohlsen,Ohlsen,D.J.,"Ohlsen, D.J.",,,,,20016740-1,D.J.Ohlsen,,,,,,,http://www.wikidata.org/wiki/Q26912975,,,https://www.ipni.org/a/20016740-1,,,
