,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
819,FOLSP,Frost-Olsen P.,Frost-Olsen,P.,,"Frost-Olsen, P.","Frost-Olsen, P.","Frost-Olsen, P.",0.0,1,http://www.wikidata.org/entity/Q26714396,Peter Frost-Olsen,Frost-Olsen,P.,"Frost-Olsen, P.",,,,,37528-1,Frost-Ols.,,,,,,
820,HUNZJ,Hunziker J.H.,Hunziker,J.H.,,"Hunziker, J.H.","Hunziker, J.H.","Hunziker, J.H.",0.0,1,http://www.wikidata.org/entity/Q5547748,Juan Héctor Hunziker,Hunziker,J.H.,"Hunziker, J.H.",,311395110,,11506.0,4240-1,J.H.Hunz.,Q5547748,,1925.0,2003.0,,
821,LINDD,Linder D.H.,Linder,David,Hunt,"Linder, D.H.","Linder, D.H.","Linder, D.H.",0.0,1,http://www.wikidata.org/entity/Q5800069,David Hunt Linder,Linder,D.H.,"Linder, D.H.",,,,2533.0,22375-1,Linder,Q5800069,,1899.0,1946.0,,
822,N012,Nattrass R.M.,Nattrass,R.M.,,"Nattrass, R.M.","Nattrass, R.M.","Nattrass, R.M.",0.0,1,http://www.wikidata.org/entity/Q21521997,Roland Marshall Nattrass,Nattrass,R.M.,"Nattrass, R.M.",,,,,6866-1,Nattrass,,,1895.0,,,
823,M080,Merny G.,Merny,G.,,"Merny, G.","Merny, G.","Merny, G.",0.0,1,http://www.wikidata.org/entity/Q36565445,G. Merny,Merny,G.,"Merny, G.",,,,65236,23290-1,Merny,,,,,,
824,NELME,Nelmes E.,Nelmes,E.,,"Nelmes, E.","Nelmes, E.","Nelmes, E.",0.0,1,http://www.wikidata.org/entity/Q18987018,Ernest Nelmes,Nelmes,E.,"Nelmes, E.",,287031408,0000 0003 9287 9376,18873,6902-1,Nelmes,,,1895.0,1959.0,,
825,H092,Holway E.W.D.,Holway,Edward,Willet Dorland,"Holway, E.W.D.","Holway, E.W.D.","Holway, E.W.D.",0.0,1,http://www.wikidata.org/entity/Q16509052,Edward Willet Dorland Holway,Holway,E.W.D.,"Holway, E.W.D.",,210314984,0000 0004 3977 0109,1071.0,4066-1,Holw.,Q16509052,,1853.0,1923.0,,
826,LANGUI,Guilding L.,Guilding,Lansdown,,"Guilding, L.","Guilding, L.","Guilding, L.",0.0,1,http://www.wikidata.org/entity/Q2496918,Lansdown Guilding,Guilding,L.,"Guilding, L.",,53904924,,,3462-1,Guilding,,,1797.0,1831.0,,
827,PADST,Padulosi S.,Padulosi,Stefano,,"Padulosi, S.","Padulosi, S.","Padulosi, S.",0.0,1,http://www.wikidata.org/entity/Q36680968,S. Padulosi,Padulosi,S.,"Padulosi, S.",,,,,36353-1,Padulosi,,,,,,
828,S057,Samson R.A.,Samson,R.A.,,"Samson, R.A.","Samson, R.A.","Samson, R.A.",0.0,1,http://www.wikidata.org/entity/Q2164545,Robert Archibald Samson,Samson,R.A.,"Samson, R.A.",,71450636,0000 0001 1769 4385,77079.0,26063-1,Samson,,,1946.0,,,
829,HOLUE,Holub Emil,Holub,Emil,,"Holub, E.","Holub, E.","Holub, E.",0.0,1,http://www.wikidata.org/entity/Q78732,Emil Holub,Holub,E.,"Holub, E.",,27367745,0000 0001 0882 4803,24967.0,,,,,1847.0,1902.0,,
830,SOUSM,Sousa M.,Sousa,Mario,,"Sousa, M.","Sousa, M.","Sousa, M.",0.0,1,http://www.wikidata.org/entity/Q13432609,Mario Sousa,Sousa,M.,"Sousa, M.",,291042680,,2797,27038-1,M.Sousa,,,1940.0,2017.0,,
831,WYDLH,Wydler H.,Wydler,Heinrich,,"Wydler, H.","Wydler, H.","Wydler, H.",0.0,1,http://www.wikidata.org/entity/Q117245,Heinrich Wydler,Wydler,H.,"Wydler, H.",,13082777,0000 0000 7983 6484,36015.0,11912-1,Wydler,,,1800.0,1883.0,,
832,ANDEC,Anderson C.W.,Anderson,C.W.,,"Anderson, C.W.","Anderson, C.W.","Anderson, C.W.",0.0,1,http://www.wikidata.org/entity/Q21536564,Colin Warden Anderson,Anderson,C.W.,"Anderson, C.W.",,,,,,,,P004936b,1901.0,1988.0,,
833,HANSO,Hansen O.J.,Hansen,O.J.,,"Hansen, O.J.","Hansen, O.J.","Hansen, O.J.",0.0,1,http://www.wikidata.org/entity/Q21514644,Ove Juel Hansen,Hansen,O.J.,"Hansen, O.J.",,,,,3634-1,O.J.Hansen,,,1945.0,,,
834,RMSMX,Ramos M.,Ramos,Maximo,,"Ramos, M.","Ramos, M.","Ramos, M.",0.0,1,http://www.wikidata.org/entity/Q25443685,Manuela Ramos,Ramos,M.,"Ramos, M.",,,,,,,,,,,,
835,HPPER,Hepp E.,Hepp,Ernst,,"Hepp, E.","Hepp, E.","Hepp, E.",0.0,1,http://www.wikidata.org/entity/Q1358617,Ernst Hepp,Hepp,E.,"Hepp, E.",,26145067032366630586,,72198.0,20207-1,E.Hepp,,,1878.0,1968.0,,
836,KILLE1,Killip E.P.,Killip,Ellsworth,Paine,"Killip, E.P.","Killip, E.P.","Killip, E.P.",0.0,1,http://www.wikidata.org/entity/Q49426,Ellsworth Paine Killip,Killip,E.P.,"Killip, E.P.",,296484260,0000 0004 0171 7783,1462.0,4790-1,Killip,Q49426,,1890.0,1968.0,,
837,REYNM,Reynders M.,Reynders,Marcel,,"Reynders, M.","Reynders, M.","Reynders, M.",0.0,1,http://www.wikidata.org/entity/Q26713084,Marc Reynders,Reynders,M.,"Reynders, M.",,,,,20008563-2,Reynders,,,,,,
838,RNDMR,Reynders M.,Reynders,Marc,,"Reynders, M.","Reynders, M.","Reynders, M.",0.0,1,http://www.wikidata.org/entity/Q26713084,Marc Reynders,Reynders,M.,"Reynders, M.",,,,,20008563-2,Reynders,,,,,,
839,LDHSA,Lodhi S.A.,Lodhi,Sher,Ahmed,"Lodhi, S.A.","Lodhi, S.A.","Lodhi, S.A.",0.0,1,http://www.wikidata.org/entity/Q47121488,S.A. Lodhi,Lodhi,S.A.,"Lodhi, S.A.",,,,63440,22485-1,Lodhi,,,,,,
840,STEAW,Stearn W.T.,Stearn,William,Thomas,"Stearn, W.T.","Stearn, W.T.","Stearn, W.T.",0.0,1,http://www.wikidata.org/entity/Q1484289,William T. Stearn,Stearn,W.T.,"Stearn, W.T.",,98793806,0000 0001 1031 6437,1227.0,10044-1,Stearn,,,1911.0,2001.0,,
841,LEEUA,Leeuwenberg A.J.M.,Leeuwenberg,Antonius,Josephus Maria,"Leeuwenberg, A.J.M.","Leeuwenberg, A.J.M.","Leeuwenberg, A.J.M.",0.0,1,http://www.wikidata.org/entity/Q4260321,Anthonius Josephus Maria Leeuwenberg,Leeuwenberg,A.J.M.,"Leeuwenberg, A.J.M.",,,,1196.0,5412-1,Leeuwenb.,,,1930.0,2010.0,,
842,CHAP1,Chapelier L.A.,Chapelier,Louis,Armand,"Chapelier, L.A.","Chapelier, L.A.","Chapelier, L.A.",0.0,1,http://www.wikidata.org/entity/Q5483561,Louis Armand Chapelier,Chapelier,L.A.,"Chapelier, L.A.",,,,46358.0,35673-1,Chapel.,,,1779.0,1802.0,,
843,AGUIA,Aguilella A.,Aguilella,A.,,"Aguilella, A.","Aguilella, A.","Aguilella, A.",0.0,1,http://www.wikidata.org/entity/Q8201028,Antoni Aguilella,Aguilella,A.,"Aguilella, A.",,87610410,0000 0000 7827 6251,7197,30687-1,Aguil.,,,1956.0,,,
844,N201,Norlindh N.T.,Norlindh,Nils,Tycho,"Norlindh, N.T.","Norlindh, N.T.","Norlindh, N.T.",0.0,1,http://www.wikidata.org/entity/Q6016999,Nils Tycho Norlindh,Norlindh,N.T.,"Norlindh, N.T.",,50264261,0000 0000 5487 8266,434,7033-1,Norl.,,,1906.0,1995.0,,
845,ENWAK,Enwald K.H.,Enwald,K.H.,,"Enwald, K.H.","Enwald, K.H.","Enwald, K.H.",0.0,1,http://www.wikidata.org/entity/Q36604201,Kurt H. Enwald,Enwald,K.H.,"Enwald, K.H.",,,,15821,33040-1,Enwald,,,,,,
846,PNC,Poncy Odile,Poncy,Odile,,"Poncy, O.","Poncy, O.","Poncy, O.",0.0,1,http://www.wikidata.org/entity/Q21341306,Odile Poncy,Poncy,O.,"Poncy, O.",,18681972,0000 0000 3510 8063,66108,24984-1,Poncy,,,1950.0,,,
847,C777,Carr C.E.,Carr,Cedric,Errol,"Carr, C.E.","Carr, C.E.","Carr, C.E.",0.0,1,http://www.wikidata.org/entity/Q3281323,Cedric Errol Carr,Carr,C.E.,"Carr, C.E.",,,,63492.0,1413-1,Carr,,,1892.0,1936.0,,
848,MENZA,Menzies A.,Menzies,A.,,"Menzies, A.","Menzies, A.","Menzies, A.",0.0,1,http://www.wikidata.org/entity/Q633378,Archibald Menzies,Menzies,A.,"Menzies, A.",,77126425,0000 0000 5068 0877,16644.0,23275-1,Menzies,Q633378,P000636b,1754.0,1842.0,,
849,MLSCS,Malos C.,Malos,Constantin,,"Malos, C.","Malos, C.","Malos, C.",0.0,1,http://www.wikidata.org/entity/Q5784452,Constantin Malos,Malos,C.,"Malos, C.",,,,31709,6039-1,Malos,,,1933.0,,,
