,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
1,21939,Wilson,F.R.M.,,496,1882.0,1908.0,"Wilson, F.R.M.","Wilson, F.R.M.","Wilson, F.R.M.",1.0,1.0,http://www.wikidata.org/entity/Q5482813,Francis Robert Muter Wilson,Wilson,F.R.M.,"Wilson, F.R.M.",,279155284798087060699,,62394.0,11733-1,F.Wilson,,P005525b,1832.0,1903.0,,,http://www.wikidata.org/wiki/Q5482813,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=62394,https://www.ipni.org/a/11733-1,,http://www.eoas.info/biogs/P005525b,
8,21501,Weymouth,W.A.,,481,1811.0,1921.0,"Weymouth, W.A.","Weymouth, W.A.","Weymouth, W.A.",1.0,1.0,http://www.wikidata.org/entity/Q21612552,William Anderson Weymouth,Weymouth,W.A.,"Weymouth, W.A.",,,,33070,11600-1,Weymouth,,,1842.0,1928.0,,,http://www.wikidata.org/wiki/Q21612552,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33070,https://www.ipni.org/a/11600-1,,,
9,2039,Boorman,J.L.,John Luke,478,1896.0,1966.0,"Boorman, J.L.","Boorman, J.L.","Boorman, J.L.",1.0,1.0,http://www.wikidata.org/entity/Q62088197,John Luke Boorman,Boorman,J.L.,"Boorman, J.L.",,,,20934,,,,P005201b,1864.0,1919.0,,,http://www.wikidata.org/wiki/Q62088197,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20934,,,http://www.eoas.info/biogs/P005201b,
20,17167,Rogers,R.W.,,464,1960.0,1988.0,"Rogers, R.W.","Rogers, R.W.","Rogers, R.W.",1.0,1.0,http://www.wikidata.org/entity/Q21387939,Roderick Westgarth Rogers,Rogers,R.W.,"Rogers, R.W.",,,,,25728-1,R.W.Rogers,,,1944.0,,,,http://www.wikidata.org/wiki/Q21387939,,,https://www.ipni.org/a/25728-1,,,
22,18381,Short,C.W.,Charles Wilkins,457,1812.0,1878.0,"Short, C.W.","Short, C.W.","Short, C.W.",1.0,1.0,http://www.wikidata.org/entity/Q15474732,Charles Wilkins Short,Short,C.W.,"Short, C.W.",,157145067409666631069,0000 0004 5453 6820,20123.0,9591-1,Short,,,1794.0,1863.0,,,http://www.wikidata.org/wiki/Q15474732,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20123,https://www.ipni.org/a/9591-1,,,
24,7848,Gray,M.,,456,1951.0,2010.0,"Gray, M.","Gray, M.","Gray, M.",1.0,1.0,http://www.wikidata.org/entity/Q21514232,Max Gray,Gray,M.,"Gray, M.",,,,37744,3356-1,M.Gray,,,1929.0,2015.0,,,http://www.wikidata.org/wiki/Q21514232,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=37744,https://www.ipni.org/a/3356-1,,,
25,19704,Tate,R.,Ralph,456,1863.0,1997.0,"Tate, R.","Tate, R.","Tate, R.",1.0,1.0,http://www.wikidata.org/entity/Q7288153,Ralph Tate,Tate,R.,"Tate, R.",,15134454,0000 0000 8094 8264,8348.0,10443-1,Tate,,P000164b,1840.0,1901.0,,,http://www.wikidata.org/wiki/Q7288153,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8348,https://www.ipni.org/a/10443-1,,http://www.eoas.info/biogs/P000164b,http://adb.anu.edu.au/biography/tate-ralph-4688
31,17116,Rodd,A.N.,,450,1965.0,1993.0,"Rodd, A.N.","Rodd, A.N.","Rodd, A.N.",1.0,1.0,http://www.wikidata.org/entity/Q5696967,Anthony N. Rodd,Rodd,A.N.,"Rodd, A.N.",,277761673,0000 0001 1054 2207,,38455-1,Rodd,,,1940.0,,,,http://www.wikidata.org/wiki/Q5696967,,,https://www.ipni.org/a/38455-1,,,
35,6207,Everist,S.L.,,446,1934.0,1976.0,"Everist, S.L.","Everist, S.L.","Everist, S.L.",1.0,1.0,http://www.wikidata.org/entity/Q6124434,Selwyn Lawrence Everist,Everist,S.L.,"Everist, S.L.",,6512545,0000 0000 6370 7864,23142,2598-1,Everist,,P001232b,1913.0,1981.0,,,http://www.wikidata.org/wiki/Q6124434,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23142,https://www.ipni.org/a/2598-1,,http://www.eoas.info/biogs/P001232b,http://adb.anu.edu.au/biography/everist-selwyn-lawrence-12470
36,13104,McCarthy,P.M.,Pat,445,1982.0,2008.0,"McCarthy, P.M.","McCarthy, P.M.","McCarthy, P.M.",1.0,1.0,http://www.wikidata.org/entity/Q21388621,Patrick Martin McCarthy,McCarthy,P.M.,"McCarthy, P.M.",,2718112,0000 0001 1586 482X,,14572-1,P.M.McCarthy,,,1955.0,,,,http://www.wikidata.org/wiki/Q21388621,,,https://www.ipni.org/a/14572-1,,,
