,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
37,17437,Rule,K.,Kevin,445,1983.0,2015.0,"Rule, K.","Rule, K.","Rule, K.",1.0,1.0,http://www.wikidata.org/entity/Q19001604,K. Rule,Rule,K.,"Rule, K.",,,,3909,37010-1,Rule,,,,,,,http://www.wikidata.org/wiki/Q19001604,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=3909,https://www.ipni.org/a/37010-1,,,
38,8611,Hart,T.S.,,444,1892.0,1952.0,"Hart, T.S.","Hart, T.S.","Hart, T.S.",1.0,1.0,http://www.wikidata.org/entity/Q21558872,Thomas Stephen Hart,Hart,T.S.,"Hart, T.S.",,,,,,,,P000480b,1871.0,1960.0,,,http://www.wikidata.org/wiki/Q21558872,,,,,http://www.eoas.info/biogs/P000480b,http://adb.anu.edu.au/biography/hart-thomas-stephen-6591
40,5100,Davis,M.,,443,1917.0,1990.0,"Davis, M.","Davis, M.","Davis, M.",1.0,1.0,http://www.wikidata.org/entity/Q55147355,Mildred Davis,Davis,M.,"Davis, M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q55147355,,,,,,
41,4908,Daintree,R.,Richard,441,1869.0,1869.0,"Daintree, R.","Daintree, R.","Daintree, R.",1.0,1.0,http://www.wikidata.org/entity/Q7325074,Richard Daintree,Daintree,R.,"Daintree, R.",,30946999,0000 0000 6705 3765,,,,,P000343b,1832.0,1878.0,,,http://www.wikidata.org/wiki/Q7325074,,,,,http://www.eoas.info/biogs/P000343b,http://adb.anu.edu.au/biography/daintree-richard-3350
48,19598,Symon,D.E.,,440,1952.0,2011.0,"Symon, D.E.","Symon, D.E.","Symon, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q5799961,David Eric Symon,Symon,D.E.,"Symon, D.E.",,58031223,0000 0000 2530 6998,49358,10358-1,Symon,,P006590b,1920.0,2011.0,,,http://www.wikidata.org/wiki/Q5799961,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=49358,https://www.ipni.org/a/10358-1,,http://www.eoas.info/biogs/P006590b,
53,2136,Bourgeau,E.,Eugène,424,1841.0,1955.0,"Bourgeau, E.","Bourgeau, E.","Bourgeau, E.",1.0,1.0,http://www.wikidata.org/entity/Q1276362,Eugène Bourgeau,Bourgeau,E.,"Bourgeau, E.",,316739984,,47763.0,1032-1,Bourg.,,,1813.0,1877.0,,,http://www.wikidata.org/wiki/Q1276362,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=47763,https://www.ipni.org/a/1032-1,,,
54,8164,Gunn,R.C.,,423,1832.0,1872.0,"Gunn, R.C.","Gunn, R.C.","Gunn, R.C.",1.0,1.0,http://www.wikidata.org/entity/Q4133320,Robert Campbell Gunn,Gunn,R.C.,"Gunn, R.C.",,160916758,,8192.0,3482-1,Gunn,,P000465b,1808.0,1881.0,,,http://www.wikidata.org/wiki/Q4133320,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8192,https://www.ipni.org/a/3482-1,,http://www.eoas.info/biogs/P000465b,http://adb.anu.edu.au/biography/gunn-ronald-campbell-2134
55,20243,Trappe,J.M.,James,423,1962.0,2006.0,"Trappe, J.M.","Trappe, J.M.","Trappe, J.M.",1.0,1.0,http://www.wikidata.org/entity/Q21610934,James M. Trappe,Trappe,J.M.,"Trappe, J.M.",,,,,10791-1,Trappe,,,1931.0,,,,http://www.wikidata.org/wiki/Q21610934,,,https://www.ipni.org/a/10791-1,,,
56,29542,Verbruggen,H.,Heroen,421,2014.0,2016.0,"Verbruggen, H.","Verbruggen, H.","Verbruggen, H.",1.0,1.0,http://www.wikidata.org/entity/Q37384383,Heroen Verbruggen,Verbruggen,H.,"Verbruggen, H.",0000-0002-6305-4749,,,,,,,,,,,,http://www.wikidata.org/wiki/Q37384383,https://orcid.org/0000-0002-6305-4749,,,,,
57,22445,Zollinger,H.,Heinrich,421,1842.0,1846.0,"Zollinger, H.","Zollinger, H.","Zollinger, H.",1.0,1.0,http://www.wikidata.org/entity/Q124330,Heinrich Zollinger,Zollinger,H.,"Zollinger, H.",,20446060,0000 0000 2636 8912,918.0,12060-1,Zoll.,,,1818.0,1859.0,,,http://www.wikidata.org/wiki/Q124330,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=918,https://www.ipni.org/a/12060-1,,,
58,21298,Weber,W.A.,William,420,1954.0,1988.0,"Weber, W.A.","Weber, W.A.","Weber, W.A.",1.0,1.0,http://www.wikidata.org/entity/Q4105706,William Alfred Weber,Weber,W.A.,"Weber, W.A.",,266617358,0000 0000 8407 4218,93988.0,11471-1,W.A.Weber,,,1918.0,2020.0,,,http://www.wikidata.org/wiki/Q4105706,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93988,https://www.ipni.org/a/11471-1,,,
64,12228,Luehmann,J.G.W.,,409,1840.0,1899.0,"Luehmann, J.G.W.","Luehmann, J.G.W.","Luehmann, J.G.W.",1.0,1.0,http://www.wikidata.org/entity/Q5932934,Johann George W. Luehmann,Luehmann,J.G.W.,"Luehmann, J.G.W.",,,,,5817-1,Luehm.,,P001508b,1843.0,1904.0,,,http://www.wikidata.org/wiki/Q5932934,,,https://www.ipni.org/a/5817-1,,http://www.eoas.info/biogs/P001508b,
65,10387,Johnson,R.W.,Robert,408,1952.0,1998.0,"Johnson, R.W.","Johnson, R.W.","Johnson, R.W.",1.0,1.0,http://www.wikidata.org/entity/Q21505765,Robert William Johnson,Johnson,R.W.,"Johnson, R.W.",,,,45804,21024-1,R.W.Johnson,,,1930.0,2012.0,,,http://www.wikidata.org/wiki/Q21505765,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=45804,https://www.ipni.org/a/21024-1,,,
66,7193,Gardner,C.A.,,407,1916.0,1984.0,"Gardner, C.A.","Gardner, C.A.","Gardner, C.A.",1.0,1.0,http://www.wikidata.org/entity/Q2067524,Charles Austin Gardner,Gardner,C.A.,"Gardner, C.A.",,1379904,0000 0000 8191 8198,47851.0,3025-1,C.A.Gardner,Q2067524,P000431b,1896.0,1970.0,,,http://www.wikidata.org/wiki/Q2067524,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=47851,https://www.ipni.org/a/3025-1,https://bloodhound-tracker.net/Q2067524,http://www.eoas.info/biogs/P000431b,http://adb.anu.edu.au/biography/gardner-charles-austin-10275
68,6215,Ewart,A.J.,,406,1897.0,1930.0,"Ewart, A.J.","Ewart, A.J.","Ewart, A.J.",1.0,1.0,http://www.wikidata.org/entity/Q614703,Alfred James Ewart,Ewart,A.J.,"Ewart, A.J.",,60591740,0000 0000 8245 4006,2671.0,2605-1,Ewart,,P001064b,1872.0,1937.0,,,http://www.wikidata.org/wiki/Q614703,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2671,https://www.ipni.org/a/2605-1,,http://www.eoas.info/biogs/P001064b,http://adb.anu.edu.au/biography/ewart-alfred-james-6124
71,8252,Haegi,L.,Laurie,401,1972.0,1993.0,"Haegi, L.","Haegi, L.","Haegi, L.",1.0,1.0,http://www.wikidata.org/entity/Q5971806,Laurence Haegi,Haegi,L.,"Haegi, L.",,,,79775,13662-1,Haegi,,,1952.0,,,,http://www.wikidata.org/wiki/Q5971806,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=79775,https://www.ipni.org/a/13662-1,,,
72,20384,Turner,B.L.,,400,1956.0,1965.0,"Turner, B.L.","Turner, B.L.","Turner, B.L.",1.0,1.0,http://www.wikidata.org/entity/Q4468157,Billie Lee Turner,Turner,B.L.,"Turner, B.L.",,93100142,0000 0001 0998 5270,,10915-1,B.L.Turner,,,1925.0,,,,http://www.wikidata.org/wiki/Q4468157,,,https://www.ipni.org/a/10915-1,,,
74,3351,Casanova,M.T.,Michelle,399,1987.0,2017.0,"Casanova, M.T.","Casanova, M.T.","Casanova, M.T.",1.0,1.0,http://www.wikidata.org/entity/Q36621784,Michelle T. Casanova,Casanova,M.T.,"Casanova, M.T.",,,,64553,20023647-1,Casanova,,,,,,,http://www.wikidata.org/wiki/Q36621784,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=64553,https://www.ipni.org/a/20023647-1,,,
76,10671,Keighery,G.J.,Greg,396,1973.0,2016.0,"Keighery, G.J.","Keighery, G.J.","Keighery, G.J.",1.0,1.0,http://www.wikidata.org/entity/Q5885622,Gregory John Keighery,Keighery,G.J.,"Keighery, G.J.",,273450841,,7271,12184-1,Keighery,,,1950.0,,,,http://www.wikidata.org/wiki/Q5885622,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=7271,https://www.ipni.org/a/12184-1,,,
88,22586,Drège,J.F.,,391,1826.0,2003.0,"Drège, J.F.","Drège, J.F.","Drège, J.F.",1.0,1.0,http://www.wikidata.org/entity/Q6215799,Johann Franz Drège,Drège,J.F.,"Drège, J.F.",,40549657,0000 0000 2299 5388,511.0,18196-1,Drège,Q6215799,,1794.0,1881.0,,,http://www.wikidata.org/wiki/Q6215799,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=511,https://www.ipni.org/a/18196-1,https://bloodhound-tracker.net/Q6215799,,
90,16910,Ridley,H.N.,Henry Nicolas,390,1884.0,1999.0,"Ridley, H.N.","Ridley, H.N.","Ridley, H.N.",1.0,1.0,http://www.wikidata.org/entity/Q733709,Henry Nicholas Ridley,Ridley,H.N.,"Ridley, H.N.",,112649465,0000 0000 8410 0076,30224.0,8381-1,Ridl.,,,1855.0,1956.0,,,http://www.wikidata.org/wiki/Q733709,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30224,https://www.ipni.org/a/8381-1,,,
100,2048,Booth,R.,,387,1991.0,2016.0,"Booth, R.","Booth, R.","Booth, R.",1.0,1.0,http://www.wikidata.org/entity/Q33664819,R. Booth,Booth,R.,"Booth, R.",,,,,20016083-1,R.Booth,,,,,,,http://www.wikidata.org/wiki/Q33664819,,,https://www.ipni.org/a/20016083-1,,,
105,21639,Whitelegge,T.,,383,1875.0,1985.0,"Whitelegge, T.","Whitelegge, T.","Whitelegge, T.",1.0,1.0,http://www.wikidata.org/entity/Q21341001,Thomas Whitelegge,Whitelegge,T.,"Whitelegge, T.",,305803354,0000 0003 6687 3229,4815,28728-1,Whitel.,,P000894b,1850.0,1927.0,,,http://www.wikidata.org/wiki/Q21341001,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=4815,https://www.ipni.org/a/28728-1,,http://www.eoas.info/biogs/P000894b,http://adb.anu.edu.au/biography/whitelegge-thomas-9081
106,14611,Nee,M.,Michael,381,1974.0,2007.0,"Nee, M.","Nee, M.","Nee, M.",1.0,1.0,http://www.wikidata.org/entity/Q6012855,Michael Nee,Nee,M.,"Nee, M.",,161767611,0000 0004 4458 1601,12229.0,13396-1,M.Nee,,,1947.0,,,,http://www.wikidata.org/wiki/Q6012855,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=12229,https://www.ipni.org/a/13396-1,,,
118,13747,Mill,J.S.,John Stuart,376,1820.0,1872.0,"Mill, J.S.","Mill, J.S.","Mill, J.S.",1.0,1.0,http://www.wikidata.org/entity/Q50020,John Stuart Mill,Mill,J.S.,"Mill, J.S.",,100189299,0000 0001 2145 1271,15209.0,,,,,1806.0,1873.0,,,http://www.wikidata.org/wiki/Q50020,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=15209,,,,
119,11879,Leybold,F.,Friedrich,375,1833.0,1883.0,"Leybold, F.","Leybold, F.","Leybold, F.",1.0,1.0,http://www.wikidata.org/entity/Q71523,Friedrich Leybold,Leybold,F.,"Leybold, F.",,57380458,0000 0000 1031 2578,2427.0,5548-1,Leyb.,,,1827.0,1879.0,,,http://www.wikidata.org/wiki/Q71523,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2427,https://www.ipni.org/a/5548-1,,,
128,915,Banks,J.,Joseph,372,1768.0,1993.0,"Banks, J.","Banks, J.","Banks, J.",1.0,1.0,http://www.wikidata.org/entity/Q153408,Joseph Banks,Banks,J.,"Banks, J.",,46830189,0000 0001 2131 0954,300.0,448-1,Banks,Q153408,P000037b,1743.0,1820.0,,,http://www.wikidata.org/wiki/Q153408,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=300,https://www.ipni.org/a/448-1,https://bloodhound-tracker.net/Q153408,http://www.eoas.info/biogs/P000037b,http://adb.anu.edu.au/biography/banks-sir-joseph-1737
132,7453,Giles,C.,Christopher,368,1870.0,1975.0,"Giles, C.","Giles, C.","Giles, C.",1.0,1.0,http://www.wikidata.org/entity/Q24089980,Clement Giles,Giles,C.,"Giles, C.",,,,,,,,,1844.0,1926.0,,,http://www.wikidata.org/wiki/Q24089980,,,,,,http://adb.anu.edu.au/biography/giles-clement-6380
133,5983,Eichler,J.,,368,1977.0,2014.0,"Eichler, J.","Eichler, J.","Eichler, J.",1.0,1.0,http://www.wikidata.org/entity/Q21511599,Julius Eichler,Eichler,J.,"Eichler, J.",,35235727,,,20000048-2,J.Eichler,,,1859.0,1929.0,,,http://www.wikidata.org/wiki/Q21511599,,,https://www.ipni.org/a/20000048-2,,,
136,1408,Behr,H.H.,,363,1823.0,1850.0,"Behr, H.H.","Behr, H.H.","Behr, H.H.",1.0,1.0,http://www.wikidata.org/entity/Q66934,Hans Hermann Behr,Behr,H.H.,"Behr, H.H.",,20328622,0000 0001 1604 8680,2021.0,619-1,Behr,,P005173b,1818.0,1904.0,,,http://www.wikidata.org/wiki/Q66934,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2021,https://www.ipni.org/a/619-1,,http://www.eoas.info/biogs/P005173b,
137,566,Ashby,A.M.,,361,1939.0,1977.0,"Ashby, A.M.","Ashby, A.M.","Ashby, A.M.",1.0,1.0,http://www.wikidata.org/entity/Q17000830,Alison Marjorie Ashby,Ashby,A.M.,"Ashby, A.M.",,94478522,,60384,13256-1,A.M.Ashby,,P001405b,1901.0,1987.0,,,http://www.wikidata.org/wiki/Q17000830,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60384,https://www.ipni.org/a/13256-1,,http://www.eoas.info/biogs/P001405b,http://adb.anu.edu.au/biography/ashby-alison-marjorie-12151
138,14485,Musson,C.T.,Charles Tucker,361,1889.0,1916.0,"Musson, C.T.","Musson, C.T.","Musson, C.T.",1.0,1.0,http://www.wikidata.org/entity/Q55068982,Charles Tucker Musson,Musson,C.T.,"Musson, C.T.",,,,43262.0,,,,,1856.0,1928.0,,,http://www.wikidata.org/wiki/Q55068982,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43262,,,,
144,2786,Burbidge,N.T.,Nancy Tyson,359,1935.0,1973.0,"Burbidge, N.T.","Burbidge, N.T.","Burbidge, N.T.",1.0,1.0,http://www.wikidata.org/entity/Q6963048,Nancy Tyson Burbidge,Burbidge,N.T.,"Burbidge, N.T.",,50692273,0000 0000 6364 9588,23404,1287-1,N.T.Burb.,Q6963048,P002283b,1912.0,1977.0,,,http://www.wikidata.org/wiki/Q6963048,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23404,https://www.ipni.org/a/1287-1,https://bloodhound-tracker.net/Q6963048,http://www.eoas.info/biogs/P002283b,http://adb.anu.edu.au/biography/burbidge-nancy-tyson-9624
147,12180,Lowrie,A.,Allen,356,1983.0,2014.0,"Lowrie, A.","Lowrie, A.","Lowrie, A.",1.0,1.0,http://www.wikidata.org/entity/Q705527,Allen Lowrie,Lowrie,A.,"Lowrie, A.",,13857397,0000 0000 6371 8758,40509.0,14800-1,Lowrie,,,1948.0,,,,http://www.wikidata.org/wiki/Q705527,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40509,https://www.ipni.org/a/14800-1,,,
155,10373,Johnson,L.A.S.,Lawrence Alexander Sidney,352,1948.0,1994.0,"Johnson, L.A.S.","Johnson, L.A.S.","Johnson, L.A.S.",1.0,1.0,http://www.wikidata.org/entity/Q3090721,Lawrence Alexander Sidney Johnson,Johnson,L.A.S.,"Johnson, L.A.S.",,91894237,,48794.0,4513-1,L.A.S.Johnson,,P003006b,1925.0,1997.0,,,http://www.wikidata.org/wiki/Q3090721,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48794,https://www.ipni.org/a/4513-1,,http://www.eoas.info/biogs/P003006b,
160,17110,Rochel,A.,Anton,348,1807.0,1841.0,"Rochel, A.","Rochel, A.","Rochel, A.",1.0,1.0,http://www.wikidata.org/entity/Q369737,Anton Rochel,Rochel,A.,"Rochel, A.",,74606825,0000 0000 5536 0805,16154.0,8471-1,Rochel,Q369737,,1770.0,1847.0,,,http://www.wikidata.org/wiki/Q369737,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=16154,https://www.ipni.org/a/8471-1,https://bloodhound-tracker.net/Q369737,,
165,10954,Kirk,T.,Thomas,346,1850.0,1892.0,"Kirk, T.","Kirk, T.","Kirk, T.",1.0,1.0,http://www.wikidata.org/entity/Q930525,Thomas Kirk,Kirk,T.,"Kirk, T.",,78522032,0000 0000 8273 1042,559.0,4809-1,Kirk,,,1828.0,1898.0,,,http://www.wikidata.org/wiki/Q930525,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=559,https://www.ipni.org/a/4809-1,,,
166,20732,Vitt,D.H.,,346,1972.0,1991.0,"Vitt, D.H.","Vitt, D.H.","Vitt, D.H.",1.0,1.0,http://www.wikidata.org/entity/Q12307056,Dale Hadley Vitt,Vitt,D.H.,"Vitt, D.H.",,,,33266,28401-1,Vitt,,,1944.0,,,,http://www.wikidata.org/wiki/Q12307056,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33266,https://www.ipni.org/a/28401-1,,,
172,6673,Forbes,H.O.,Henry Ogg,340,1855.0,1887.0,"Forbes, H.O.","Forbes, H.O.","Forbes, H.O.",1.0,1.0,http://www.wikidata.org/entity/Q1349901,Henry Ogg Forbes,Forbes,H.O.,"Forbes, H.O.",,64933667,0000 0001 0980 7810,1312.0,2816-1,H.O.Forbes,,P000044b,1851.0,1932.0,,,http://www.wikidata.org/wiki/Q1349901,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1312,https://www.ipni.org/a/2816-1,,http://www.eoas.info/biogs/P000044b,http://adb.anu.edu.au/biography/forbes-henry-ogg-3548
173,20199,Tovey,J.R.,,338,1891.0,1921.0,"Tovey, J.R.","Tovey, J.R.","Tovey, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q21610906,James Richard Tovey,Tovey,J.R.,"Tovey, J.R.",,283319158,0000 0003 8983 8805,25244,10771-1,Tovey,,P001519b,1873.0,1922.0,,,http://www.wikidata.org/wiki/Q21610906,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=25244,https://www.ipni.org/a/10771-1,,http://www.eoas.info/biogs/P001519b,
174,7904,Greene,S.W.,,338,1960.0,1972.0,"Greene, S.W.","Greene, S.W.","Greene, S.W.",1.0,1.0,http://www.wikidata.org/entity/Q21389958,Stanley Wilson Greene,Greene,S.W.,"Greene, S.W.",,102555062,,71114,14714-1,S.W.Greene,,,1928.0,1989.0,,,http://www.wikidata.org/wiki/Q21389958,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=71114,https://www.ipni.org/a/14714-1,,,
175,14144,Morris,D.I.,,338,1966.0,2004.0,"Morris, D.I.","Morris, D.I.","Morris, D.I.",1.0,1.0,http://www.wikidata.org/entity/Q21388745,Dennis Ivor Morris,Morris,D.I.,"Morris, D.I.",,,,,6672-1,D.I.Morris,,,1924.0,2005.0,,,http://www.wikidata.org/wiki/Q21388745,,,https://www.ipni.org/a/6672-1,,,
176,7454,Giles,E.,,337,1858.0,1973.0,"Giles, E.","Giles, E.","Giles, E.",1.0,1.0,http://www.wikidata.org/entity/Q226071,Ernest Giles,Giles,E.,"Giles, E.",,12607780,0000 0000 6312 2380,,,,,P000052b,1835.0,1897.0,,,http://www.wikidata.org/wiki/Q226071,,,,,http://www.eoas.info/biogs/P000052b,http://adb.anu.edu.au/biography/giles-ernest-3611
179,25099,Vernes,K.,,332,1995.0,2009.0,"Vernes, K.","Vernes, K.","Vernes, K.",1.0,1.0,http://www.wikidata.org/entity/Q63034895,Karl Vernes,Vernes,K.,"Vernes, K.",,,,,20038455-1,Vernes,,,,,,,http://www.wikidata.org/wiki/Q63034895,,,https://www.ipni.org/a/20038455-1,,,
180,173,Alcock,C.R.,,331,1962.0,1995.0,"Alcock, C.R.","Alcock, C.R.","Alcock, C.R.",1.0,1.0,http://www.wikidata.org/entity/Q21505035,Charles Raymond Alcock,Alcock,C.R.,"Alcock, C.R.",,,,,30757-1,Alcock,,,1921.0,,,,http://www.wikidata.org/wiki/Q21505035,,,https://www.ipni.org/a/30757-1,,,
197,3202,Cantrill,D.J.,David,324,2007.0,2017.0,"Cantrill, D.J.","Cantrill, D.J.","Cantrill, D.J.",1.0,1.0,http://www.wikidata.org/entity/Q36534289,David John Cantrill,Cantrill,D.J.,"Cantrill, D.J.",,,,,20016445-1,Cantrill,,,,,,,http://www.wikidata.org/wiki/Q36534289,,,https://www.ipni.org/a/20016445-1,,,
199,1312,Beccari,O.,Odoardo,321,1872.0,1978.0,"Beccari, O.","Beccari, O.","Beccari, O.",1.0,1.0,http://www.wikidata.org/entity/Q361037,Odoardo Beccari,Beccari,O.,"Beccari, O.",,12413211,0000 0000 8091 7089,1278.0,15852-1,Becc.,,P005919b,1843.0,1920.0,,,http://www.wikidata.org/wiki/Q361037,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1278,https://www.ipni.org/a/15852-1,,http://www.eoas.info/biogs/P005919b,
200,19939,Thompson,I.R.,Ian,320,1969.0,2012.0,"Thompson, I.R.","Thompson, I.R.","Thompson, I.R.",1.0,1.0,http://www.wikidata.org/entity/Q21516217,Ian R. Thompson,Thompson,I.R.,"Thompson, I.R.",,,,,37433-1,I.Thomps.,,,1958.0,,,,http://www.wikidata.org/wiki/Q21516217,,,https://www.ipni.org/a/37433-1,,,
